Package	Version	LibPath	Priority
abind	1.4-8	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
annotate	1.88.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
AnnotationDbi	1.72.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
ape	5.8-1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
aplot	0.2.9	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
askpass	1.2.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
backports	1.5.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
base	4.5.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	base
base64	2.0.2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
base64enc	0.1-6	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
beanplot	1.3.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
BH	1.90.0-1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
Biobase	2.70.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
BiocFileCache	3.0.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
BiocGenerics	0.56.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
BiocIO	1.20.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
BiocManager	1.30.27	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
BiocParallel	1.44.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
BiocVersion	3.22.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
biomaRt	2.66.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
Biostrings	2.78.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
bit	4.6.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
