file_id	dataset	sample_id	data_type	local_path	source_url_or_accession	file_size	md5	download_date	processing_status	notes	checksum	size_bytes	phase	layer	file_path	description	category	file_format	md5_checksum
accession_inventory	PDAC_Phase1_metadata		metadata_inventory	~/thesis/PDAC/01_metadata/accession_inventory.tsv	derived_from_verified_public_accession_metadata	1167.0	sha256:ea9313fff165f80f0c207ddbbbc4b04f0f78072913584a49adb18aa18b99da6a	2026-06-30	verified_Phase1A	Local Phase 1 metadata/documentation product; checksum stored as sha256 because Phase 1A inventory used sha256 hashes.									
phase10a_cross_layer_synthesis_method_lock	Phase10A		method_lock	04_analysis/10_target_prioritization/PHASE10A_CROSS_LAYER_SYNTHESIS_METHOD_LOCK.md		3956.0	948116614c0233cdf6bfb6d262542bc0		verified_Phase10A										
pdac_cross_layer_synthesis_protocol	Phase10A		protocol	09_docs/methods/PDAC_cross_layer_synthesis_protocol.md		2271.0	a01fa6a2920a03275ee073bb4aa6926b		verified_Phase10A										
phase10a_evidence_synthesis_parameter_inventory	Phase10A		parameter_inventory	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv		422.0	271d44ffcec0888546ed43be9c964f49		verified_Phase10A										
phase10a_cross_layer_evidence_inventory	Phase10A		evidence_inventory	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv		2367.0	381bc076d09c37f1519c857777d41d85		verified_Phase10A										
phase10a_target_prioritization_framework	Phase10A		framework	05_results/tables/phase10a_target_prioritization_framework.tsv		1166.0	8d888289711bf720a5e07fbc8e6d86dd		verified_Phase10A										
validate_phase10a_synthesis_plan	Phase10A		script	06_scripts/python/17_validate_phase10a_synthesis_plan.py		3220.0	532d368faaf4a08be2e155920afdafdb		verified_Phase10A										
phase10b_target_prioritization_results	Phase10B		report	04_analysis/10_target_prioritization/PHASE10B_TARGET_PRIORITIZATION_RESULTS.md		2006.0	e8db4c859356b08854e9a044da54bed9		verified_Phase10B										
phase10b_candidate_target_scores	Phase10B		scores	05_results/tables/phase10b_candidate_target_scores.tsv		1502.0	73d41db37ab42873855c679a44f4738f		verified_Phase10B										
phase10b_cross_layer_synthesis_script	Phase10B		script	06_scripts/python/18_phase10b_cross_layer_synthesis.py		4687.0	cef859799f527173b2a86160a373b717		verified_Phase10B										
validate_phase10b_synthesis	Phase10B		script	06_scripts/python/18_validate_phase10b_synthesis.py		1478.0	c6808798ada2041c602f429632b00431		verified_Phase10B										
phase10c_independent_review	Phase10C		report	04_analysis/10_target_prioritization/PHASE10C_INDEPENDENT_REVIEW.md		3176.0	3d70cca9ac9091d9616cb2c4aa9e4d92		verified_Phase10C										
phase10br_corrected_target_prioritization_results	Phase10BR		report	04_analysis/10_target_prioritization/PHASE10BR_CORRECTED_TARGET_PRIORITIZATION_RESULTS.md		4674.0	04c4192f1b9441f7612f5a4872cb7dae		verified_Phase10BR										
phase10br_cross_layer_evidence_scores	Phase10BR		scores	05_results/tables/phase10br_cross_layer_evidence_scores.tsv		3419.0	0c53285c5ec4101279f368ed5b217d96		verified_Phase10BR										
phase10br_candidate_target_scores	Phase10BR		scores	05_results/tables/phase10br_candidate_target_scores.tsv		6548.0	974c046ec2786092729f21e02ce5ee58		verified_Phase10BR										
phase10br_external_database_query_audit	Phase10BR		audit	05_results/tables/phase10br_external_database_query_audit.tsv		4809.0	650fdbfe18afc3804c0f9f78e6e65532		verified_Phase10BR										
phase10br_penalty_audit	Phase10BR		audit	05_results/tables/phase10br_penalty_audit.tsv		3627.0	9ed56426d2b5c6a94cb09c0fd99afd9d		verified_Phase10BR										
phase10br_rank_change_audit	Phase10BR		audit	05_results/tables/phase10br_rank_change_audit.tsv		1775.0	431f5ed43a212a205af7a0c6ae2bccb3		verified_Phase10BR										
phase10br_framework_criterion_scores	Phase10BR		audit	05_results/tables/phase10br_framework_criterion_scores.tsv		29703.0	3584efe2eb03dd9183cede62df6c4686		verified_Phase10BR										
phase10br_cross_layer_synthesis_script	Phase10BR		script	06_scripts/python/18_phase10br_cross_layer_synthesis.py		22633.0	6c4d2465adfee1bf4754f5dbfb2d29bd		verified_Phase10BR										
validate_phase10br_synthesis	Phase10BR		script	06_scripts/python/18_validate_phase10br_synthesis.py		8287.0	40dfd26c001bd8b0519fbc918d5e950d		verified_Phase10BR										
test_phase10br_synthesis	Phase10BR		test	06_scripts/python/test_phase10br_synthesis.py		2778.0	0d6ba675a1118d9d0d3967d77b1240bb		verified_Phase10BR										
