geo_series	geo_sample_id	geo_sample_title	tumor_number	biosample_id	sra_sample_id	sra_experiment_id	sra_run_id	bioproject	library_strategy	library_layout	platform	source_name	tissue	sample_type	mapping_status	notes
GSE172356	GSM5253087	pancreatic tumor 1	1	SAMN18797417	SRS8732461	SRX10636545	SRR14275251	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX15261T based on source_material_id
GSE172356	GSM5253088	pancreatic tumor 2	2	SAMN18797346	SRS8732463	SRX10636546	SRR14275252	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX15263T based on source_material_id
GSE172356	GSM5253089	pancreatic tumor 3	3	SAMN18797345	SRS8732462	SRX10636547	SRR14275253	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX15271T based on source_material_id
GSE172356	GSM5253090	pancreatic tumor 4	4	SAMN18797344	SRS8732464	SRX10636548	SRR14275254	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16036T based on source_material_id
GSE172356	GSM5253091	pancreatic tumor 5	5	SAMN18797342	SRS8732466	SRX10636549	SRR14275255	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16041T based on source_material_id
GSE172356	GSM5253092	pancreatic tumor 6	6	SAMN18797341	SRS8732465	SRX10636550	SRR14275256	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16057T based on source_material_id
GSE172356	GSM5253093	pancreatic tumor 7	7	SAMN18797339	SRS8732467	SRX10636551	SRR14275257	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16062T based on source_material_id
GSE172356	GSM5253094	pancreatic tumor 8	8	SAMN18797338	SRS8732468	SRX10636552	SRR14275258	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16112T based on source_material_id
GSE172356	GSM5253095	pancreatic tumor 9	9	SAMN18797336	SRS8732469	SRX10636553	SRR14275259	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16113T based on source_material_id
GSE172356	GSM5253096	pancreatic tumor 10	10	SAMN18797379	SRS8732470	SRX10636554	SRR14275260	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16119T based on source_material_id
GSE172356	GSM5253097	pancreatic tumor 11	11	SAMN18797378	SRS8732471	SRX10636555	SRR14275261	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16120T based on source_material_id
GSE172356	GSM5253098	pancreatic tumor 12	12	SAMN18797377	SRS8732473	SRX10636556	SRR14275262	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16127T based on source_material_id
GSE172356	GSM5253099	pancreatic tumor 13	13	SAMN18797376	SRS8732472	SRX10636557	SRR14275263	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16128T based on source_material_id
GSE172356	GSM5253100	pancreatic tumor 14	14	SAMN18797375	SRS8732474	SRX10636558	SRR14275264	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16130T based on source_material_id
GSE172356	GSM5253101	pancreatic tumor 15	15	SAMN18797374	SRS8732475	SRX10636559	SRR14275265	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16132T based on source_material_id
GSE172356	GSM5253102	pancreatic tumor 16	16	SAMN18797373	SRS8732476	SRX10636560	SRR14275266	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16135T based on source_material_id
GSE172356	GSM5253103	pancreatic tumor 17	17	SAMN18797372	SRS8732477	SRX10636561	SRR14275267	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16139T based on source_material_id
GSE172356	GSM5253104	pancreatic tumor 18	18	SAMN18797371	SRS8732478	SRX10636562	SRR14275268	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16141T based on source_material_id
GSE172356	GSM5253105	pancreatic tumor 19	19	SAMN18797370	SRS8732479	SRX10636563	SRR14275269	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16144T based on source_material_id
GSE172356	GSM5253106	pancreatic tumor 20	20	SAMN18797369	SRS8732480	SRX10636564	SRR14275270	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16147T based on source_material_id
GSE172356	GSM5253107	pancreatic tumor 21	21	SAMN18797368	SRS8732481	SRX10636565	SRR14275271	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16153T based on source_material_id
GSE172356	GSM5253108	pancreatic tumor 22	22	SAMN18797367	SRS8732482	SRX10636566	SRR14275272	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16155T based on source_material_id
GSE172356	GSM5253109	pancreatic tumor 23	23	SAMN18797366	SRS8732483	SRX10636567	SRR14275273	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16158T based on source_material_id
GSE172356	GSM5253110	pancreatic tumor 24	24	SAMN18797365	SRS8732484	SRX10636568	SRR14275274	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16159T based on source_material_id
GSE172356	GSM5253111	pancreatic tumor 25	25	SAMN18797364	SRS8732485	SRX10636569	SRR14275275	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16160T based on source_material_id
