analysis_id	taxon	taxon_evidence_category	host_feature_layer	host_feature_collection	input_expression_matrix	microbiome_representation	model	covariates	robust_SE	multiple_testing_family	sensitivity_analyses	random_seed	analysis_role	status	notes
HM_01_Hallmark	Azoarcus	ROBUST_ASSOCIATION	Layer 1	MSigDB Hallmark	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Azoarcus	host_activity ~ standardized_CLR_genus	None	HC3	MSigDB_Hallmark_Azoarcus	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked Hallmark enrichment (50 pathways) for Azoarcus.
HM_02_PROGENy	Azoarcus	ROBUST_ASSOCIATION	Layer 1	PROGENy	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Azoarcus	host_activity ~ standardized_CLR_genus	None	HC3	PROGENy_Azoarcus	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked PROGENy activities (14 pathways) for Azoarcus.
HM_03_DoRothEA	Azoarcus	ROBUST_ASSOCIATION	Layer 2	DoRothEA	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Azoarcus	host_activity ~ standardized_CLR_genus	None	HC3	DoRothEA_TF_Azoarcus	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked DoRothEA regulon activities (confidence levels A/B/C) for Azoarcus.
HM_04_TME	Azoarcus	ROBUST_ASSOCIATION	Layer 3	ESTIMATE	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Azoarcus	host_activity ~ standardized_CLR_genus	None	HC3	ESTIMATE_TME_Azoarcus	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked host TME association (Stromal/Immune/ESTIMATE/Purity) for Azoarcus.
HM_05_WGCNA	Azoarcus	ROBUST_ASSOCIATION	Layer 4	WGCNA	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Azoarcus	module_eigengene ~ standardized_CLR_genus	None	HC3	WGCNA_Modules_Azoarcus	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked co-expression network association (unsupervised module definition) for Azoarcus.
HM_06_HostGenes	Azoarcus	ROBUST_ASSOCIATION	Layer 5	Taxon-associated genes	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Azoarcus	host_gene ~ standardized_CLR_genus	None	HC3	Host_Genes_Azoarcus	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	exploratory	LOCKED_PENDING_EXECUTION	Genome-wide exploratory linear modeling for Azoarcus (42,654 genes).
HM_07_Hallmark	Candida	ROBUST_ASSOCIATION	Layer 1	MSigDB Hallmark	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Candida	host_activity ~ standardized_CLR_genus	None	HC3	MSigDB_Hallmark_Candida	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked Hallmark enrichment (50 pathways) for Candida.
HM_08_PROGENy	Candida	ROBUST_ASSOCIATION	Layer 1	PROGENy	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Candida	host_activity ~ standardized_CLR_genus	None	HC3	PROGENy_Candida	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked PROGENy activities (14 pathways) for Candida.
HM_09_DoRothEA	Candida	ROBUST_ASSOCIATION	Layer 2	DoRothEA	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Candida	host_activity ~ standardized_CLR_genus	None	HC3	DoRothEA_TF_Candida	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked DoRothEA regulon activities (confidence levels A/B/C) for Candida.
HM_10_TME	Candida	ROBUST_ASSOCIATION	Layer 3	ESTIMATE	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Candida	host_activity ~ standardized_CLR_genus	None	HC3	ESTIMATE_TME_Candida	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked host TME association (Stromal/Immune/ESTIMATE/Purity) for Candida.
