analysis_id	host_outcome	microbiome_input	feature_set	transformation	model	covariates	robust_SE	permutations	bootstrap_iterations	multiple_testing_family	contaminant_policy	sample_policy	analysis_role	random_seed	status	notes
ASSOC_GLOBAL_PRIMARY	Moffitt50_basal_classical_contrast	03_processed/microbiome/PRJNA719915_primary_aitchison_distance.tsv.gz	122_genera	centered_log_ratio	PERMANOVA	none	none	9999	none	global_community_tests	keep_all_flagged	retain_all	primary	2026	locked	Primary global Aitchison distance PERMANOVA testing community-level association with basal-classical contrast.
ASSOC_GLOBAL_DESCRIPTIVE_SUBTYPES	public_Basal_Hybrid_Classical_labels	03_processed/microbiome/PRJNA719915_primary_aitchison_distance.tsv.gz	122_genera	centered_log_ratio	PERMANOVA_PERMDISP	none	none	9999	none	global_community_tests	keep_all_flagged	retain_all	descriptive	2026	locked	Descriptive PERMANOVA and PERMDISP on public discrete subtypes to test community-level differences.
ASSOC_GLOBAL_SENS_NO_CONTAMINANTS	Moffitt50_basal_classical_contrast	03_processed/microbiome/sensitivity/MICRO_SENS_NO_CONTAMINANTS_aitchison_distance.tsv.gz	no_high_moderate_risk_taxa	centered_log_ratio	PERMANOVA	none	none	9999	none	global_community_tests	exclude_high_and_moderate_risk	retain_all	sensitivity	2026	locked	Global community sensitivity analysis excluding all high-risk and moderate-risk contaminant taxa.
ASSOC_GLOBAL_SENS_EXCLUDE_EXTREME	Moffitt50_basal_classical_contrast	03_processed/microbiome/sensitivity/MICRO_SENS_EXCLUDE_EXTREME_aitchison_distance.tsv.gz	122_genera	centered_log_ratio	PERMANOVA	none	none	9999	none	global_community_tests	keep_all_flagged	exclude_extreme	sensitivity	2026	locked	Global community sensitivity analysis excluding the three extreme sample outliers.
ASSOC_GENUS_PRIMARY_M0	Moffitt50_basal_classical_contrast	03_processed/microbiome/PRJNA719915_genus_primary_CLR.tsv.gz	122_genera	centered_log_ratio	OLS_regression	none	HC3	none	2000	122_genus_tests_Moffitt50	keep_all_flagged	retain_all	primary	2026	locked	Primary genus-level OLS association: CLR_genus ~ standardized_Moffitt50_contrast, with HC3 robust SE.
ASSOC_GENUS_SENS_M1	Moffitt50_basal_classical_contrast	03_processed/microbiome/PRJNA719915_genus_primary_CLR.tsv.gz	122_genera	centered_log_ratio	OLS_regression	matrix_total_abundance_proxy	HC3	none	2000	122_genus_tests_Moffitt50	keep_all_flagged	retain_all	sensitivity	2026	locked	Technical sensitivity OLS model controlling for the matrix total abundance proxy as a covariate.
ASSOC_GENUS_SENS_M2	Moffitt50_basal_classical_contrast	03_processed/microbiome/PRJNA719915_genus_primary_CLR.tsv.gz	122_genera	centered_log_ratio	OLS_regression	age,sex,stage	HC3	none	2000	122_genus_tests_Moffitt50	keep_all_flagged	retain_all	sensitivity	2026	blocked	Clinical sensitivity OLS model. Blocked from execution due to incomplete data in the clinical metadata.
ASSOC_GENUS_SENS_M3P	Moffitt50_basal_classical_contrast	03_processed/microbiome/PRJNA719915_genus_primary_CLR.tsv.gz	122_genera	centered_log_ratio	OLS_regression	inferred_tumor_purity	HC3	none	2000	122_genus_tests_Moffitt50	keep_all_flagged	retain_all	sensitivity	2026	locked	Host TME sensitivity Model 3P permitted by Phase 7A.5 feasibility: 62 complete patients, maximum VIF 1.40, condition number 1.82. Sensitivity only; Model 0 remains primary.
ASSOC_GENUS_SENS_M3I	Moffitt50_basal_classical_contrast	03_processed/microbiome/PRJNA719915_genus_primary_CLR.tsv.gz	122_genera	centered_log_ratio	OLS_regression	immune_score	HC3	none	2000	122_genus_tests_Moffitt50	keep_all_flagged	retain_all	sensitivity	2026	locked	Host TME sensitivity Model 3I permitted by Phase 7A.5 feasibility: 62 complete patients, maximum VIF 1.24, condition number 1.61. Sensitivity only; Model 0 remains primary.
ASSOC_GENUS_SENS_M3S	Moffitt50_basal_classical_contrast	03_processed/microbiome/PRJNA719915_genus_primary_CLR.tsv.gz	122_genera	centered_log_ratio	OLS_regression	stromal_score	HC3	none	2000	122_genus_tests_Moffitt50	keep_all_flagged	retain_all	sensitivity	2026	locked	Host TME sensitivity Model 3S permitted by Phase 7A.5 feasibility: 62 complete patients, maximum VIF 1.46, condition number 1.88. Sensitivity only; Model 0 remains primary.
