microbiome_matrix_sample	patient_id	tumor_number	microbiome_biosample_id	microbiome_run_id	mapping_status	notes
Basal-like1	PDAC_042	42	SAMN18623934	SRR14148548	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX15047T.
Basal-like2	PDAC_025	25	SAMN18623917	SRR14148567	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16160T.
Basal-like3	PDAC_034	34	SAMN18623926	SRR14148557	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16202T.
Basal-like4	PDAC_058	58	SAMN18623950	SRR14148531	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16327T.
Basal-like5	PDAC_053	53	SAMN18623945	SRR14148536	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16079T.
Basal-like6	PDAC_055	55	SAMN18623947	SRR14148534	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16094T.
Basal-like7	PDAC_051	51	SAMN18623943	SRR14148538	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16070T.
Basal-like8	PDAC_049	49	SAMN18623941	SRR14148541	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16011T.
Basal-like9	PDAC_050	50	SAMN18623942	SRR14148540	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16068T.
Basal-like10	PDAC_045	45	SAMN18623937	SRR14148545	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX15187T.
Basal-like11	PDAC_057	57	SAMN18623949	SRR14148532	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16295T.
Basal-like12	PDAC_043	43	SAMN18623935	SRR14148547	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX15106T.
Basal-like13	PDAC_047	47	SAMN18623939	SRR14148543	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX15214T.
Basal-like14	PDAC_044	44	SAMN18623936	SRR14148546	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX15166T.
Basal-like15	PDAC_054	54	SAMN18623946	SRR14148535	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16087T.
Basal-like16	PDAC_056	56	SAMN18623948	SRR14148533	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16172T.
