gene_symbol	original_signature	rank_in_signature	presence_in_GSE172356	mapped_symbol
CYP2C18	Sig1	0.642286	True	CYP2C18
RP11-400G3.5	Sig1	0.639994	False	NA
VSIG2	Sig1	0.631928	True	VSIG2
SLC9B2	Sig1	0.630169	True	SLC9B2
ANXA10	Sig1	0.627299	True	ANXA10
CAPN8	Sig1	0.625219	True	CAPN8
VILL	Sig1	0.622493	True	VILL
CLDN18	Sig1	0.618268	True	CLDN18
SULT1C2	Sig1	0.617583	True	SULT1C2
CYSTM1	Sig1	0.611274	True	CYSTM1
CTSE	Sig1	0.609186	True	CTSE
ADAM28	Sig1	0.602693	True	ADAM28
VSIG1	Sig1	0.593536	True	VSIG1
CYP3A5	Sig1	0.591946	True	CYP3A5
CAPN5	Sig1	0.586401	True	CAPN5
CYP2S1	Sig1	0.586112	True	CYP2S1
KCNE3	Sig1	0.582441	True	KCNE3
CYP2C9	Sig1	0.574358	True	CYP2C9
GCKR	Sig1	0.572467	True	GCKR
TSPAN8	Sig1	0.570808	True	TSPAN8
ACER2	Sig1	0.569778	True	ACER2
SEMA4G	Sig1	0.567397	True	SEMA4G
PDZD3	Sig1	0.559848	True	PDZD3
TMC5	Sig1	0.555854	True	TMC5
DPCR1	Sig1	0.555619	False	NA
FAT2	Sig2	0.807417	True	FAT2
MIR205HG	Sig2	0.788194	True	MIR205HG
S100A9	Sig2	0.757634	True	S100A9
S100A2	Sig2	0.743509	True	S100A2
S100A8	Sig2	0.719861	True	S100A8
KRT5	Sig2	0.714017	True	KRT5
SLC2A9	Sig2	0.687947	True	SLC2A9
RHCG	Sig2	0.680786	True	RHCG
TP63	Sig2	0.679991	True	TP63
ZNF750	Sig2	0.670429	True	ZNF750
KRT6A	Sig2	0.648916	True	KRT6A
KRT14	Sig2	0.626445	True	KRT14
PTHLH	Sig2	0.619135	True	PTHLH
TMEM45A	Sig2	0.615049	True	TMEM45A
COL7A1	Sig2	0.606059	True	COL7A1
TNNT3	Sig2	0.596873	True	TNNT3
TMPRSS11E	Sig2	0.594501	True	TMPRSS11E
ARL4D	Sig2	0.591119	True	ARL4D
SCPEP1	Sig2	0.588939	True	SCPEP1
HCAR2	Sig2	0.584364	True	HCAR2
GSDMC	Sig2	0.583376	True	GSDMC
TMEM40	Sig2	0.582169	True	TMEM40
CYP24A1	Sig2	0.577237	True	CYP24A1
IL20RB	Sig2	0.575674	True	IL20RB
GJB6	Sig2	0.573035	True	GJB6
MEP1A	Sig6	0.716167	True	MEP1A
GUCY2C	Sig6	0.689946	True	GUCY2C
SPINK4	Sig6	0.660999	True	SPINK4
MUC2	Sig6	0.623859	True	MUC2
GALNT8	Sig6	0.609975	True	GALNT8
ITLN1	Sig6	0.602549	True	ITLN1
CHST5	Sig6	0.597821	True	CHST5
CDH17	Sig6	0.590306	True	CDH17
FAM105A	Sig6	0.587787	False	NA
SI	Sig6	0.587417	True	SI
REG4	Sig6	0.566692	True	REG4
RP11-77K12.7	Sig6	0.564392	False	NA
CLCA1	Sig6	0.562253	True	CLCA1
HEPACAM2	Sig6	0.555329	True	HEPACAM2
GPA33	Sig6	0.547247	True	GPA33
CDX2	Sig6	0.540665	True	CDX2
WNK4	Sig6	0.534512	True	WNK4
BTNL3	Sig6	0.527428	True	BTNL3
KRT20	Sig6	0.524848	True	KRT20
CLRN3	Sig6	0.523191	True	CLRN3
C3orf70	Sig6	0.522282	True	C3orf70
REP15	Sig6	0.514728	True	REP15
FCGBP	Sig6	0.507999	True	FCGBP
FAM222A	Sig6	0.500458	True	FAM222A
AKR1C4	Sig6	0.500123	True	AKR1C4
FOXJ1	Sig10	0.54714	True	FOXJ1
DRC1	Sig10	0.528426	True	DRC1
CCDC114	Sig10	0.527576	True	CCDC114
C7orf57	Sig10	0.522908	True	C7orf57
CFAP54	Sig10	0.513391	True	CFAP54
VWA3A	Sig10	0.5133	True	VWA3A
RARRES3	Sig10	0.503859	True	RARRES3
CFAP73	Sig10	0.493157	True	CFAP73
C11orf70	Sig10	0.484098	False	NA
CFAP45	Sig10	0.47721	True	CFAP45
ZBBX	Sig10	0.467136	True	ZBBX
CST6	Sig10	0.451924	True	CST6
CFAP43	Sig10	0.441422	True	CFAP43
C15orf52	Sig10	0.437101	False	NA
RSPH4A	Sig10	0.435547	True	RSPH4A
MAPK15	Sig10	0.428675	True	MAPK15
FAM81B	Sig10	0.428477	True	FAM81B
PPIL6	Sig10	0.426889	True	PPIL6
KRT80	Sig10	0.422111	True	KRT80
DAW1	Sig10	0.418921	True	DAW1
CDHR4	Sig10	0.412911	True	CDHR4
VGLL1	Sig10	0.411742	True	VGLL1
MAATS1	Sig10	0.409341	True	MAATS1
ZMYND10	Sig10	0.408096	True	ZMYND10
ELFN2	Sig10	0.406834	True	ELFN2
