gene_symbol	class	presence_in_GSE172356	mapped_symbol
VGLL1	Basal-like	True	VGLL1
UCA1	Basal-like	True	UCA1
S100A2	Basal-like	True	S100A2
LY6D	Basal-like	True	LY6D
SPRR3	Basal-like	True	SPRR3
SPRR1B	Basal-like	True	SPRR1B
LEMD1	Basal-like	True	LEMD1
KRT15	Basal-like	True	KRT15
CTSL2	Basal-like	True	CTSV
DHRS9	Basal-like	True	DHRS9
AREG	Basal-like	True	AREG
CST6	Basal-like	True	CST6
SERPINB3	Basal-like	True	SERPINB3
KRT6C	Basal-like	True	KRT6C
KRT6A	Basal-like	True	KRT6A
SERPINB4	Basal-like	True	SERPINB4
FAM83A	Basal-like	True	FAM83A
SCEL	Basal-like	True	SCEL
FGFBP1	Basal-like	True	FGFBP1
KRT7	Basal-like	True	KRT7
KRT17	Basal-like	True	KRT17
GPR87	Basal-like	True	GPR87
TNS4	Basal-like	True	TNS4
SLC2A1	Basal-like	True	SLC2A1
ANXA8L2	Basal-like	True	ANXA8
BTNL8	Classical	True	BTNL8
FAM3D	Classical	True	FAM3D
ATAD4	Classical	True	FLAD1
AGR3	Classical	True	AGR3
CTSE	Classical	True	CTSE
LOC400573	Classical	True	TMEM238L
LYZ	Classical	True	LYZ
TFF2	Classical	True	TFF2
TFF1	Classical	True	TFF1
ANXA10	Classical	True	ANXA10
LGALS4	Classical	True	LGALS4
PLA2G10	Classical	True	PLA2G10
CEACAM6	Classical	True	CEACAM6
VSIG2	Classical	True	VSIG2
TSPAN8	Classical	True	TSPAN8
ST6GALNAC1	Classical	True	ST6GALNAC1
AGR2	Classical	True	AGR2
TFF3	Classical	True	TFF3
CYP3A7	Classical	True	CYP3A7
MYO1A	Classical	True	MYO1A
CLRN3	Classical	True	CLRN3
KRT20	Classical	True	KRT20
CDH17	Classical	True	CDH17
SPINK4	Classical	True	SPINK4
REG4	Classical	True	REG4
