feature_name	database	feature_type	query_result_status	query_result_path	value_used_in_scoring	reproducibility_decision
HALLMARK_PROTEIN_SECRETION	OpenTargets	PATHWAY_OR_PROCESS	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED
HALLMARK_PROTEIN_SECRETION	GTEx	PATHWAY_OR_PROCESS	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED
HALLMARK_PROTEIN_SECRETION	ChEMBL	PATHWAY_OR_PROCESS	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED
HALLMARK_SPERMATOGENESIS	OpenTargets	PATHWAY_OR_PROCESS	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED
HALLMARK_SPERMATOGENESIS	GTEx	PATHWAY_OR_PROCESS	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED
HALLMARK_SPERMATOGENESIS	ChEMBL	PATHWAY_OR_PROCESS	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED
MEblack	OpenTargets	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED
MEblack	GTEx	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED
MEblack	ChEMBL	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED
MEblue	OpenTargets	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED
MEblue	GTEx	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED
MEblue	ChEMBL	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED
MEgreen	OpenTargets	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED
MEgreen	GTEx	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED
MEgreen	ChEMBL	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED
MEtan	OpenTargets	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED
MEtan	GTEx	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED
MEtan	ChEMBL	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED
MEgreenyellow	OpenTargets	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED
MEgreenyellow	GTEx	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED
