feature_name	phase10b_rank	phase10br_rank	rank_change	phase10b_status	phase10br_decision
HALLMARK_PROTEIN_SECRETION	1	1	0	PRESENT_IN_FAILED_PHASE10B	RETAINED_AS_SUPPORTED_BIOLOGICAL_FEATURE_NOT_DIRECT_GENE_TARGET
BHLHE40	3	2	1	PRESENT_IN_FAILED_PHASE10B	NOT_PRIORITIZED_COMPOSITION_SENSITIVE_SINGLE_CELL_EVIDENCE
CTCFL	4	3	1	PRESENT_IN_FAILED_PHASE10B	NOT_PRIORITIZED_COMPOSITION_SENSITIVE_SINGLE_CELL_EVIDENCE
HALLMARK_SPERMATOGENESIS	2	4	-2	PRESENT_IN_FAILED_PHASE10B	NOT_PRIORITIZED_COMPOSITION_SENSITIVE_SINGLE_CELL_EVIDENCE
Ochrobactrum		5	NEWLY_INCLUDED	ABSENT_FROM_FAILED_PHASE10B	NOT_PRIORITIZED_DISCOVERY_ONLY_NO_CAUSAL_VALIDATION
Lysobacter		6	NEWLY_INCLUDED	ABSENT_FROM_FAILED_PHASE10B	NOT_PRIORITIZED_LOCKED_EVIDENCE_WEAK_OR_SENSITIVE
Brevundimonas		7	NEWLY_INCLUDED	ABSENT_FROM_FAILED_PHASE10B	NOT_PRIORITIZED_LOCKED_EVIDENCE_WEAK_OR_SENSITIVE
MEpurple		8	NEWLY_INCLUDED	ABSENT_FROM_FAILED_PHASE10B	NOT_PRIORITIZED_NOT_EXTERNALLY_SUPPORTED
MEred		9	NEWLY_INCLUDED	ABSENT_FROM_FAILED_PHASE10B	NOT_PRIORITIZED_NOT_EXTERNALLY_SUPPORTED
MEblack		10	NEWLY_INCLUDED	ABSENT_FROM_FAILED_PHASE10B	NOT_PRIORITIZED_INELIGIBLE_INSUFFICIENT_DATA
MEblue		11	NEWLY_INCLUDED	ABSENT_FROM_FAILED_PHASE10B	NOT_PRIORITIZED_INELIGIBLE_INSUFFICIENT_DATA
MEgreen		12	NEWLY_INCLUDED	ABSENT_FROM_FAILED_PHASE10B	NOT_PRIORITIZED_INELIGIBLE_INSUFFICIENT_DATA
MEgreenyellow		13	NEWLY_INCLUDED	ABSENT_FROM_FAILED_PHASE10B	NOT_PRIORITIZED_INELIGIBLE_INSUFFICIENT_DATA
MEtan		14	NEWLY_INCLUDED	ABSENT_FROM_FAILED_PHASE10B	NOT_PRIORITIZED_INELIGIBLE_INSUFFICIENT_DATA
Staphylococcus		15	NEWLY_INCLUDED	ABSENT_FROM_FAILED_PHASE10B	NOT_PRIORITIZED_LOCKED_EVIDENCE_WEAK_OR_SENSITIVE
Paraburkholderia		16	NEWLY_INCLUDED	ABSENT_FROM_FAILED_PHASE10B	NOT_PRIORITIZED_LOCKED_EVIDENCE_WEAK_OR_SENSITIVE
