feature_name	database	feature_type	query_result_status	query_result_path	value_used_in_scoring	reproducibility_decision	reviewer_verification
HALLMARK_PROTEIN_SECRETION	OpenTargets	PATHWAY_OR_PROCESS	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
HALLMARK_PROTEIN_SECRETION	GTEx	PATHWAY_OR_PROCESS	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
HALLMARK_PROTEIN_SECRETION	ChEMBL	PATHWAY_OR_PROCESS	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
HALLMARK_SPERMATOGENESIS	OpenTargets	PATHWAY_OR_PROCESS	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
HALLMARK_SPERMATOGENESIS	GTEx	PATHWAY_OR_PROCESS	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
HALLMARK_SPERMATOGENESIS	ChEMBL	PATHWAY_OR_PROCESS	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
MEblack	OpenTargets	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
MEblack	GTEx	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
MEblack	ChEMBL	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
MEblue	OpenTargets	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
MEblue	GTEx	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
MEblue	ChEMBL	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
MEgreen	OpenTargets	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
MEgreen	GTEx	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
MEgreen	ChEMBL	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
MEtan	OpenTargets	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
MEtan	GTEx	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
MEtan	ChEMBL	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
MEgreenyellow	OpenTargets	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
MEgreenyellow	GTEx	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
MEgreenyellow	ChEMBL	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
MEpurple	OpenTargets	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
MEpurple	GTEx	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
MEpurple	ChEMBL	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
MEred	OpenTargets	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
MEred	GTEx	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
MEred	ChEMBL	WGCNA_MODULE	NOT_APPLICABLE_NON_GENE_OR_PROCESS		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
BHLHE40	OpenTargets	GENE_SYMBOL	NOT_RUN_DATABASE_UNAVAILABLE		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
BHLHE40	GTEx	GENE_SYMBOL	NOT_RUN_DATABASE_UNAVAILABLE		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
