feature_name	phase10b_rank	phase10br_rank	rank_change	phase10b_status	phase10br_decision	reviewer_verification
HALLMARK_PROTEIN_SECRETION	1.0	1	0	PRESENT_IN_FAILED_PHASE10B	RETAINED_AS_SUPPORTED_BIOLOGICAL_FEATURE_NOT_DIRECT_GENE_TARGET	VERIFIED_RANK_REPRODUCIBILITY
BHLHE40	3.0	2	1	PRESENT_IN_FAILED_PHASE10B	NOT_PRIORITIZED_COMPOSITION_SENSITIVE_SINGLE_CELL_EVIDENCE	VERIFIED_RANK_REPRODUCIBILITY
CTCFL	4.0	3	1	PRESENT_IN_FAILED_PHASE10B	NOT_PRIORITIZED_COMPOSITION_SENSITIVE_SINGLE_CELL_EVIDENCE	VERIFIED_RANK_REPRODUCIBILITY
HALLMARK_SPERMATOGENESIS	2.0	4	-2	PRESENT_IN_FAILED_PHASE10B	NOT_PRIORITIZED_COMPOSITION_SENSITIVE_SINGLE_CELL_EVIDENCE	VERIFIED_RANK_REPRODUCIBILITY
Ochrobactrum		5	NEWLY_INCLUDED	ABSENT_FROM_FAILED_PHASE10B	NOT_PRIORITIZED_DISCOVERY_ONLY_NO_CAUSAL_VALIDATION	VERIFIED_RANK_REPRODUCIBILITY
Lysobacter		6	NEWLY_INCLUDED	ABSENT_FROM_FAILED_PHASE10B	NOT_PRIORITIZED_LOCKED_EVIDENCE_WEAK_OR_SENSITIVE	VERIFIED_RANK_REPRODUCIBILITY
Brevundimonas		7	NEWLY_INCLUDED	ABSENT_FROM_FAILED_PHASE10B	NOT_PRIORITIZED_LOCKED_EVIDENCE_WEAK_OR_SENSITIVE	VERIFIED_RANK_REPRODUCIBILITY
MEpurple		8	NEWLY_INCLUDED	ABSENT_FROM_FAILED_PHASE10B	NOT_PRIORITIZED_NOT_EXTERNALLY_SUPPORTED	VERIFIED_RANK_REPRODUCIBILITY
MEred		9	NEWLY_INCLUDED	ABSENT_FROM_FAILED_PHASE10B	NOT_PRIORITIZED_NOT_EXTERNALLY_SUPPORTED	VERIFIED_RANK_REPRODUCIBILITY
MEblack		10	NEWLY_INCLUDED	ABSENT_FROM_FAILED_PHASE10B	NOT_PRIORITIZED_INELIGIBLE_INSUFFICIENT_DATA	VERIFIED_RANK_REPRODUCIBILITY
MEblue		11	NEWLY_INCLUDED	ABSENT_FROM_FAILED_PHASE10B	NOT_PRIORITIZED_INELIGIBLE_INSUFFICIENT_DATA	VERIFIED_RANK_REPRODUCIBILITY
MEgreen		12	NEWLY_INCLUDED	ABSENT_FROM_FAILED_PHASE10B	NOT_PRIORITIZED_INELIGIBLE_INSUFFICIENT_DATA	VERIFIED_RANK_REPRODUCIBILITY
MEgreenyellow		13	NEWLY_INCLUDED	ABSENT_FROM_FAILED_PHASE10B	NOT_PRIORITIZED_INELIGIBLE_INSUFFICIENT_DATA	VERIFIED_RANK_REPRODUCIBILITY
MEtan		14	NEWLY_INCLUDED	ABSENT_FROM_FAILED_PHASE10B	NOT_PRIORITIZED_INELIGIBLE_INSUFFICIENT_DATA	VERIFIED_RANK_REPRODUCIBILITY
Staphylococcus		15	NEWLY_INCLUDED	ABSENT_FROM_FAILED_PHASE10B	NOT_PRIORITIZED_LOCKED_EVIDENCE_WEAK_OR_SENSITIVE	VERIFIED_RANK_REPRODUCIBILITY
Paraburkholderia		16	NEWLY_INCLUDED	ABSENT_FROM_FAILED_PHASE10B	NOT_PRIORITIZED_LOCKED_EVIDENCE_WEAK_OR_SENSITIVE	VERIFIED_RANK_REPRODUCIBILITY
