section_name	status	content_type
Title	Present	Text
Abstract	Present	Text
Introduction	Present	Text
Results	Present	Text
Discussion	Present	Text
Limitations	Present	Text
Methods summary	Present	Text
Data availability placeholder	Present	Placeholder
Code availability placeholder	Present	Placeholder
Author contributions placeholder	Present	Placeholder
Funding placeholder	Present	Placeholder
Conflict of interest placeholder	Present	Placeholder
References placeholder	Present	Placeholder
Figure legends	Present	Text
Supplementary table legends	Present	Text
