citation_number	reference_key	manuscript_location	mapped_claim	title	authors	journal	year	doi_or_pmid	verification_status	claim_support_status	issue	required_action
[1]	Siegel2022	Introduction	Pancreatic ductal adenocarcinoma remains one of the most lethal solid malignancies...	Cancer statistics, 2022	Siegel et al.	CA Cancer J Clin	2022	10.3322/caac.21708	PASS	SUPPORTED	None	None
[2]	Kleeff2016	Introduction	The poor prognosis reflects a combination of late-stage diagnosis...	Pancreatic cancer	Kleeff et al.	Nat Rev Dis Primers	2016	10.1038/nrdp.2016.22	PASS	SUPPORTED	None	None
[3]	Bear2020	Introduction	The poor prognosis reflects a combination of late-stage diagnosis...	Challenges and opportunities for pancreatic cancer immunotherapy	Bear et al.	Cancer Cell	2020	10.1016/j.ccell.2020.08.004	FAIL	SUPPORTED	PMID 32673551 in mapping file does not match DOI 10.1016/j.ccell.2020.08.004. PMID 32673551 belongs to an amphibian telomere study. True PMID is 32946773.	Update PMID in mapping table to 32946773.
[4]	Collisson2011	Introduction	bulk transcriptomic studies have established at least two major molecular subtypes...	Subtypes of pancreatic ductal adenocarcinoma and their differing responses to therapy	Collisson et al.	Nat Med	2011	10.1038/nm.2344	PASS	SUPPORTED	None	None
[5]	Moffitt2015	Introduction	bulk transcriptomic studies have established at least two major molecular subtypes...	Virtual microdissection identifies distinct tumor-and stroma-specific subtypes of pancreatic ductal adenocarcinoma	Moffitt et al.	Nat Genet	2015	10.1038/ng.3398	PASS	SUPPORTED	None	None
[6]	Nejman2020	Introduction	Several reports have documented the presence of diverse microbial taxa...	The human tumor microbiome is composed of tumor type-specific intracellular bacteria	Nejman et al.	Science	2020	10.1126/science.aay9189	FAIL	SUPPORTED	PMID 32471947 in mapping file does not match DOI 10.1126/science.aay9189. PMID 32471947 belongs to a paper on HTLV-1. True PMID is 32467386.	Update PMID in mapping table to 32467386.
[7]	Geller2017	Introduction	Several reports have documented the presence of diverse microbial taxa...	Potential role of intratumor bacteria in mediating tumor resistance to the chemotherapeutic drug gemcitabine	Geller et al.	Science	2017	10.1126/science.aah5043	FAIL	SUPPORTED	PMID 28916614 in mapping file does not match DOI 10.1126/science.aah5043. PMID 28916614 belongs to a paper on ALS. True PMID is 28912244.	Update PMID in mapping table to 28912244.
[8]	Riquelme2019	Introduction	Several reports have documented the presence of diverse microbial taxa...	Tumor microbiome diversity and composition influence pancreatic cancer outcomes	Riquelme et al.	Cell	2019	10.1016/j.cell.2019.07.008	PASS	SUPPORTED	None	None
[9]	Pushalkar2018	Introduction	Several reports have documented the presence of diverse microbial taxa...	The pancreatic cancer microbiome promotes oncogenesis by induction of innate and adaptive immune suppression	Pushalkar et al.	Cancer Discov	2018	10.1158/2159-8290.CD-17-1134	PASS	SUPPORTED	None	None
[10]	Subramanian2005	Introduction	Gene-set enrichment frameworks enable the aggregation of signal...	Gene set enrichment analysis: a knowledge-based approach for interpreting genome-wide expression profiles	Subramanian et al.	PNAS	2005	10.1073/pnas.0506580102	PASS	SUPPORTED	None	None
[11]	Liberzon2015	Introduction	HALLMARK_PROTEIN_SECRETION captures a coordinated programme...	The Molecular Signatures Database (MSigDB) hallmark gene set collection	Liberzon et al.	Cell Syst	2015	10.1016/j.cels.2015.12.004	PASS	SUPPORTED	None	None
[12]	Behan2019	Introduction	Target prioritisation in oncology requires the integration...	Prioritization of cancer therapeutic targets using CRISPR-Cas9 screens	Behan et al.	Nature	2019	10.1038/s41586-019-1103-9	PASS	SUPPORTED	None	None
[13]	Boehm2015	Introduction	Target prioritisation in oncology requires the integration...	An armamentarium of therapeutic targets: state of the art	Boehm et al.	Nat Rev Genet	2015	10.1038/nrg3915	FAIL	UNSUPPORTED	Fabricated or mismatched reference. DOI 10.1038/nrg3915 belongs to 'Classifying pathogenic variation' by Bahcall. PMID 25686524 belongs to an analgesia paper. Title does not exist.	Remove citation [13] from manuscript or replace with a valid reference.
[14]	ChanSengYue2020	Results	A subset of malignant cells in basal-enriched tumours co-expressed markers...	Transcription phenotypes of pancreatic cancer are driven by genomic events during tumor evolution	Chan-Seng-Yue et al.	Nat Genet	2020	10.1038/s41588-019-0566-9	PASS	SUPPORTED	None	None
