qa_item	category	status	evidence_path	issue	required_action
manuscript_presence	package_presence	PASS	08_submission/phase11h_submission_package/manuscript.md	None	None
bibliography_presence	package_presence	PASS	08_submission/phase11h_submission_package/references.bib	None	None
figure_1_presence	package_presence	PASS	08_submission/phase11h_submission_package/Figure_1.pdf	None	None
figure_2_presence	package_presence	PASS	08_submission/phase11h_submission_package/Figure_2.pdf	None	None
figure_3_presence	package_presence	PASS	08_submission/phase11h_submission_package/Figure_3.pdf	None	None
figure_4_presence	package_presence	PASS	08_submission/phase11h_submission_package/Figure_4.pdf	None	None
figure_5_presence	package_presence	PASS	08_submission/phase11h_submission_package/Figure_5.pdf	None	None
table_s1_presence	package_presence	PASS	08_submission/phase11h_submission_package/Table_S1.tsv	None	None
table_s2_presence	package_presence	PASS	08_submission/phase11h_submission_package/Table_S2.tsv	None	None
table_s3_presence	package_presence	PASS	08_submission/phase11h_submission_package/Table_S3.tsv	None	None
figure_legends_presence	package_presence	PASS	08_submission/phase11h_submission_package/figure_legends.txt	None	None
supplementary_table_legends_presence	package_presence	PASS	08_submission/phase11h_submission_package/supplementary_table_legends.txt	None	None
cover_letter_draft_presence	package_presence	PASS	08_submission/phase11h_submission_package/cover_letter.txt	None	None
submission_checklist_presence	package_presence	PASS	08_submission/phase11h_submission_package/submission_checklist.txt	None	None
title_present	formatting	PASS	08_submission/phase11h_submission_package/manuscript.md	None	None
abstract_present	formatting	PASS	08_submission/phase11h_submission_package/manuscript.md	None	None
introduction_present	formatting	PASS	08_submission/phase11h_submission_package/manuscript.md	None	None
results_present	formatting	PASS	08_submission/phase11h_submission_package/manuscript.md	None	None
discussion_present	formatting	PASS	08_submission/phase11h_submission_package/manuscript.md	None	None
limitations_present	formatting	PASS	08_submission/phase11h_submission_package/manuscript.md	None	None
methods_summary_present	formatting	PASS	08_submission/phase11h_submission_package/manuscript.md	None	None
data_availability_placeholder_present	formatting	PASS	08_submission/phase11h_submission_package/manuscript.md	None	None
references_placeholder_present	formatting	PASS	08_submission/phase11h_submission_package/manuscript.md	None	None
figure_legends_present	formatting	PASS	08_submission/phase11h_submission_package/manuscript.md	None	None
supplementary_table_legends_present	formatting	PASS	08_submission/phase11h_submission_package/manuscript.md	None	None
citation_resolution	callouts	PASS	09_docs/references/phase11g_references.bib	None	None
citation_numbering_sequential	callouts	PASS	08_submission/phase11h_submission_package/manuscript.md	None	None
figure_1_5_callouts	callouts	PASS	08_submission/phase11h_submission_package/manuscript.md	None	None
table_s1_s3_callouts	callouts	PASS	08_submission/phase11h_submission_package/manuscript.md	None	None
legends_match_labels	callouts	PASS	08_submission/phase11h_submission_package/manuscript.md	None	None
no_microbial_causality_claimed	claims	PASS	08_submission/phase11h_submission_package/manuscript.md	None	None
no_microbial_localisation_claimed	claims	PASS	08_submission/phase11h_submission_package/manuscript.md	None	None
no_physical_interaction_claimed	claims	PASS	08_submission/phase11h_submission_package/manuscript.md	None	None
ochrobactrum_associative_only	claims	PASS	08_submission/phase11h_submission_package/manuscript.md	None	None
secretion_partial_spatial	claims	PASS	08_submission/phase11h_submission_package/manuscript.md	None	None
ctcfl_composition_excluded	claims	PASS	08_submission/phase11h_submission_package/manuscript.md	None	None
moncada_exploratory_only	claims	PASS	08_submission/phase11h_submission_package/manuscript.md	None	None
null_findings_reported	claims	PASS	08_submission/phase11h_submission_package/manuscript.md	None	None
