expression_column	total_expression	mean_expression	median_expression	sd_expression	min_expression	max_expression	detected_genes_gt0	zero_gene_count	zero_proportion	missing_count	negative_count	infinite_count	mean_sample_correlation	min_sample_correlation	total_expression_robust_z	detected_genes_robust_z	pc1	pc2	pc1_robust_z	pc2_robust_z	outlier_flag	geo_sample_id	patient_id	tumor_number	subtype_original	mapping_status	notes
YX15261T	52500646.744038075	1193.7119834482635	32.0557936454842	17319.84835977792	0.0	1842665.12889874	36661	7320	0.16216216216216217	1159	0	0	0.8802167685072724	0.41886920259347526	0.7915232605713619	-2.0072836213373404	65.24867986156899	27.50853774917756	0.8516551854033825	0.438734068336277	none	GSM5253087	PDAC_001	1	Classical	MAPPED	Matched expression column to manifest microbiome alias; RNA GEO ID from manifest retained.
YX15263T	47300398.16145186	1075.4734581171838	38.4512272793554	11667.574775036977	0.0	1214868.35690205	38600	5381	0.11920691182986265	1159	0	0	0.8936461493515512	0.4018435189763203	-0.38521399572565396	-0.04206123215627348	10.971845357437887	67.81151478526294	0.24073196947038772	1.2890599366686772	none	GSM5253088	PDAC_002	2	Classical	MAPPED	Matched expression column to manifest microbiome alias; RNA GEO ID from manifest retained.
YX15271T	46306084.18074322	1052.865650638758	46.6652264833374	15626.403304498952	0.0	1541417.19065077	39418	4563	0.10108551174124944	1159	0	0	0.8984057233275468	0.6723687637219955	-0.61021214475163	0.7870011269722013	-103.93725354975929	-15.527039702289098	-1.0526492102851188	-0.4692451296480275	none	GSM5253089	PDAC_003	3	Hybrid	MAPPED	Matched expression column to manifest microbiome alias; RNA GEO ID from manifest retained.
YX16036T	44253017.85990728	1006.1848948388458	48.0391000264483	10759.903339959861	0.0	823963.577328107	39838	4143	0.09178112538768277	1159	0	0	0.8528836638670807	0.7721509144355848	-1.0747898646449348	1.2126810668670174	-67.94078382131823	20.145813834212294	-0.6474841108528717	0.28339282392450516	none	GSM5253090	PDAC_004	4	Hybrid	MAPPED	Matched expression column to manifest microbiome alias; RNA GEO ID from manifest retained.
YX16041T	43359336.32797207	985.8651765074025	45.8506031051921	10756.845155189509	0.0	1028426.4323323	39926	4055	0.08983163491360213	1159	0	0	0.8964230045467281	0.44458454368549744	-1.2770164192397055	1.3018711495116455	-51.484910727185856	39.89952307243658	-0.4622619068776671	0.7001632760362562	none	GSM5253091	PDAC_005	5	Classical	MAPPED	Matched expression column to manifest microbiome alias; RNA GEO ID from manifest retained.
YX16057T	46964509.01039979	1067.8363159182327	43.1626822271504	13934.369062636419	0.0	1250988.42334483	39688	4293	0.09510412051395659	1159	0	0	0.9161089050741836	0.6241230707859976	-0.4612206080542478	1.060652516904583	-45.19177528038137	11.866330695625088	-0.3914283260215268	0.1087094827197322	none	GSM5253092	PDAC_006	6	Classical	MAPPED	Matched expression column to manifest microbiome alias; RNA GEO ID from manifest retained.
YX16062T	49904965.60981451	1134.6937452494146	38.6220240325491	14395.92111891691	0.0	1596519.52700548	38111	5870	0.13003987594151528	1159	0	0	0.8902446646183815	0.39716646693904584	0.2041600513708668	-0.5376743050338092	17.496106070243897	43.58579566425884	0.3141670246401834	0.7779375044696712	none	GSM5253093	PDAC_007	7	Classical	MAPPED	Matched expression column to manifest microbiome alias; RNA GEO ID from manifest retained.
YX16112T	45561986.46466643	1035.9470331430944	42.0093230405394	9870.48573458365	0.0	1009021.93011072	40058	3923	0.08690739920248117	1159	0	0	0.883423011298988	0.38841589233085805	-0.7785901541731737	1.4356562734785876	-65.61679076099948	29.195670312827357	-0.6213259657217691	0.4743297629395044	none	GSM5253094	PDAC_008	8	Classical	MAPPED	Matched expression column to manifest microbiome alias; RNA GEO ID from manifest retained.
YX16113T	47760521.857768014	1085.9353324792073	41.6826498157836	14751.523650520254	0.0	1334618.57565893	39704	4277	0.09474966770048737	1159	0	0	0.9116396118777955	0.4381697496249734	-0.2810949930738544	1.0768688955672427	-81.66319626480905	17.67381233958337	-0.8019393294912815	0.2312376986205532	none	GSM5253095	PDAC_009	9	Hybrid	MAPPED	Matched expression column to manifest microbiome alias; RNA GEO ID from manifest retained.
YX16119T	49511950.93671479	1125.7577348562968	38.2371849731691	17264.39977960579	0.0	1811950.58261489	38912	5069	0.11229508196721312	1159	0	0	0.9075804480363114	0.48597581016815145	0.11522680120730794	0.2741581517655898	-64.90884466852683	36.318678978929704	-0.6133575440650553	0.6246134137903994	none	GSM5253096	PDAC_010	10	Classical	MAPPED	Matched expression column to manifest microbiome alias; RNA GEO ID from manifest retained.
YX16120T	51090428.46065269	1161.6477219856913	35.7178378640716	15075.1342398483	0.0	1614179.23809677	39150	4831	0.10702259636685867	1159	0	0	0.8964443169573343	0.40057618192015204	0.4724122859291612	0.5153767843726521	23.111798969226598	74.020973213498	0.3773755222779274	1.4200691949955595	none	GSM5253097	PDAC_011	11	Classical	MAPPED	Matched expression column to manifest microbiome alias; RNA GEO ID from manifest retained.
YX16127T	47419891.85079761	1078.1903970077444	38.6868315306887	11202.564872865529	0.0	1007473.00994115	39593	4388	0.09720868409392999	1159	0	0	0.8415628014571672	0.35697815557555984	-0.35817438907754406	0.9643677685950413	19.255172860373346	78.60354012308319	0.33396653487847894	1.5167537447025317	none	GSM5253098	PDAC_012	12	Classical	MAPPED	Matched expression column to manifest microbiome alias; RNA GEO ID from manifest retained.
YX16128T	46211280.62378242	1050.7100935354454	39.3455677257021	12952.972651372114	0.0	1535674.91118141	39726	4255	0.0942622950819672	1159	0	0	0.8998718114854704	0.5627535324600966	-0.6316647495134138	1.0991664162283996	-87.65695061611568	35.31460866394858	-0.8694031695856026	0.6034291980018567	none	GSM5253099	PDAC_013	13	Classical	MAPPED	Matched expression column to manifest microbiome alias; RNA GEO ID from manifest retained.
YX16130T	54718797.683023706	1244.1462832364818	42.1041344033822	21096.025106376335	0.0	2083096.03473099	38808	5173	0.11459902525476295	1159	0	0	0.8634315071961062	0.6484659996925859	1.2934571217208404	0.16875169045830202	-58.21852266327965	38.539678908141255	-0.538053354489265	0.6714728230018349	none	GSM5253100	PDAC_014	14	Hybrid	MAPPED	Matched expression column to manifest microbiome alias; RNA GEO ID from manifest retained.
YX16132T	49020922.61839561	1114.5931792909578	38.5152024164549	12954.895708027683	0.0	1344561.61899648	39271	4710	0.10434204696499778	1159	0	0	0.9124694955740608	0.4994402781103074	0.004114552074077374	0.6380131480090158	-78.14806655250756	28.486498849509736	-0.762374119620809	0.45936742306564865	none	GSM5253101	PDAC_015	15	Hybrid	MAPPED	Matched expression column to manifest microbiome alias; RNA GEO ID from manifest retained.
YX16135T	66090141.280069456	1502.6975575832623	39.3347735945629	29109.3742285577	0.0	2821451.6235926	38568	5413	0.11991581745680106	1159	0	0	0.4897832924105249	0.2887883958361071	3.866619433539308	-0.07449398948159279	-75.15544926158705	-51.95454348931545	-0.7286901475150539	-1.2378049499598422	total_expression_robust_z_abs_gt_3.5;mean_correlation_below_Q1_minus_3IQR	GSM5253102	PDAC_016	16	Hybrid	MAPPED	Matched expression column to manifest microbiome alias; RNA GEO ID from manifest retained.
YX16139T	48417009.08562951	1100.8619423303132	39.3282719890722	13090.501069559523	0.0	1333037.0228392	38439	5542	0.12277359326539654	1159	0	0	0.9050686421111453	0.4362615838763977	-0.13254190622822942	-0.20523854244928627	-50.90907728941567	1.1242266745663163	-0.45578050428928407	-0.1179310684545733	none	GSM5253103	PDAC_017	17	Classical	MAPPED	Matched expression column to manifest microbiome alias; RNA GEO ID from manifest retained.
YX16141T	50733130.04689301	1153.5237954319593	39.7863650094586	15852.499665500458	0.0	1350418.12676043	38465	5516	0.12219760744350908	1159	0	0	0.8828465279081376	0.4166902856515624	0.39156108268192297	-0.17888692712246432	-18.900952179301594	76.3723250732444	-0.09550697494836041	1.4696788134141612	none	GSM5253104	PDAC_018	18	Hybrid	MAPPED	Matched expression column to manifest microbiome alias; RNA GEO ID from manifest retained.
YX16144T	50912837.163170725	1157.6098124910923	42.8036058655454	18061.717160000437	0.0	1475726.40249824	38323	5658	0.1253433761630483	1159	0	0	0.7907934417219679	0.5893442743453411	0.4322260731313836	-0.32280728775356876	-91.2051988770378	-115.0048117291021	-0.9093411515680672	-2.5680608772474107	none	GSM5253105	PDAC_019	19	Hybrid	MAPPED	Matched expression column to manifest microbiome alias; RNA GEO ID from manifest retained.
YX16147T	41001566.3344777	932.2563455691708	45.7127979592248	10611.131483899646	0.0	1261870.73746201	38683	5298	0.11736818785999113	1159	0	0	0.8856487797129509	0.40626792740063783	-1.8105439514455182	0.04206123215627348	-75.25409220979458	-105.59873232571759	-0.7298004419472662	-2.3696082262403846	none	GSM5253106	PDAC_020	20	Classical	MAPPED	Matched expression column to manifest microbiome alias; RNA GEO ID from manifest retained.
YX16153T	52398290.28072944	1191.3846952258803	35.9370249385204	15355.113239688339	0.0	2083974.70426854	38104	5877	0.13019494904740805	1159	0	0	0.866833416325458	0.3880528455123046	0.7683615478406668	-0.5447689706987228	14.341608144780563	85.32075626312341	0.27866097431716136	1.658475847314009	none	GSM5253107	PDAC_021	21	Classical	MAPPED	Matched expression column to manifest microbiome alias; RNA GEO ID from manifest retained.
YX16155T	43621080.9254034	991.8164872422956	43.6588118598685	9954.981025942629	0.0	1127868.10220914	38939	5042	0.11169694284448382	1159	0	0	0.8378455983393205	0.3402300926506363	-1.2177875930517978	0.30152329075882794	10.194906028811445	59.32036032003468	0.2319869813448705	1.1099106820782512	none	GSM5253108	PDAC_022	22	Hybrid	MAPPED	Matched expression column to manifest microbiome alias; RNA GEO ID from manifest retained.
YX16158T	42021480.818984285	955.4462340325205	37.7892934776066	13083.39121843816	0.0	1536443.22220606	37042	6939	0.15372175454142667	1159	0	0	0.8467857112360928	0.3768101847100896	-1.5797527973120769	-1.6211311044327574	-95.9656234839527	-229.95981704330254	-0.9629230145604945	-4.993420538034581	pc1_or_pc2_robust_z_abs_gt_3.5	GSM5253109	PDAC_023	23	Hybrid	MAPPED	Matched expression column to manifest microbiome alias; RNA GEO ID from manifest retained.
YX16159T	45405678.98409226	1032.3930557307078	43.1767993177635	14331.518503974985	0.0	1357149.34745569	39291	4690	0.10389898094816127	1159	0	0	0.8764202208627887	0.676042387906564	-0.8139601625311357	0.6582836213373403	-50.93128807804024	-33.804745058424174	-0.4560305020376586	-0.8548743516323921	none	GSM5253110	PDAC_024	24	Hybrid	MAPPED	Matched expression column to manifest microbiome alias; RNA GEO ID from manifest retained.
