gene	row_index_1based	missing_count	missing_proportion	nonmissing_count	mean_expression_skipna	median_expression_skipna	detected_sample_count_gt0_skipna	all_zero_among_observed	literal_NA	blank_field	parse_failure	missing_pattern
A1BG	1	0	0.0	62	279.19906189979184	159.4422289088285	62	False	0	0	0	complete
A1BG-AS1	2	0	0.0	62	201.75231790187632	143.381110710759	62	False	0	0	0	complete
A1CF	3	0	0.0	62	498.16581986236156	265.041242754193	62	False	0	0	0	complete
A2M	4	0	0.0	62	28010.275306316995	25268.723910421897	62	False	0	0	0	complete
A2M-AS1	5	0	0.0	62	982.7644252651943	878.3956290505015	62	False	0	0	0	complete
A2ML1	6	0	0.0	62	899.3093163510756	154.2840833947655	62	False	0	0	0	complete
A2ML1-AS1	7	0	0.0	62	88.34425227437774	61.493742641138255	62	False	0	0	0	complete
A2MP1	8	0	0.0	62	153.3433131428943	107.063016035087	62	False	0	0	0	complete
A3GALT2	9	0	0.0	62	6.021525299435302	4.91035922452987	61	False	0	0	0	complete
A4GALT	10	0	0.0	62	1203.2590181884357	630.61897768022	62	False	0	0	0	complete
A4GNT	11	0	0.0	62	79.36892600926016	34.8247339086482	62	False	0	0	0	complete
AAAS	12	0	0.0	62	876.4861370349863	838.451803895642	62	False	0	0	0	complete
AACS	13	0	0.0	62	1605.4038439531992	1410.1093689035702	62	False	0	0	0	complete
AACSP1	14	0	0.0	62	11.590765801166093	3.04905157974258	49	False	0	0	0	complete
AADAC	15	0	0.0	62	451.5309075634344	273.489385591261	61	False	0	0	0	complete
AADACL2	16	0	0.0	62	87.32970060628496	20.133529349548702	62	False	0	0	0	complete
AADACL2-AS1	17	0	0.0	62	25.619516547394618	10.805327389879501	61	False	0	0	0	complete
AADACL4	18	0	0.0	62	3.6974940724292042	0.0	28	False	0	0	0	complete
AADACP1	19	0	0.0	62	434.35833529247026	155.279621844897	62	False	0	0	0	complete
AADAT	20	0	0.0	62	234.7729359160747	228.1016155982185	62	False	0	0	0	complete
AAGAB	21	0	0.0	62	1471.702678152833	1413.7646135150148	62	False	0	0	0	complete
AAK1	22	0	0.0	62	5947.813739376134	5869.303714509495	62	False	0	0	0	complete
AAMDC	23	0	0.0	62	298.9416185477247	298.1067358080895	62	False	0	0	0	complete
AAMP	24	0	0.0	62	2343.5186049767044	2192.15084213092	62	False	0	0	0	complete
AANAT	25	0	0.0	62	43.66990117425553	34.51642850035825	62	False	0	0	0	complete
AAR2	26	0	0.0	62	893.5938299721317	854.961184164755	62	False	0	0	0	complete
AARD	27	0	0.0	62	5.436291470132122	3.5666454038477804	53	False	0	0	0	complete
AARS	28	0	0.0	62	4253.359020750948	3746.343517347235	62	False	0	0	0	complete
AARS2	29	0	0.0	62	872.28845049149	781.0538213674455	62	False	0	0	0	complete
AARSD1	30	0	0.0	62	610.9660890999654	603.407072239306	62	False	0	0	0	complete
AASDH	31	0	0.0	62	781.4047295395644	742.3133941022145	62	False	0	0	0	complete
AASDHPPT	32	0	0.0	62	1369.0188970687602	1280.41430012764	62	False	0	0	0	complete
