method_name	analysis_set	comparison_scope	public_subtype	predicted_subtype	n
GSE172356_original	full_62	all	Basal	Basal	17
GSE172356_original	full_62	all	Basal	Hybrid	0
GSE172356_original	full_62	all	Basal	Classical	0
GSE172356_original	full_62	all	Hybrid	Basal	0
GSE172356_original	full_62	all	Hybrid	Hybrid	23
GSE172356_original	full_62	all	Hybrid	Classical	0
GSE172356_original	full_62	all	Classical	Basal	0
GSE172356_original	full_62	all	Classical	Hybrid	0
GSE172356_original	full_62	all	Classical	Classical	22
Moffitt	full_62	all_public_labels	Basal	Classical	15
Moffitt	full_62	all_public_labels	Basal	Others	2
Moffitt	full_62	all_public_labels	Classical	Basal	13
Moffitt	full_62	all_public_labels	Classical	Classical	5
Moffitt	full_62	all_public_labels	Classical	Others	4
Moffitt	full_62	all_public_labels	Hybrid	Basal	4
Moffitt	full_62	all_public_labels	Hybrid	Classical	7
Moffitt	full_62	all_public_labels	Hybrid	Others	12
PurIST	full_62	all_public_labels	Basal	Basal-like	16
PurIST	full_62	all_public_labels	Basal	Classical	1
PurIST	full_62	all_public_labels	Classical	Classical	22
PurIST	full_62	all_public_labels	Hybrid	Basal-like	3
PurIST	full_62	all_public_labels	Hybrid	Classical	20
