method_name	analysis_set	comparison_scope	metric	class_label	value	n_samples	notes
GSE172356_original	full_62	all	class_count_public	ALL	62.0	62	Primary locked reproduction.
GSE172356_original	full_62	all	exact_agreement	ALL	1.0	62	Primary locked reproduction.
GSE172356_original	full_62	all	balanced_accuracy	ALL	1.0	62	Primary locked reproduction.
GSE172356_original	full_62	all	cohens_kappa	ALL	1.0	62	Primary locked reproduction.
GSE172356_original	full_62	all	adjusted_rand_index	ALL	1.0	62	Primary locked reproduction.
GSE172356_original	full_62	all	normalized_mutual_information	ALL	1.0	62	Primary locked reproduction.
GSE172356_original	full_62	all	public_class_count	Basal	17.0	62	Primary locked reproduction.
GSE172356_original	full_62	all	predicted_class_count	Basal	17.0	62	Primary locked reproduction.
GSE172356_original	full_62	all	per_class_sensitivity	Basal	1.0	62	Primary locked reproduction.
GSE172356_original	full_62	all	per_class_precision	Basal	1.0	62	Primary locked reproduction.
GSE172356_original	full_62	all	public_class_count	Hybrid	23.0	62	Primary locked reproduction.
GSE172356_original	full_62	all	predicted_class_count	Hybrid	23.0	62	Primary locked reproduction.
GSE172356_original	full_62	all	per_class_sensitivity	Hybrid	1.0	62	Primary locked reproduction.
GSE172356_original	full_62	all	per_class_precision	Hybrid	1.0	62	Primary locked reproduction.
GSE172356_original	full_62	all	public_class_count	Classical	22.0	62	Primary locked reproduction.
GSE172356_original	full_62	all	predicted_class_count	Classical	22.0	62	Primary locked reproduction.
GSE172356_original	full_62	all	per_class_sensitivity	Classical	1.0	62	Primary locked reproduction.
GSE172356_original	full_62	all	per_class_precision	Classical	1.0	62	Primary locked reproduction.
Moffitt	full_62	public_basal_classical_only	class_count_public	ALL	33.0	33	Binary comparison excludes public Hybrid samples.
Moffitt	full_62	public_basal_classical_only	exact_agreement	ALL	0.15151515151515152	33	Binary comparison excludes public Hybrid samples.
Moffitt	full_62	public_basal_classical_only	balanced_accuracy	ALL	0.1388888888888889	33	Binary comparison excludes public Hybrid samples.
Moffitt	full_62	public_basal_classical_only	cohens_kappa	ALL	-0.7303370786516852	33	Binary comparison excludes public Hybrid samples.
Moffitt	full_62	public_basal_classical_only	adjusted_rand_index	ALL	0.46987951807228917	33	Binary comparison excludes public Hybrid samples.
Moffitt	full_62	public_basal_classical_only	normalized_mutual_information	ALL	0.5122521786407086	33	Binary comparison excludes public Hybrid samples.
Moffitt	full_62	public_basal_classical_only	public_class_count	Basal	15.0	33	Binary comparison excludes public Hybrid samples.
