analysis_id	candidate_K	cluster_id	aligned_public_label	overlap_n
STAB_CSY_PRIMARY	2	1	Hybrid	23
STAB_CSY_PRIMARY	2	2	Basal	17
STAB_CSY_PRIMARY	3	1	Classical	22
STAB_CSY_PRIMARY	3	2	Hybrid	23
STAB_CSY_PRIMARY	3	3	Basal	17
STAB_CSY_PRIMARY	4	1	Classical	18
STAB_CSY_PRIMARY	4	2	Hybrid	23
STAB_CSY_PRIMARY	4	3	UNMAPPED_1	0
STAB_CSY_PRIMARY	4	4	Basal	17
STAB_CSY_PRIMARY	5	1	Classical	18
STAB_CSY_PRIMARY	5	2	Hybrid	14
STAB_CSY_PRIMARY	5	3	UNMAPPED_1	0
STAB_CSY_PRIMARY	5	4	UNMAPPED_2	0
STAB_CSY_PRIMARY	5	5	Basal	17
STAB_CSY_PRIMARY	6	1	Classical	18
STAB_CSY_PRIMARY	6	2	Hybrid	14
STAB_CSY_PRIMARY	6	3	UNMAPPED_2	0
STAB_CSY_PRIMARY	6	4	UNMAPPED_3	0
STAB_CSY_PRIMARY	6	5	Basal	17
STAB_CSY_PRIMARY	6	6	UNMAPPED_1	0
STAB_CSY_LOG2	2	1	Classical	22
STAB_CSY_LOG2	2	2	Basal	17
STAB_CSY_LOG2	3	1	Hybrid	7
STAB_CSY_LOG2	3	2	Classical	19
STAB_CSY_LOG2	3	3	Basal	17
STAB_CSY_LOG2	4	1	Hybrid	7
STAB_CSY_LOG2	4	2	Classical	19
STAB_CSY_LOG2	4	3	UNMAPPED_1	0
STAB_CSY_LOG2	4	4	Basal	16
STAB_CSY_LOG2	5	1	Hybrid	7
STAB_CSY_LOG2	5	2	Classical	19
STAB_CSY_LOG2	5	3	UNMAPPED_2	0
STAB_CSY_LOG2	5	4	Basal	16
STAB_CSY_LOG2	5	5	UNMAPPED_1	0
STAB_CSY_LOG2	6	1	UNMAPPED_3	0
STAB_CSY_LOG2	6	2	Classical	9
STAB_CSY_LOG2	6	3	Hybrid	11
STAB_CSY_LOG2	6	4	UNMAPPED_2	0
STAB_CSY_LOG2	6	5	Basal	16
STAB_CSY_LOG2	6	6	UNMAPPED_1	0
STAB_UNSUP_HVG	2	1	Basal	15
STAB_UNSUP_HVG	2	2	Hybrid	17
STAB_UNSUP_HVG	3	1	Classical	15
STAB_UNSUP_HVG	3	2	Hybrid	17
STAB_UNSUP_HVG	3	3	Basal	13
STAB_UNSUP_HVG	4	1	Classical	14
STAB_UNSUP_HVG	4	2	Hybrid	17
STAB_UNSUP_HVG	4	3	UNMAPPED_1	0
STAB_UNSUP_HVG	4	4	Basal	13
