analysis_id	candidate_K	cluster_id	cluster_size	within_cluster_consensus	cluster_mean_silhouette	bootstrap_jaccard_stability	cluster_size_flag
STAB_CSY_PRIMARY	2	1	45	0.981998725670881	0.202602556899158	0.619134685930568	OK
STAB_CSY_PRIMARY	2	2	17	0.998761389034405	0.401596407067168	0.61391162993675	OK
STAB_CSY_PRIMARY	3	1	22	0.826591072977821	0.200713135917375	0.529977159426087	OK
STAB_CSY_PRIMARY	3	2	23	0.89372745362618	0.168631245832078	0.52968739423312	OK
STAB_CSY_PRIMARY	3	3	17	0.998761389034405	0.373888066028125	0.617329428964564	OK
STAB_CSY_PRIMARY	4	1	18	0.907040412387272	0.154359453585125	0.53067960003776	OK
STAB_CSY_PRIMARY	4	2	23	0.698290137904336	0.11263804522136	0.471231183657255	OK
STAB_CSY_PRIMARY	4	3	4	0.62182956248792	0.129365635218818	0.184103183215993	VERY_SMALL
STAB_CSY_PRIMARY	4	4	17	0.995851671085711	0.373864699228562	0.620173391812861	OK
STAB_CSY_PRIMARY	5	1	18	0.856422385005624	0.151363046686777	0.523627902496689	OK
STAB_CSY_PRIMARY	5	2	14	0.813929484900858	0.179725542011452	0.435913897198919	OK
STAB_CSY_PRIMARY	5	3	4	0.548819432618772	0.115447462122368	0.239715899438538	VERY_SMALL
STAB_CSY_PRIMARY	5	4	9	0.5890460527036	0.0905512115352211	0.325319993358783	OK
STAB_CSY_PRIMARY	5	5	17	0.983956492594524	0.34228821021274	0.616346749226002	OK
STAB_CSY_PRIMARY	6	1	18	0.802122002647685	0.115151922864025	0.51201076505493	OK
STAB_CSY_PRIMARY	6	2	14	0.78920138794805	0.162579385576414	0.445859859459352	OK
STAB_CSY_PRIMARY	6	3	3	0.915260521726039	0.200953919375886	0.272507659261103	VERY_SMALL
STAB_CSY_PRIMARY	6	4	9	0.52850348379877	0.0649311868641807	0.334665047826272	OK
STAB_CSY_PRIMARY	6	5	17	0.955496043116082	0.323821154513138	0.603944788441688	OK
STAB_CSY_PRIMARY	6	6	1	NA	0	0.421373479298479	VERY_SMALL
STAB_CSY_LOG2	2	1	41	0.933477640519748	0.292490682207509	0.604592559293607	OK
STAB_CSY_LOG2	2	2	21	0.947989825520862	0.420685403782738	0.583305867571817	OK
STAB_CSY_LOG2	3	1	10	0.68894894133366	0.229533431538724	0.373035809607036	OK
STAB_CSY_LOG2	3	2	31	0.965242467889174	0.229821101682404	0.567883434362157	OK
STAB_CSY_LOG2	3	3	21	0.88183179007208	0.364835999838943	0.574605042855692	OK
STAB_CSY_LOG2	4	1	10	0.636254751175581	0.210358505561776	0.397523637520035	OK
STAB_CSY_LOG2	4	2	31	0.907124202643655	0.21067239863592	0.540216702450318	OK
STAB_CSY_LOG2	4	3	4	0.827895592116134	0.195512504563177	0.429590046397614	VERY_SMALL
STAB_CSY_LOG2	4	4	17	0.980304071374572	0.410159655377703	0.599643117374539	OK
STAB_CSY_LOG2	5	1	9	0.689089504507403	0.217331946626878	0.433289599490252	OK
STAB_CSY_LOG2	5	2	31	0.743362142959495	0.163266862315862	0.485196993938752	OK
STAB_CSY_LOG2	5	3	4	0.824667563844099	0.191423106039312	0.539265899868105	VERY_SMALL
STAB_CSY_LOG2	5	4	17	0.974668791547422	0.395312115014472	0.615447592019261	OK
STAB_CSY_LOG2	5	5	1	NA	0	0.43061644050394	VERY_SMALL
STAB_CSY_LOG2	6	1	9	0.665593290144264	0.184237267377499	0.437725883159295	OK
STAB_CSY_LOG2	6	2	10	0.82355975788615	0.12566807129321	0.41548681112443	OK
STAB_CSY_LOG2	6	3	21	0.907974643314035	0.195819263092612	0.538836835438768	OK
STAB_CSY_LOG2	6	4	4	0.80299673789101	0.175278750400594	0.539793221076309	VERY_SMALL
STAB_CSY_LOG2	6	5	17	0.950413007801761	0.395312115014472	0.611451840385273	OK
STAB_CSY_LOG2	6	6	1	NA	0	0.525213131313131	VERY_SMALL
STAB_UNSUP_HVG	2	1	36	0.895614914074676	0.112808673078441	0.517542794597364	OK
STAB_UNSUP_HVG	2	2	26	0.831712881476627	0.296485991590997	0.513491987163409	OK
STAB_UNSUP_HVG	3	1	22	0.915843954983882	0.0421819770369628	0.484294757993919	OK
STAB_UNSUP_HVG	3	2	26	0.752198330162728	0.238548712085846	0.514285147089088	OK
STAB_UNSUP_HVG	3	3	14	0.889678870258325	0.21569377068992	0.552755979268875	OK
STAB_UNSUP_HVG	4	1	16	0.942077296266015	0.135943710022507	0.505694986145866	OK
STAB_UNSUP_HVG	4	2	26	0.742699599463849	0.207147950822375	0.508422938848395	OK
STAB_UNSUP_HVG	4	3	6	0.930346251776953	0.0926836503108328	0.562841039125133	OK
STAB_UNSUP_HVG	4	4	14	0.880944770683612	0.183815766953377	0.579317494102905	OK
STAB_UNSUP_HVG	5	1	16	0.834342935759185	0.0798803799237405	0.514796280714282	OK
STAB_UNSUP_HVG	5	2	14	0.93236874095974	0.175726554596972	0.554581673131426	OK
STAB_UNSUP_HVG	5	3	12	0.66241944581572	0.0453234860949784	0.399208275577864	OK
STAB_UNSUP_HVG	5	4	6	0.928892704188218	0.0857452212997023	0.573231812631812	OK
STAB_UNSUP_HVG	5	5	14	0.871283495970755	0.183815766953377	0.576323015873017	OK
STAB_UNSUP_HVG	6	1	16	0.743068291802629	0.0605699132372629	0.491959924432293	OK
STAB_UNSUP_HVG	6	2	14	0.91753613729494	0.150278610485787	0.564798837166446	OK
STAB_UNSUP_HVG	6	3	9	0.771236852059669	0.0768877871476426	0.435856318616884	OK
STAB_UNSUP_HVG	6	4	6	0.884952177691459	0.0697051854772839	0.542521825396825	OK
STAB_UNSUP_HVG	6	5	14	0.833468231022914	0.153613964791644	0.564514635854342	OK
STAB_UNSUP_HVG	6	6	3	0.944446905050147	0.1511976935488	0.396770941558441	VERY_SMALL
STAB_CSY_OUTLIER_EXCL	2	1	41	0.976753697196803	0.216085961408954	0.621610336817655	OK
STAB_CSY_OUTLIER_EXCL	2	2	17	0.999663870397332	0.399607977688574	0.617922248022012	OK
STAB_CSY_OUTLIER_EXCL	3	1	19	0.927491957449378	0.228783213387628	0.562716960437629	OK
STAB_CSY_OUTLIER_EXCL	3	2	22	0.864558595796176	0.161409370494554	0.539221368760327	OK
STAB_CSY_OUTLIER_EXCL	3	3	17	0.999663870397332	0.372013789922005	0.618808238734087	OK
STAB_CSY_OUTLIER_EXCL	4	1	18	0.859598244754445	0.137268264577864	0.530789522526084	OK
STAB_CSY_OUTLIER_EXCL	4	2	22	0.746322984920891	0.147725868061304	0.495598547174148	OK
STAB_CSY_OUTLIER_EXCL	4	3	17	0.995299774145738	0.348601263755867	0.618222566219467	OK
STAB_CSY_OUTLIER_EXCL	4	4	1	NA	0	0.186341037943824	VERY_SMALL
STAB_CSY_OUTLIER_EXCL	5	1	17	0.872298601537729	0.0990763817029822	0.526795744121793	OK
