analysis_id	candidate_K	consensus_cdf_area	delta_area_under_cdf	PAC	overall_mean_silhouette	mean_Jaccard_stability	min_cluster_Jaccard_stability	prediction_strength	mean_ARI_across_resampling_runs	min_cluster_size	max_cluster_size	cluster_size_balance	empty_cluster_occurrence	very_small_cluster_occurrence	mean_assignment_entropy	sample_n	gene_n
STAB_CSY_PRIMARY	2	0.410253551348427	NA	0.0613432046536224	0.257165386783935	0.616523157933659	0.61391162993675	0.762341919191919	0.958749521136261	17	45	0.377777777777778	0	0	0.0281352502760863	62	94
STAB_CSY_PRIMARY	3	0.666127348928301	0.255873797579874	0.195663670015865	0.236295238174164	0.558997994207924	0.52968739423312	0.483656277056277	0.783282358803024	17	23	0.739130434782609	0	0	0.182102384753611	62	94
STAB_CSY_PRIMARY	4	0.712367256841383	0.0462399079130817	0.244315177154944	0.197456574715877	0.451546839680967	0.184103183215993	0.374984126984127	0.721956814588551	4	23	0.173913043478261	0	1	0.407652501250511	62	94
STAB_CSY_PRIMARY	5	0.746050549895579	0.0336832930541964	0.255420412480169	0.198973270232989	0.428184888343786	0.239715899438538	0.297310317460317	0.704356700279687	4	18	0.222222222222222	0	1	0.566409706145401	62	94
STAB_CSY_PRIMARY	6	0.772930948081883	0.0268803981863036	0.244315177154944	0.178081420584692	0.431726933223637	0.272507659261103	0.278942857142857	0.714338230969455	1	18	0.0555555555555556	0	1	0.638347775412031	62	94
STAB_CSY_LOG2	2	0.461479539918467	NA	0.177683765203596	0.335911474999119	0.593949213432712	0.583305867571817	0.760950288600289	0.826960791541088	21	41	0.51219512195122	0	0	0.108566059656397	62	94
STAB_CSY_LOG2	3	0.579999550998513	0.118520011080046	0.255949233209942	0.275505555873542	0.505174762274962	0.373035809607036	0.498614790764791	0.762288439243175	10	31	0.32258064516129	0	0	0.281543891530243	62	94
STAB_CSY_LOG2	4	0.63375788727987	0.0537583362813564	0.311475409836066	0.26434183182266	0.491743375935626	0.397523637520035	0.386107936507937	0.733518990146307	4	31	0.129032258064516	0	1	0.397984307328697	62	94
STAB_CSY_LOG2	5	0.70017450896307	0.0664166216832001	0.264939185616076	0.233923526303821	0.500763305164062	0.43061644050394	0.320730158730159	0.699970655362991	1	31	0.032258064516129	0	1	0.510073091919627	62	94
STAB_CSY_LOG2	6	0.76030031047347	0.0601258015104003	0.215758857747224	0.233039380663272	0.511417953749534	0.41548681112443	0.2701	0.76249244895513	1	21	0.0476190476190476	0	1	0.454344194009608	62	94
STAB_UNSUP_HVG	2	0.453267365343316	NA	0.596509783183501	0.1898346453579	0.515517390880387	0.513491987163409	0.605357936507937	0.546584610137605	26	36	0.722222222222222	0	0	0.362615847830641	62	1000
STAB_UNSUP_HVG	3	0.642697269777449	0.189429904434133	0.34690639873083	0.163709399979098	0.517111961450628	0.484294757993919	0.494180952380952	0.666516154722899	14	26	0.538461538461538	0	0	0.35010830617679	62	1000
STAB_UNSUP_HVG	4	0.71181612958981	0.0691188598123613	0.285034373347435	0.172426914854099	0.539069114555575	0.505694986145866	0.457735714285714	0.694215996235545	6	26	0.230769230769231	0	0	0.319269869496657	62	1000
STAB_UNSUP_HVG	5	0.787232459183446	0.0754163295936363	0.237440507667901	0.118871479700366	0.52362821158568	0.399208275577864	0.304478571428571	0.700827813889517	6	16	0.375	0	0	0.401181411554191	62	1000
STAB_UNSUP_HVG	6	0.818948401897033	0.0317159427135869	0.177683765203596	0.109474660379341	0.499403747170872	0.396770941558441	0.278559523809524	0.729512263762898	3	16	0.1875	0	1	0.414445033681705	62	1000
STAB_CSY_OUTLIER_EXCL	2	0.428350987141982	NA	0.0356926799758016	0.26987689721505	0.619766292419834	0.617922248022012	0.768355555555555	0.95737224010536	17	41	0.414634146341463	0	0	0.0245678187392802	58	94
STAB_CSY_OUTLIER_EXCL	3	0.672108852992251	0.243757865850269	0.17362371445856	0.245208993688262	0.573582189310681	0.539221368760327	0.473281746031746	0.814051321746482	17	22	0.772727272727273	0	0	0.166895036034843	58	94
STAB_CSY_OUTLIER_EXCL	4	0.706063734095292	0.0339548811030413	0.220810647307925	0.200810678337931	0.457737918465881	0.186341037943824	0.395411904761905	0.764219635004976	1	22	0.0454545454545455	0	1	0.333459979987864	58	94
STAB_CSY_OUTLIER_EXCL	5	0.734107815586593	0.0280440814913007	0.245614035087719	0.173481661600074	0.451637029674651	0.318059728996494	0.350690476190476	0.736068635429544	1	22	0.0454545454545455	0	1	0.490894913045549	58	94
STAB_CSY_OUTLIER_EXCL	6	0.759006538470758	0.0248987228841649	0.228070175438596	0.165851114747198	0.450739671308746	0.300242806544161	0.325390476190476	0.728079317765355	1	17	0.0588235294117647	0	1	0.635848657307266	58	94
STAB_HVG_OUTLIER_EXCL	2	0.447544168059276	NA	0.573502722323049	0.180744224383941	0.499915192748898	0.495946552990658	0.594779797979798	0.50818658798527	23	35	0.657142857142857	0	0	0.397870917117457	58	1000
STAB_HVG_OUTLIER_EXCL	3	0.651452992361867	0.203908824302591	0.235934664246824	0.155479048375569	0.54154781749109	0.526132990077001	0.534630952380952	0.75178458374831	14	23	0.608695652173913	0	0	0.204618832486098	58	1000
STAB_HVG_OUTLIER_EXCL	4	0.725386338714969	0.0739333463531019	0.251663641863279	0.156654269633067	0.512403331179103	0.451525897206508	0.425947619047619	0.717347655981707	7	23	0.304347826086957	0	0	0.341116115021194	58	1000
STAB_HVG_OUTLIER_EXCL	5	0.786140287467543	0.0607539487525744	0.228675136116152	0.105945194852937	0.480724006616878	0.376235083921926	0.308776190476191	0.688451939236546	7	14	0.5	0	0	0.58318641491058	58	1000
STAB_HVG_OUTLIER_EXCL	6	0.820114277532049	0.0339739900645057	0.17967332123412	0.0983779698168957	0.469642773947186	0.385784099234099	0.298442857142857	0.704051314182469	3	14	0.214285714285714	0	1	0.552442028455429	58	1000
STAB_CSY_FEAT_RESAMP	2	0.415478850186755	NA	0.107879428873612	0.257165386783935	0.621166316638408	0.620972946859903	0.754916017316017	0.884074198361524	17	45	0.377777777777778	0	0	0.0866004040100706	62	94
STAB_CSY_FEAT_RESAMP	3	0.662819361114466	0.247340510927712	0.326811210999471	0.236295238174164	0.563089763231491	0.532070669127252	0.47722316017316	0.678538242479861	17	23	0.739130434782609	0	0	0.305968039748592	62	94
STAB_CSY_FEAT_RESAMP	4	0.712053618707858	0.0492342575933914	0.335801163405606	0.197456574715877	0.452847418444037	0.184426944578059	0.351396825396825	0.633448048075989	4	23	0.173913043478261	0	1	0.5082130259438	62	94
STAB_CSY_FEAT_RESAMP	5	0.74641877756035	0.0343651588524921	0.339502908514014	0.198973270232989	0.431405485392346	0.237674175197008	0.281820634920635	0.630585160385539	4	18	0.222222222222222	0	1	0.69797972998692	62	94
STAB_CSY_FEAT_RESAMP	6	0.775382160042913	0.0289633824825636	0.308831306187203	0.178081420584692	0.435587497813068	0.267527026014061	0.261230952380952	0.624017630989422	1	18	0.0555555555555556	0	1	0.798413922133399	62	94
STAB_CSY_IMPUTED	2	0.410561054388599	NA	0.0581702802749868	0.257165386783935	0.618048970887034	0.614721613271653	0.75628455988456	0.951514872138788	17	45	0.377777777777778	0	0	0.029602037886323	62	94
