analysis_id	candidate_K	sample_id	cluster_id	assignment_probability
STAB_CSY_PRIMARY	2	YX15261T	1	1
STAB_CSY_PRIMARY	2	YX15261T	2	0
STAB_CSY_PRIMARY	2	YX15263T	1	1
STAB_CSY_PRIMARY	2	YX15263T	2	0
STAB_CSY_PRIMARY	2	YX15271T	1	1
STAB_CSY_PRIMARY	2	YX15271T	2	0
STAB_CSY_PRIMARY	2	YX16036T	1	1
STAB_CSY_PRIMARY	2	YX16036T	2	0
STAB_CSY_PRIMARY	2	YX16041T	1	1
STAB_CSY_PRIMARY	2	YX16041T	2	0
STAB_CSY_PRIMARY	2	YX16057T	1	1
STAB_CSY_PRIMARY	2	YX16057T	2	0
STAB_CSY_PRIMARY	2	YX16062T	1	1
STAB_CSY_PRIMARY	2	YX16062T	2	0
STAB_CSY_PRIMARY	2	YX16112T	1	1
STAB_CSY_PRIMARY	2	YX16112T	2	0
STAB_CSY_PRIMARY	2	YX16113T	1	1
STAB_CSY_PRIMARY	2	YX16113T	2	0
STAB_CSY_PRIMARY	2	YX16119T	1	1
STAB_CSY_PRIMARY	2	YX16119T	2	0
STAB_CSY_PRIMARY	2	YX16120T	1	1
STAB_CSY_PRIMARY	2	YX16120T	2	0
STAB_CSY_PRIMARY	2	YX16127T	1	1
STAB_CSY_PRIMARY	2	YX16127T	2	0
STAB_CSY_PRIMARY	2	YX16128T	1	1
STAB_CSY_PRIMARY	2	YX16128T	2	0
STAB_CSY_PRIMARY	2	YX16130T	1	1
STAB_CSY_PRIMARY	2	YX16130T	2	0
STAB_CSY_PRIMARY	2	YX16132T	1	1
STAB_CSY_PRIMARY	2	YX16132T	2	0
STAB_CSY_PRIMARY	2	YX16135T	1	1
STAB_CSY_PRIMARY	2	YX16135T	2	0
STAB_CSY_PRIMARY	2	YX16139T	1	1
STAB_CSY_PRIMARY	2	YX16139T	2	0
STAB_CSY_PRIMARY	2	YX16141T	1	1
STAB_CSY_PRIMARY	2	YX16141T	2	0
STAB_CSY_PRIMARY	2	YX16144T	1	0.985897435897436
STAB_CSY_PRIMARY	2	YX16144T	2	0.0141025641025641
STAB_CSY_PRIMARY	2	YX16147T	1	1
STAB_CSY_PRIMARY	2	YX16147T	2	0
STAB_CSY_PRIMARY	2	YX16153T	1	1
STAB_CSY_PRIMARY	2	YX16153T	2	0
STAB_CSY_PRIMARY	2	YX16155T	1	1
STAB_CSY_PRIMARY	2	YX16155T	2	0
STAB_CSY_PRIMARY	2	YX16158T	1	0.890258939580765
STAB_CSY_PRIMARY	2	YX16158T	2	0.109741060419236
STAB_CSY_PRIMARY	2	YX16159T	1	1
STAB_CSY_PRIMARY	2	YX16159T	2	0
STAB_CSY_PRIMARY	2	YX16160T	1	0
STAB_CSY_PRIMARY	2	YX16160T	2	1
STAB_CSY_PRIMARY	2	YX16161T	1	1
STAB_CSY_PRIMARY	2	YX16161T	2	0
STAB_CSY_PRIMARY	2	YX16166T	1	1
STAB_CSY_PRIMARY	2	YX16166T	2	0
STAB_CSY_PRIMARY	2	YX16177T	1	1
STAB_CSY_PRIMARY	2	YX16177T	2	0
STAB_CSY_PRIMARY	2	YX16178T	1	1
STAB_CSY_PRIMARY	2	YX16178T	2	0
STAB_CSY_PRIMARY	2	YX16180T	1	1
STAB_CSY_PRIMARY	2	YX16180T	2	0
STAB_CSY_PRIMARY	2	YX16185T	1	1
STAB_CSY_PRIMARY	2	YX16185T	2	0
STAB_CSY_PRIMARY	2	YX16188T	1	0.743523316062176
STAB_CSY_PRIMARY	2	YX16188T	2	0.256476683937824
STAB_CSY_PRIMARY	2	YX16194T	1	1
STAB_CSY_PRIMARY	2	YX16194T	2	0
STAB_CSY_PRIMARY	2	YX16202T	1	0
STAB_CSY_PRIMARY	2	YX16202T	2	1
STAB_CSY_PRIMARY	2	YX16203T	1	1
STAB_CSY_PRIMARY	2	YX16203T	2	0
STAB_CSY_PRIMARY	2	YX16207T	1	1
STAB_CSY_PRIMARY	2	YX16207T	2	0
STAB_CSY_PRIMARY	2	YX16218T	1	1
STAB_CSY_PRIMARY	2	YX16218T	2	0
STAB_CSY_PRIMARY	2	YX16222T	1	1
STAB_CSY_PRIMARY	2	YX16222T	2	0
STAB_CSY_PRIMARY	2	YX16224T	1	1
STAB_CSY_PRIMARY	2	YX16224T	2	0
STAB_CSY_PRIMARY	2	YX16227T	1	1
STAB_CSY_PRIMARY	2	YX16227T	2	0
STAB_CSY_PRIMARY	2	YX16236T	1	1
STAB_CSY_PRIMARY	2	YX16236T	2	0
STAB_CSY_PRIMARY	2	YX15047T	1	0.0102171136653895
STAB_CSY_PRIMARY	2	YX15047T	2	0.98978288633461
STAB_CSY_PRIMARY	2	YX15106T	1	0
STAB_CSY_PRIMARY	2	YX15106T	2	1
STAB_CSY_PRIMARY	2	YX15166T	1	0
STAB_CSY_PRIMARY	2	YX15166T	2	1
STAB_CSY_PRIMARY	2	YX15187T	1	0
STAB_CSY_PRIMARY	2	YX15187T	2	1
STAB_CSY_PRIMARY	2	YX15211T	1	1
STAB_CSY_PRIMARY	2	YX15211T	2	0
STAB_CSY_PRIMARY	2	YX15214T	1	0
STAB_CSY_PRIMARY	2	YX15214T	2	1
STAB_CSY_PRIMARY	2	YX16009T	1	0.961636828644501
STAB_CSY_PRIMARY	2	YX16009T	2	0.0383631713554987
STAB_CSY_PRIMARY	2	YX16011T	1	0
STAB_CSY_PRIMARY	2	YX16011T	2	1
STAB_CSY_PRIMARY	2	YX16068T	1	0
STAB_CSY_PRIMARY	2	YX16068T	2	1
STAB_CSY_PRIMARY	2	YX16070T	1	0
STAB_CSY_PRIMARY	2	YX16070T	2	1
STAB_CSY_PRIMARY	2	YX16075T	1	1
STAB_CSY_PRIMARY	2	YX16075T	2	0
STAB_CSY_PRIMARY	2	YX16079T	1	0
STAB_CSY_PRIMARY	2	YX16079T	2	1
STAB_CSY_PRIMARY	2	YX16087T	1	0
STAB_CSY_PRIMARY	2	YX16087T	2	1
STAB_CSY_PRIMARY	2	YX16094T	1	0
STAB_CSY_PRIMARY	2	YX16094T	2	1
STAB_CSY_PRIMARY	2	YX16172T	1	0
STAB_CSY_PRIMARY	2	YX16172T	2	1
STAB_CSY_PRIMARY	2	YX16295T	1	0
STAB_CSY_PRIMARY	2	YX16295T	2	1
STAB_CSY_PRIMARY	2	YX16327T	1	0
STAB_CSY_PRIMARY	2	YX16327T	2	1
STAB_CSY_PRIMARY	2	YX16335T	1	1
STAB_CSY_PRIMARY	2	YX16335T	2	0
STAB_CSY_PRIMARY	2	YX16341T	1	0
STAB_CSY_PRIMARY	2	YX16341T	2	1
STAB_CSY_PRIMARY	2	YX16343T	1	1
STAB_CSY_PRIMARY	2	YX16343T	2	0
STAB_CSY_PRIMARY	2	YX16347T	1	1
STAB_CSY_PRIMARY	2	YX16347T	2	0
STAB_CSY_PRIMARY	3	YX15261T	1	0.975949367088608
STAB_CSY_PRIMARY	3	YX15261T	2	0.0240506329113924
STAB_CSY_PRIMARY	3	YX15261T	3	0
STAB_CSY_PRIMARY	3	YX15263T	1	1
STAB_CSY_PRIMARY	3	YX15263T	2	0
STAB_CSY_PRIMARY	3	YX15263T	3	0
STAB_CSY_PRIMARY	3	YX15271T	1	0.00374064837905237
STAB_CSY_PRIMARY	3	YX15271T	2	0.996259351620948
STAB_CSY_PRIMARY	3	YX15271T	3	0
STAB_CSY_PRIMARY	3	YX16036T	1	0.0179487179487179
STAB_CSY_PRIMARY	3	YX16036T	2	0.982051282051282
STAB_CSY_PRIMARY	3	YX16036T	3	0
STAB_CSY_PRIMARY	3	YX16041T	1	0.970588235294118
STAB_CSY_PRIMARY	3	YX16041T	2	0.0294117647058824
STAB_CSY_PRIMARY	3	YX16041T	3	0
STAB_CSY_PRIMARY	3	YX16057T	1	0.582165605095541
STAB_CSY_PRIMARY	3	YX16057T	2	0.417834394904459
STAB_CSY_PRIMARY	3	YX16057T	3	0
STAB_CSY_PRIMARY	3	YX16062T	1	1
STAB_CSY_PRIMARY	3	YX16062T	2	0
STAB_CSY_PRIMARY	3	YX16062T	3	0
STAB_CSY_PRIMARY	3	YX16112T	1	0.592269326683292
STAB_CSY_PRIMARY	3	YX16112T	2	0.407730673316708
STAB_CSY_PRIMARY	3	YX16112T	3	0
