comparison_id	reference_analysis	sensitivity_analysis	candidate_K	common_sample_n	assignment_changes	ARI_between_analyses	reference_preferred_K	sensitivity_preferred_K	PAC_change	silhouette_change
log2_transformation	STAB_CSY_PRIMARY	STAB_CSY_LOG2	2	62	4	0.750368149963925	2	2	0.116340560549974	0.0787460882151834
log2_transformation	STAB_CSY_PRIMARY	STAB_CSY_LOG2	3	62	30	0.384699659992444	2	2	0.0602855631940772	0.0392103176993781
log2_transformation	STAB_CSY_PRIMARY	STAB_CSY_LOG2	4	62	32	0.352883813797433	2	2	0.0671602326811211	0.0668852571067836
log2_transformation	STAB_CSY_PRIMARY	STAB_CSY_LOG2	5	62	51	0.392041179345347	2	2	0.00951877313590693	0.0349502560708318
log2_transformation	STAB_CSY_PRIMARY	STAB_CSY_LOG2	6	62	37	0.406164331983741	2	2	-0.0285563194077208	0.05495796007858
primary_outlier_exclusion	STAB_CSY_PRIMARY	STAB_CSY_OUTLIER_EXCL	2	58	0	1	2	2	-0.0256505246778209	0.0127115104311145
primary_outlier_exclusion	STAB_CSY_PRIMARY	STAB_CSY_OUTLIER_EXCL	3	58	3	0.842930968376482	2	2	-0.0220399555573044	0.00891375551409851
primary_outlier_exclusion	STAB_CSY_PRIMARY	STAB_CSY_OUTLIER_EXCL	4	58	23	0.815245656285528	2	2	-0.0235045298470195	0.0033541036220544
primary_outlier_exclusion	STAB_CSY_PRIMARY	STAB_CSY_OUTLIER_EXCL	5	58	31	0.691221858228201	2	2	-0.00980637739244994	-0.025491608632915
primary_outlier_exclusion	STAB_CSY_PRIMARY	STAB_CSY_OUTLIER_EXCL	6	58	28	0.779018752354678	2	2	-0.016245001716348	-0.0122303058374935
hvg_outlier_exclusion	STAB_UNSUP_HVG	STAB_HVG_OUTLIER_EXCL	2	58	0	1	4	3	-0.0230070608604518	-0.00909042097395896
hvg_outlier_exclusion	STAB_UNSUP_HVG	STAB_HVG_OUTLIER_EXCL	3	58	0	1	4	3	-0.110971734484006	-0.00823035160352875
hvg_outlier_exclusion	STAB_UNSUP_HVG	STAB_HVG_OUTLIER_EXCL	4	58	2	0.943154854018364	4	3	-0.0333707314841563	-0.0157726452210316
hvg_outlier_exclusion	STAB_UNSUP_HVG	STAB_HVG_OUTLIER_EXCL	5	58	4	0.85059247810407	4	3	-0.00876537155174814	-0.0129262848474284
hvg_outlier_exclusion	STAB_UNSUP_HVG	STAB_HVG_OUTLIER_EXCL	6	58	4	0.851645672786546	4	3	0.00198955603052378	-0.0110966905624451
feature_resampling	STAB_CSY_PRIMARY	STAB_CSY_FEAT_RESAMP	2	62	0	1	2	2	0.0465362242199894	0
feature_resampling	STAB_CSY_PRIMARY	STAB_CSY_FEAT_RESAMP	3	62	0	1	2	2	0.131147540983607	0
feature_resampling	STAB_CSY_PRIMARY	STAB_CSY_FEAT_RESAMP	4	62	0	1	2	2	0.091485986250661	0
feature_resampling	STAB_CSY_PRIMARY	STAB_CSY_FEAT_RESAMP	5	62	0	1	2	2	0.0840824960338445	0
feature_resampling	STAB_CSY_PRIMARY	STAB_CSY_FEAT_RESAMP	6	62	0	1	2	2	0.0645161290322581	0
imputed_missingness	STAB_CSY_PRIMARY	STAB_CSY_IMPUTED	2	62	0	1	2	2	-0.00317292437863564	0
imputed_missingness	STAB_CSY_PRIMARY	STAB_CSY_IMPUTED	3	62	0	1	2	2	-0.00634584875727129	0
imputed_missingness	STAB_CSY_PRIMARY	STAB_CSY_IMPUTED	4	62	0	1	2	2	0.00793231094658911	0
imputed_missingness	STAB_CSY_PRIMARY	STAB_CSY_IMPUTED	5	62	0	1	2	2	-0.00105764145954523	0
imputed_missingness	STAB_CSY_PRIMARY	STAB_CSY_IMPUTED	6	62	0	1	2	2	0.00317292437863564	0
hvg_var_filter	STAB_UNSUP_HVG	STAB_HVG_VAR_FILTER	2	62	6	0.64423361195474	4	2	-0.350079323109466	0.0103009556480818
hvg_var_filter	STAB_UNSUP_HVG	STAB_HVG_VAR_FILTER	3	62	8	0.625752984105387	4	2	-0.0661025912215759	0.00287341133370378
hvg_var_filter	STAB_UNSUP_HVG	STAB_HVG_VAR_FILTER	4	62	10	0.596057674199467	4	2	-0.0327868852459016	0.00306123850318996
hvg_var_filter	STAB_UNSUP_HVG	STAB_HVG_VAR_FILTER	5	62	31	0.51629341980111	4	2	0.0507667900581703	0.0358261314932856
hvg_var_filter	STAB_UNSUP_HVG	STAB_HVG_VAR_FILTER	6	62	28	0.586085157536677	4	2	0.0534108937070333	0.038301919857553
