score	public_subtype	n	median	iqr	mean	sd
basal_classical_contrast	Basal	17	1.411026357945024	0.5334281496504851	1.3643610362273142	0.5873265658840697
basal_classical_contrast	Classical	22	-0.5081800895213651	0.7092165511926531	-0.6080835367785824	0.5096899431548643
basal_classical_contrast	Hybrid	23	-0.27098577994220263	0.9175233911402044	-0.2232839293878542	0.6593405406628627
coactivation_score	Basal	17	0.2670006157935162	0.20633910004058187	0.30297689508206127	0.181212020730675
coactivation_score	Classical	22	0.6134781788192013	0.15275592795265047	0.6003675052385732	0.1199647339203482
coactivation_score	Hybrid	23	0.36136460934878817	0.11625844849267147	0.36072693282603935	0.14400489491275778
singscore_contrast	Basal	17	0.2629643175317671	0.07461433863178113	0.23990089888818092	0.10008878328719883
singscore_contrast	Classical	22	-0.08124982416654952	0.14608161016551793	-0.10771075503949325	0.09701562188020518
singscore_contrast	Hybrid	23	-0.060600647067098	0.17560135040090027	-0.06551430010132087	0.12987756320096583
purist_basal_probability	Basal	17	0.991233391480979	0.08893740258944904	0.9258965869509473	0.16019237331226938
purist_basal_probability	Classical	22	0.007946858362604267	0.0786890513953045	0.05863449433896505	0.09854274989841606
purist_basal_probability	Hybrid	23	0.025258735740066096	0.20344581020504032	0.1738375690779994	0.2772373693282517
moffitt_score_difference	Basal	17	1.0225386840085167	0.6919813381135269	1.0727936855845992	0.7391970929341443
moffitt_score_difference	Classical	22	-0.7381660468499311	0.7219556877733724	-0.8289534271727809	0.5889246666436171
moffitt_score_difference	Hybrid	23	0.01524093203141852	0.2596337100019589	-2.2489440739362813e-05	0.3326960889431387
relative_centroid_distance_score	Basal	17	4.903789477344827	2.6882761572016483	4.293886236357176	1.9502537044637545
relative_centroid_distance_score	Classical	22	-4.826384940178656	1.9359165197559713	-4.6159733509930465	1.6759640865619696
relative_centroid_distance_score	Hybrid	23	-1.8635883880761437	2.931757402807572	-1.4961139496674438	2.1087529835430745
