method_a	method_b	spearman_rho	p_value	rank_concordance	score_direction_agreement	adjusted_p_value
primary_contrast	no_LEMD1_contrast	0.9989423585404548	5.829909668124467e-82	0.9989423585404548	0.967741935483871	8.7448645021867e-81
primary_contrast	singscore_contrast	0.9789982624461735	3.810561609980522e-43	0.9789982624461735	0.9193548387096774	2.529881833025171e-42
primary_contrast	purist_basal_probability	0.8969070312524022	6.235528243785818e-23	0.8969070312524022	0.8870967741935484	1.169161545709841e-22
primary_contrast	moffitt_score_difference	0.8647226209362645	1.33976257257856e-19	0.8647226209362645	0.8870967741935484	1.8269489626071272e-19
primary_contrast	relative_centroid_distance_score	0.8958474981743095	8.342702978618057e-23	0.8958474981743095	0.9354838709677419	1.3904504964363428e-22
no_LEMD1_contrast	singscore_contrast	0.9787968069300699	5.059763666050342e-43	0.9787968069300699	0.9516129032258065	2.529881833025171e-42
no_LEMD1_contrast	purist_basal_probability	0.8983494108027179	4.173799786169248e-23	0.8983494108027179	0.8870967741935484	8.943856684648389e-23
no_LEMD1_contrast	moffitt_score_difference	0.8655788068797058	1.1216926501060389e-19	0.8655788068797058	0.8870967741935484	1.6825389751590584e-19
no_LEMD1_contrast	relative_centroid_distance_score	0.8997758807383345	2.789501110792243e-23	0.8997758807383345	0.9354838709677419	6.973752776980607e-23
singscore_contrast	purist_basal_probability	0.911710400321431	7.408601698154008e-25	0.911710400321431	0.9032258064516129	2.2225805094462025e-24
singscore_contrast	moffitt_score_difference	0.782025131575634	6.210083452725274e-14	0.782025131575634	0.8387096774193549	6.65366084220565e-14
singscore_contrast	relative_centroid_distance_score	0.845231799753217	5.666320254819376e-18	0.845231799753217	0.9193548387096774	6.8990478490515564e-18
purist_basal_probability	moffitt_score_difference	0.7801248974856199	7.821483832276166e-14	0.7801248974856199	0.8064516129032258	7.821483832276166e-14
purist_basal_probability	relative_centroid_distance_score	0.8449307576322568	5.979174802511349e-18	0.8449307576322568	0.9193548387096774	6.8990478490515564e-18
moffitt_score_difference	relative_centroid_distance_score	0.950391579159427	4.0060982603939003e-32	0.950391579159427	0.8548387096774194	1.5022868476477127e-31
