microbiome_matrix_sample	total_abundance	detected_taxa	zero_fraction	log10_total_abundance	log10_total_abundance_z	detected_taxa_z	extreme_sample_flag	patient_id	tumor_number	microbiome_biosample_id	microbiome_run_id	mapping_status	notes	submitted_sample_name	bases	spots	file_size	file_size_numeric
Basal-like1	14200330.123813935	87	0.7616438356164383	7.1522984713949285	5.012760782179869	-0.05047699170463986	YES	PDAC_042	42	SAMN18623934	SRR14148548	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX15047T.	YX15047T	2277083550	15180557	1330367766	1330367766
Basal-like2	39775.05551930654	62	0.8301369863013699	4.599621713148991	-0.5728696318427305	-0.788583945876263	NO	PDAC_025	25	SAMN18623917	SRR14148567	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16160T.	YX16160T	194583900	1297226	137101096	137101096
Basal-like3	46448.78163347163	67	0.8164383561643835	4.6669836766590205	-0.4254717950761028	-0.6409625550419384	NO	PDAC_034	34	SAMN18623926	SRR14148557	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16202T.	YX16202T	232097700	1547318	163966139	163966139
Basal-like4	107279.51209428039	104	0.7150684931506849	5.030520837915778	0.3700007292001361	0.4514357371320639	NO	PDAC_058	58	SAMN18623950	SRR14148531	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16327T.	YX16327T	279639300	1864262	202064901	202064901
Basal-like5	114784.70072806111	120	0.6712328767123288	5.0598877897894	0.4342599187048647	0.9238241878019028	NO	PDAC_053	53	SAMN18623945	SRR14148536	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16079T.	YX16079T	241093650	1607291	162944748	162944748
Basal-like6	112170.34620616095	121	0.6684931506849315	5.049881932019722	0.4123656372232165	0.9533484659687677	NO	PDAC_055	55	SAMN18623947	SRR14148534	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16094T.	YX16094T	280289550	1868597	188010748	188010748
Basal-like7	115530.06344580224	99	0.7287671232876712	5.062698770975199	0.4404107570175995	0.3038143462977393	NO	PDAC_051	51	SAMN18623943	SRR14148538	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16070T.	YX16070T	226773450	1511823	150112577	150112577
Basal-like8	114321.11515482851	111	0.6958904109589041	5.058130251048594	0.43041416666722093	0.6581056843001184	NO	PDAC_049	49	SAMN18623941	SRR14148541	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16011T.	YX16011T	290225850	1934839	200948763	200948763
Basal-like9	118720.8861465348	154	0.5780821917808219	5.074530787669834	0.46630094154459967	1.9276496454753103	NO	PDAC_050	50	SAMN18623942	SRR14148540	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16068T.	YX16068T	367561500	2450410	236936423	236936423
Basal-like10	181111.81781797096	133	0.6356164383561644	5.257949187534518	0.8676472496762744	1.3076398039711468	NO	PDAC_045	45	SAMN18623937	SRR14148545	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX15187T.	YX15187T	221919750	1479465	148033882	148033882
