taxon	total_abundance	mean_abundance	median_abundance	max_abundance	prevalence_count	prevalence_fraction	zero_fraction
Lysobacter	3243.2020223698055	52.30971003822267	16.0404920679116	1087.31629932181	39	0.6290322580645161	0.3709677419354839
Cellulosimicrobium	80.51814225288697	1.2986797137562416	0.0	48.1396371857669	3	0.04838709677419355	0.9516129032258065
Brevundimonas	468327.13552630815	7553.663476230777	6902.49589853645	15894.9792138392	62	1.0	0.0
Paraburkholderia	633.3679951058976	10.215612824288671	0.0	306.559989821594	16	0.25806451612903225	0.7419354838709677
Arthrobacter	57.79563760571605	0.9321877033180008	0.0	29.1887738624468	3	0.04838709677419355	0.9516129032258065
Aerococcus	337.45625480878437	5.442842819496522	0.0	81.4920647498655	18	0.2903225806451613	0.7096774193548387
Acidovorax	12683.449905445927	204.57177266848268	172.64351506983752	957.557389529816	62	1.0	0.0
Cupriavidus	6270.794876263592	101.14185284296117	97.58484154971504	194.30149254153	61	0.9838709677419355	0.016129032258064516
Staphylococcus	2749.4064574526233	44.345265442784246	28.3072877626953	400.899385598741	52	0.8387096774193549	0.16129032258064516
Haemophilus	1845.202679409826	29.76133353886816	0.0	1114.33836119844	3	0.04838709677419355	0.9516129032258065
Neurospora	259.4012864300521	4.1838917166137435	0.0	88.1943943270138	7	0.11290322580645161	0.8870967741935484
Dialister	4199.87729667011	67.739956397905	0.0	4139.52252653047	5	0.08064516129032258	0.9193548387096774
Limnohabitans	28.602402864458448	0.4613290784590072	0.0	7.29064672647794	6	0.0967741935483871	0.9032258064516129
Luteimonas	533.9751970988635	8.612503179013927	0.0	205.882376202946	13	0.20967741935483872	0.7903225806451613
Lactococcus	80.87206657834318	1.3043881706184384	0.0	35.9504753518165	6	0.0967741935483871	0.9032258064516129
Neorhizobium	125.26143688518597	2.0203457562126768	0.0	13.5085172000434	12	0.1935483870967742	0.8064516129032258
Rhodopseudomonas	3114.2768503845164	50.23027178039543	31.688174832643796	381.992214460717	45	0.7258064516129032	0.27419354838709675
Rhodoferax	987.7519491668552	15.93148305107831	16.720519284701048	62.7033256882146	46	0.7419354838709677	0.25806451612903225
Blastomonas	3369.0379046835333	54.339321043282794	46.2179156765518	121.023886017902	62	1.0	0.0
Aeromonas	707.6295499262136	11.413379837519575	0.0	231.061827654627	28	0.45161290322580644	0.5483870967741935
Achromobacter	7580.665984578707	122.26880620288237	81.9202728598445	445.909584735326	61	0.9838709677419355	0.016129032258064516
Azoarcus	6139.45320910909	99.02343885659822	80.66852775064939	387.316220231791	62	1.0	0.0
Enterobacter	6283.934951600782	101.3537895419481	46.19400001359625	1101.98755220705	49	0.7903225806451613	0.20967741935483872
Methyloversatilis	17948.474051251513	289.49151695566957	199.9248104365795	988.28766736701	62	1.0	0.0
Geobacter	12.019012671394329	0.1938550430870053	0.0	8.89077006026923	2	0.03225806451612903	0.967741935483871
Thiobacillus	2.50844591789776	0.04045880512738323	0.0	2.50844591789776	1	0.016129032258064516	0.9838709677419355
Mycobacterium	645.4278599525463	10.410126773428166	0.0	90.5859996007006	18	0.2903225806451613	0.7096774193548387
Rubrivivax	914.4755321918909	14.749605357933724	14.373706889672249	45.9690147227436	35	0.5645161290322581	0.43548387096774194
Komagataeibacter	5.66993973266425	0.09145064084942339	0.0	5.66993973266425	1	0.016129032258064516	0.9838709677419355
Mesorhizobium	539.8710040168992	8.707596838982244	0.0	32.6045934143749	30	0.4838709677419355	0.5161290322580645
Clostridioides	950.0910959317954	15.324049934383797	0.0	666.544192957036	6	0.0967741935483871	0.9032258064516129
Nocardioides	1352.3867089258335	21.812688853642477	0.0	113.72435057957	29	0.46774193548387094	0.532258064516129
Leptolyngbya	8.2060128400279	0.13235504580690163	0.0	8.2060128400279	1	0.016129032258064516	0.9838709677419355
Roseburia	134.76610791959638	2.173646901928974	0.0	50.8961282444772	4	0.06451612903225806	0.9354838709677419
Comamonas	429557.6622337909	6928.3493908675955	5862.888576893705	16518.1752666235	62	1.0	0.0
Dechloromonas	22789.59718803155	367.5741481940572	368.1626664062175	689.434472917551	62	1.0	0.0
Porphyromonas	1006.0777049396702	16.227059757091453	0.0	660.110368700694	6	0.0967741935483871	0.9032258064516129
Chelatococcus	172.1964248399116	2.777361690966316	0.0	22.3401843765162	14	0.22580645161290322	0.7741935483870968
Gordonia	29.66214088745773	0.47842162721706016	0.0	11.230446391919	4	0.06451612903225806	0.9354838709677419
Bordetella	2063.5788392876393	33.28352966592966	28.482099716758903	87.6583814764959	53	0.8548387096774194	0.14516129032258066
Parvimonas	2756.7145289157957	44.46313756315799	0.0	2445.44401029063	11	0.1774193548387097	0.8225806451612904
Kocuria	1520.1119034614085	24.51793392679691	10.003533785954694	265.073559361292	32	0.5161290322580645	0.4838709677419355
Bosea	15952.81101302264	257.303403435849	59.81759630300735	1683.73410851505	60	0.967741935483871	0.03225806451612903
Phenylobacterium	575.190914747421	9.27727281850679	9.83958513070521	34.2650823602637	36	0.5806451612903226	0.41935483870967744
Helicobacter	150.92509877706334	2.434275786726828	0.0	102.752212796307	4	0.06451612903225806	0.9354838709677419
Chromobacterium	98.16968280183802	1.5833819806748068	0.0	17.8215808869461	10	0.16129032258064516	0.8387096774193549
Vibrio	68.08305656484431	1.098113815562005	0.0	44.977973797445	7	0.11290322580645161	0.8870967741935484
Xanthomonas	2591.710413280445	41.80178085936202	17.968841709547	772.058910761046	46	0.7419354838709677	0.25806451612903225
Immundisolibacter	3.912384628129	0.06310297787304839	0.0	1.95723299617581	2	0.03225806451612903	0.967741935483871
Azospira	2017.494715760786	32.54023735098042	29.446641875565803	96.34513210265	52	0.8387096774193549	0.16129032258064516
Deinococcus	380.7343282942947	6.140876262811205	0.0	52.7573589020048	21	0.3387096774193548	0.6612903225806451
Hydrogenophaga	2887.267929677995	46.56883757545153	44.94225264507285	100.606082260941	61	0.9838709677419355	0.016129032258064516
Porphyrobacter	2179.3655529951225	35.15105730637294	34.17194623247275	64.3382425634205	60	0.967741935483871	0.03225806451612903
Oscillatoria	97.4636667676295	1.5719946252843469	0.0	42.6107120186321	3	0.04838709677419355	0.9516129032258065
Auricoccus	36.72389478333542	0.5923208836021842	0.0	27.9196967379926	2	0.03225806451612903	0.967741935483871
Aromatoleum	874.3377283309067	14.102221424692043	0.0	61.6747870634041	28	0.45161290322580644	0.5483870967741935
Microbacterium	984.2100675037007	15.874355927479042	2.50217139985603	107.710410935987	31	0.5	0.5
Celeribacter	147.7277938210267	2.3827063519520433	0.0	54.8392699628961	4	0.06451612903225806	0.9354838709677419
Pseudogulbenkiania	9.61957550664727	0.1551544436556011	0.0	6.06097005905489	2	0.03225806451612903	0.967741935483871
Mitsuaria	331.09495372168817	5.340241189059487	0.0	53.8125556279453	13	0.20967741935483872	0.7903225806451613
