taxon	total_abundance	mean_abundance	median_abundance	max_abundance	prevalence_count	prevalence_fraction	zero_fraction	contamination_risk_status	flag_basis	action
Brevundimonas	468327.13552630815	7553.663476230777	6902.49589853645	15894.9792138392	62	1.0	0.0	POTENTIAL_CONTAMINANT_RISK_NOT_CONFIRMED	common water/reagent-associated genus	Retain in Phase 6A; compare Phase 6B sensitivity under prevalence/abundance filters; do not delete without negative-control evidence.
Paraburkholderia	633.3679951058976	10.215612824288671	0.0	306.559989821594	16	0.25806451612903225	0.7419354838709677	POTENTIAL_CONTAMINANT_RISK_NOT_CONFIRMED	environmental genus	Retain in Phase 6A; compare Phase 6B sensitivity under prevalence/abundance filters; do not delete without negative-control evidence.
Cupriavidus	6270.794876263592	101.14185284296117	97.58484154971504	194.30149254153	61	0.9838709677419355	0.016129032258064516	POTENTIAL_CONTAMINANT_RISK_NOT_CONFIRMED	common environmental/reagent-associated genus	Retain in Phase 6A; compare Phase 6B sensitivity under prevalence/abundance filters; do not delete without negative-control evidence.
Mesorhizobium	539.8710040168992	8.707596838982244	0.0	32.6045934143749	30	0.4838709677419355	0.5161290322580645	POTENTIAL_CONTAMINANT_RISK_NOT_CONFIRMED	common reagent/environmental genus	Retain in Phase 6A; compare Phase 6B sensitivity under prevalence/abundance filters; do not delete without negative-control evidence.
Comamonas	429557.6622337909	6928.3493908675955	5862.888576893705	16518.1752666235	62	1.0	0.0	POTENTIAL_CONTAMINANT_RISK_NOT_CONFIRMED	common environmental/water-associated genus	Retain in Phase 6A; compare Phase 6B sensitivity under prevalence/abundance filters; do not delete without negative-control evidence.
Dechloromonas	22789.59718803155	367.5741481940572	368.1626664062175	689.434472917551	62	1.0	0.0	POTENTIAL_CONTAMINANT_RISK_NOT_CONFIRMED	environmental genus raised in peer review	Retain in Phase 6A; compare Phase 6B sensitivity under prevalence/abundance filters; do not delete without negative-control evidence.
Caulobacter	71357.0109493795	1150.919531441605	907.951805927547	2302.19104662488	62	1.0	0.0	POTENTIAL_CONTAMINANT_RISK_NOT_CONFIRMED	common water-associated genus	Retain in Phase 6A; compare Phase 6B sensitivity under prevalence/abundance filters; do not delete without negative-control evidence.
Pseudomonas	1088077.9363126694	17549.64413407531	8304.20290042166	65578.1319176683	62	1.0	0.0	POTENTIAL_CONTAMINANT_RISK_NOT_CONFIRMED	common water/reagent/environmental genus; also reported by source study	Retain in Phase 6A; compare Phase 6B sensitivity under prevalence/abundance filters; do not delete without negative-control evidence.
Methylobacterium	3022.7198712085383	48.753546309815135	28.686790612297948	550.759808470362	52	0.8387096774193549	0.16129032258064516	POTENTIAL_CONTAMINANT_RISK_NOT_CONFIRMED	common reagent/environmental genus	Retain in Phase 6A; compare Phase 6B sensitivity under prevalence/abundance filters; do not delete without negative-control evidence.
Elizabethkingia	22579868.206285503	364191.42268202425	5062.66774513791	13573743.8388113	62	1.0	0.0	POTENTIAL_CONTAMINANT_RISK_NOT_CONFIRMED	water/environment-associated genus; source study discussed genus-level assignment	Retain in Phase 6A; compare Phase 6B sensitivity under prevalence/abundance filters; do not delete without negative-control evidence.
