taxon	prevalence_count	prevalence_fraction	total_abundance	mean_abundance
Elizabethkingia	62	1.0	22579868.206285503	364191.42268202425
Pseudomonas	62	1.0	1088077.9363126694	17549.64413407531
Delftia	62	1.0	987564.2839918566	15928.456193417042
Acinetobacter	62	1.0	537798.9517685235	8674.176641427799
Sphingopyxis	62	1.0	482542.2186103126	7782.939009843752
Brevundimonas	62	1.0	468327.13552630815	7553.663476230777
Comamonas	62	1.0	429557.6622337909	6928.3493908675955
Sphingomonas	62	1.0	117375.3392710639	1893.1506334042565
Sphingobium	62	1.0	72410.89479022032	1167.9176579067794
Caulobacter	62	1.0	71357.0109493795	1150.919531441605
Bradyrhizobium	62	1.0	40682.916347332015	656.1760701182583
Ralstonia	62	1.0	36846.34804911494	594.2959362760474
Agrobacterium	62	1.0	35098.71231024388	566.1082630684497
Rhizobium	62	1.0	28113.829010142275	453.44885500229475
Klebsiella	62	1.0	26928.739451930236	434.33450728919735
Dechloromonas	62	1.0	22789.59718803155	367.5741481940572
Methyloversatilis	62	1.0	17948.474051251513	289.49151695566957
Ramlibacter	62	1.0	14770.569204888598	238.23498717562254
Acidovorax	62	1.0	12683.449905445927	204.57177266848268
Flavobacterium	62	1.0	11108.982153802142	179.1771315129378
Novosphingobium	62	1.0	8402.182867844662	135.51907851362358
Stenotrophomonas	62	1.0	8268.751974711504	133.3669673340565
Variovorax	62	1.0	7792.486684044517	125.6852690974922
Erythrobacter	62	1.0	7590.046753232692	122.42010892310793
Tessaracoccus	62	1.0	6907.991256216785	111.41921380994815
Azoarcus	62	1.0	6139.45320910909	99.02343885659822
Cutibacterium	62	1.0	4003.77531837573	64.57702126412468
Blastomonas	62	1.0	3369.0379046835333	54.339321043282794
Burkholderia	62	1.0	3338.1658130091455	53.84138408079267
Achromobacter	61	0.9838709677419355	7580.665984578707	122.26880620288237
Cupriavidus	61	0.9838709677419355	6270.794876263592	101.14185284296117
Hydrogenophaga	61	0.9838709677419355	2887.267929677995	46.56883757545153
Alicycliphilus	60	0.967741935483871	16273.140438474822	262.47000707217455
Bosea	60	0.967741935483871	15952.81101302264	257.303403435849
Rhizorhabdus	60	0.967741935483871	5597.447198703824	90.28140643070684
Porphyrobacter	60	0.967741935483871	2179.3655529951225	35.15105730637294
Shinella	59	0.9516129032258065	8055.970246104652	129.93500396942986
Thauera	58	0.9354838709677419	6389.154970857119	103.05088662672773
Aquabacterium	58	0.9354838709677419	3936.804918102714	63.49685351778571
Sinorhizobium	54	0.8709677419354839	9020.194608666005	145.4870098171936
Altererythrobacter	54	0.8709677419354839	1863.7733790082048	30.060860951745237
Bordetella	53	0.8548387096774194	2063.5788392876393	33.28352966592966
Croceicoccus	52	0.8387096774193549	3616.797062739494	58.33543649579829
Moraxella	52	0.8387096774193549	3573.3022957620215	57.63390799616164
Methylobacterium	52	0.8387096774193549	3022.7198712085383	48.753546309815135
Staphylococcus	52	0.8387096774193549	2749.4064574526233	44.345265442784246
Azospira	52	0.8387096774193549	2017.494715760786	32.54023735098042
Massilia	50	0.8064516129032258	2018.4356266437828	32.55541333296424
Devosia	50	0.8064516129032258	1259.5650013986497	20.315564538687898
Enterobacter	49	0.7903225806451613	6283.934951600782	101.3537895419481
Melaminivora	49	0.7903225806451613	1303.8535486855562	21.02989594654123
Dickeya	46	0.7419354838709677	3927.7542087205375	63.35087433420222
Paracoccus	46	0.7419354838709677	3285.4481093862264	52.99109853848752
Xanthomonas	46	0.7419354838709677	2591.710413280445	41.80178085936202
Rhodoferax	46	0.7419354838709677	987.7519491668552	15.93148305107831
Rhodopseudomonas	45	0.7258064516129032	3114.2768503845164	50.23027178039543
Polaromonas	43	0.6935483870967742	727.0591981438313	11.726761260384375
Thiomonas	42	0.6774193548387096	1097.8441535743561	17.707163767328325
Serratia	41	0.6612903225806451	701.5632783906408	11.315536748236141
Candidatus Accumulibacter	41	0.6612903225806451	584.8769196805283	9.43349870452465
Bacteroides	40	0.6451612903225806	11195.359305724478	180.57031138265287
Lysobacter	39	0.6290322580645161	3243.2020223698055	52.30971003822267
Diaphorobacter	38	0.6129032258064516	4271.84684471125	68.90075555985887
Methylorubrum	38	0.6129032258064516	3783.1277422270637	61.01818939075909
Methylibium	37	0.5967741935483871	867.4450791315454	13.991049663412022
Xanthobacter	36	0.5806451612903226	647.5523362626489	10.444392520365303
Phenylobacterium	36	0.5806451612903226	575.190914747421	9.27727281850679
Rubrivivax	35	0.5645161290322581	914.4755321918909	14.749605357933724
Micrococcus	33	0.532258064516129	2768.950952124123	44.66049922780844
Citrobacter	32	0.5161290322580645	1552.4001713175571	25.03871244060576
Kocuria	32	0.5161290322580645	1520.1119034614085	24.51793392679691
Corynebacterium	32	0.5161290322580645	842.0423312383771	13.58132792319963
Azospirillum	32	0.5161290322580645	598.8199993503874	9.658387086296571
Microbacterium	31	0.5	984.2100675037007	15.874355927479042
Rhodobacter	30	0.4838709677419355	1346.0863178683735	21.711069643038282
Mesorhizobium	30	0.4838709677419355	539.8710040168992	8.707596838982244
Nocardioides	29	0.46774193548387094	1352.3867089258335	21.812688853642477
Aromatoleum	28	0.45161290322580644	874.3377283309067	14.102221424692043
Aeromonas	28	0.45161290322580644	707.6295499262136	11.413379837519575
Sphingorhabdus	28	0.45161290322580644	336.67227444307116	5.4301979748882445
Streptomyces	27	0.43548387096774194	599.048901015791	9.66207904864179
Herbaspirillum	27	0.43548387096774194	545.5880517159192	8.799807285740632
Leptothrix	27	0.43548387096774194	539.8083357012771	8.706586059698017
Streptococcus	26	0.41935483870967744	6241.8916226145575	100.67567133249287
Rhodococcus	25	0.4032258064516129	491.3857898221635	7.925577255196185
Chryseobacterium	24	0.3870967741935484	3006.577687696261	48.49318851123002
Fusobacterium	23	0.3709677419354839	40922.24043061357	660.0361359776383
Ensifer	23	0.3709677419354839	543.6340598057461	8.768291287189454
Collimonas	23	0.3709677419354839	359.3196523405526	5.7954782635573
Candida	22	0.3548387096774194	3138.7702500717714	50.62532661406083
Pandoraea	22	0.3548387096774194	305.4765233487334	4.927040699173119
Citromicrobium	22	0.3548387096774194	250.93960647146844	4.047413007604329
Bacillus	21	0.3387096774193548	5863.398407410753	94.57094205501214
Deinococcus	21	0.3387096774193548	380.7343282942947	6.140876262811205
Rhizobacter	21	0.3387096774193548	372.4505614214044	6.007267119700071
Aminobacter	21	0.3387096774193548	324.781745829149	5.238415255308855
Sphingobacterium	21	0.3387096774193548	291.59162868033656	4.703090785166719
Ottowia	20	0.3225806451612903	314.85272268448995	5.0782697207175795
Lactobacillus	19	0.3064516129032258	2315.5420132307318	37.34745182630213
Prevotella	18	0.2903225806451613	46563.7581257714	751.0283568672806
Pseudoxanthomonas	18	0.2903225806451613	1220.519656647101	19.68580091366292
Mycobacterium	18	0.2903225806451613	645.4278599525463	10.410126773428166
Aerococcus	18	0.2903225806451613	337.45625480878437	5.442842819496522
Fusarium	17	0.27419354838709675	1209.3610524445332	19.50582342652473
Roseolovirus	17	0.27419354838709675	919.5795916368731	14.831928897368922
Janibacter	17	0.27419354838709675	617.2931939224538	9.956341837458933
Enterococcus	17	0.27419354838709675	487.8028304991807	7.867787588696463
Brachybacterium	17	0.27419354838709675	282.66557723989195	4.559122213546645
Sulfuritalea	17	0.27419354838709675	142.67973630156055	2.301286069380009
Ochrobactrum	16	0.25806451612903225	7438.684508671234	119.97878239792313
Escherichia	16	0.25806451612903225	4077.2012788115467	65.76131094857334
Paraburkholderia	16	0.25806451612903225	633.3679951058976	10.215612824288671
Paucibacter	16	0.25806451612903225	363.1353378833545	5.857021578763782
Roseomonas	16	0.25806451612903225	309.03290659127424	4.984401719214101
