detection_threshold	prevalence_threshold	genera_retained	genera_removed	zero_fraction	median_taxa_detected	min_taxa_detected	samples_with_lt_5_taxa	samples_with_lt_10_taxa	samples_with_lt_1000_abundance
0.0	0.05	187	178	0.5421769880972918	80.0	43	0	0	0
0.0	0.1	149	216	0.44555098506170165	78.0	43	0	0	0
0.0	0.2	122	243	0.35563194077207827	76.0	43	0	0	0
0.0	0.3	99	266	0.26523297491039427	73.0	42	0	0	0
1.0	0.05	187	178	0.5421769880972918	80.0	43	0	0	0
1.0	0.1	149	216	0.44555098506170165	78.0	43	0	0	0
1.0	0.2	122	243	0.35563194077207827	76.0	43	0	0	0
1.0	0.3	99	266	0.26523297491039427	73.0	42	0	0	0
10.0	0.05	152	213	0.45893463497453313	76.0	43	0	0	0
10.0	0.1	128	237	0.37915826612903225	74.5	43	0	0	0
10.0	0.2	106	259	0.29701765063907487	72.0	42	0	0	0
10.0	0.3	88	277	0.21755865102639296	69.0	42	0	0	0
