analysis_id	analysis_role	n_features	n_samples	prevalence_threshold	abundance_threshold	pseudocount	transformation	distance_metric	contaminant_policy	sample_exclusion_policy	zero_fraction_before_replacement	clr_min	clr_max	max_abs_clr_column_sum	random_seed	original_audited_sha256	python_version	platform	package_versions_json	output_files
MICRO_PRIMARY	primary	122	62	0.2	0.0	0.889651	centered_log_ratio	aitchison	keep_all_flagged	retain_all	0.35563194077207827	-4.536386246592996	13.253323300908928	1.0835776720341528e-13	2026	79eeeb34ec82a76cdf392b28ef2eb50d8048a03b982239796ff7c4e99ba6f258	3.13.9	macOS-26.5.1-arm64-arm-64bit-Mach-O	"{""matplotlib"": ""3.10.6"", ""numpy"": ""2.3.5"", ""pandas"": ""2.3.3"", ""python"": ""3.13.9"", ""scipy"": ""1.16.3"", ""seaborn"": ""0.13.2""}"	03_processed/microbiome/PRJNA719915_genus_primary_filtered.tsv.gz;03_processed/microbiome/PRJNA719915_genus_primary_CLR.tsv.gz;03_processed/microbiome/PRJNA719915_primary_aitchison_distance.tsv.gz
MICRO_SENS_PREV_10	sensitivity	149	62	0.1	0.0	0.889651	centered_log_ratio	aitchison	keep_all_flagged	retain_all	0.44555098506170165	-4.0796621621531175	13.68788114932125	9.237055564881302e-14	2026	79eeeb34ec82a76cdf392b28ef2eb50d8048a03b982239796ff7c4e99ba6f258	3.13.9	macOS-26.5.1-arm64-arm-64bit-Mach-O	"{""matplotlib"": ""3.10.6"", ""numpy"": ""2.3.5"", ""pandas"": ""2.3.3"", ""python"": ""3.13.9"", ""scipy"": ""1.16.3"", ""seaborn"": ""0.13.2""}"	03_processed/microbiome/sensitivity/MICRO_SENS_PREV_10_filtered.tsv.gz;03_processed/microbiome/sensitivity/MICRO_SENS_PREV_10_centered_log_ratio.tsv.gz;03_processed/microbiome/sensitivity/MICRO_SENS_PREV_10_aitchison_distance.tsv.gz
MICRO_SENS_PREV_30	sensitivity	99	62	0.3	0.0	0.889651	centered_log_ratio	aitchison	keep_all_flagged	retain_all	0.26523297491039427	-4.898642542896074	12.52326957194822	8.304468224196171e-14	2026	79eeeb34ec82a76cdf392b28ef2eb50d8048a03b982239796ff7c4e99ba6f258	3.13.9	macOS-26.5.1-arm64-arm-64bit-Mach-O	"{""matplotlib"": ""3.10.6"", ""numpy"": ""2.3.5"", ""pandas"": ""2.3.3"", ""python"": ""3.13.9"", ""scipy"": ""1.16.3"", ""seaborn"": ""0.13.2""}"	03_processed/microbiome/sensitivity/MICRO_SENS_PREV_30_filtered.tsv.gz;03_processed/microbiome/sensitivity/MICRO_SENS_PREV_30_centered_log_ratio.tsv.gz;03_processed/microbiome/sensitivity/MICRO_SENS_PREV_30_aitchison_distance.tsv.gz
MICRO_SENS_DET_10_P20	sensitivity	106	62	0.2	10.0	0.889651	centered_log_ratio	aitchison	keep_all_flagged	retain_all	0.29701765063907487	-4.844945222412921	12.75713451943965	8.926193117986259e-14	2026	79eeeb34ec82a76cdf392b28ef2eb50d8048a03b982239796ff7c4e99ba6f258	3.13.9	macOS-26.5.1-arm64-arm-64bit-Mach-O	"{""matplotlib"": ""3.10.6"", ""numpy"": ""2.3.5"", ""pandas"": ""2.3.3"", ""python"": ""3.13.9"", ""scipy"": ""1.16.3"", ""seaborn"": ""0.13.2""}"	03_processed/microbiome/sensitivity/MICRO_SENS_DET_10_P20_filtered.tsv.gz;03_processed/microbiome/sensitivity/MICRO_SENS_DET_10_P20_centered_log_ratio.tsv.gz;03_processed/microbiome/sensitivity/MICRO_SENS_DET_10_P20_aitchison_distance.tsv.gz
MICRO_SENS_PSEUDO_0.1	sensitivity	122	62	0.2	0.0	0.1	centered_log_ratio	aitchison	keep_all_flagged	retain_all	0.35563194077207827	-6.610213806188954	14.034997088940216	8.171241461241152e-14	2026	79eeeb34ec82a76cdf392b28ef2eb50d8048a03b982239796ff7c4e99ba6f258	3.13.9	macOS-26.5.1-arm64-arm-64bit-Mach-O	"{""matplotlib"": ""3.10.6"", ""numpy"": ""2.3.5"", ""pandas"": ""2.3.3"", ""python"": ""3.13.9"", ""scipy"": ""1.16.3"", ""seaborn"": ""0.13.2""}"	03_processed/microbiome/sensitivity/MICRO_SENS_PSEUDO_0.1_filtered.tsv.gz;03_processed/microbiome/sensitivity/MICRO_SENS_PSEUDO_0.1_centered_log_ratio.tsv.gz;03_processed/microbiome/sensitivity/MICRO_SENS_PSEUDO_0.1_aitchison_distance.tsv.gz
MICRO_SENS_PSEUDO_1.0	sensitivity	122	62	0.2	0.0	1	centered_log_ratio	aitchison	keep_all_flagged	retain_all	0.35563194077207827	-4.427256939181733	13.210560463983418	9.636735853746359e-14	2026	79eeeb34ec82a76cdf392b28ef2eb50d8048a03b982239796ff7c4e99ba6f258	3.13.9	macOS-26.5.1-arm64-arm-64bit-Mach-O	"{""matplotlib"": ""3.10.6"", ""numpy"": ""2.3.5"", ""pandas"": ""2.3.3"", ""python"": ""3.13.9"", ""scipy"": ""1.16.3"", ""seaborn"": ""0.13.2""}"	03_processed/microbiome/sensitivity/MICRO_SENS_PSEUDO_1.0_filtered.tsv.gz;03_processed/microbiome/sensitivity/MICRO_SENS_PSEUDO_1.0_centered_log_ratio.tsv.gz;03_processed/microbiome/sensitivity/MICRO_SENS_PSEUDO_1.0_aitchison_distance.tsv.gz
MICRO_SENS_ROBUST_CLR	sensitivity	122	62	0.2	0.0	none	robust_clr	aitchison	keep_all_flagged	retain_all	0.35563194077207827	-3.4406700784321425	11.483796876350782		2026	79eeeb34ec82a76cdf392b28ef2eb50d8048a03b982239796ff7c4e99ba6f258	3.13.9	macOS-26.5.1-arm64-arm-64bit-Mach-O	"{""matplotlib"": ""3.10.6"", ""numpy"": ""2.3.5"", ""pandas"": ""2.3.3"", ""python"": ""3.13.9"", ""scipy"": ""1.16.3"", ""seaborn"": ""0.13.2""}"	03_processed/microbiome/sensitivity/MICRO_SENS_ROBUST_CLR_filtered.tsv.gz;03_processed/microbiome/sensitivity/MICRO_SENS_ROBUST_CLR_robust_clr.tsv.gz;03_processed/microbiome/sensitivity/MICRO_SENS_ROBUST_CLR_aitchison_distance.tsv.gz
MICRO_SENS_NO_HIGH_RISK	sensitivity	116	62	0.2	0.0	0.889651	centered_log_ratio	aitchison	exclude_high_risk	retain_all	0.3740266963292547	-4.321544372961897	7.829283772415561	1.603162047558726e-13	2026	79eeeb34ec82a76cdf392b28ef2eb50d8048a03b982239796ff7c4e99ba6f258	3.13.9	macOS-26.5.1-arm64-arm-64bit-Mach-O	"{""matplotlib"": ""3.10.6"", ""numpy"": ""2.3.5"", ""pandas"": ""2.3.3"", ""python"": ""3.13.9"", ""scipy"": ""1.16.3"", ""seaborn"": ""0.13.2""}"	03_processed/microbiome/sensitivity/MICRO_SENS_NO_HIGH_RISK_filtered.tsv.gz;03_processed/microbiome/sensitivity/MICRO_SENS_NO_HIGH_RISK_centered_log_ratio.tsv.gz;03_processed/microbiome/sensitivity/MICRO_SENS_NO_HIGH_RISK_aitchison_distance.tsv.gz
MICRO_SENS_NO_CONTAMINANTS	sensitivity	110	62	0.2	0.0	0.889651	centered_log_ratio	aitchison	exclude_high_and_moderate_risk	retain_all	0.3778592375366569	-4.274416202822527	7.889334900957211	1.0347278589506459e-13	2026	79eeeb34ec82a76cdf392b28ef2eb50d8048a03b982239796ff7c4e99ba6f258	3.13.9	macOS-26.5.1-arm64-arm-64bit-Mach-O	"{""matplotlib"": ""3.10.6"", ""numpy"": ""2.3.5"", ""pandas"": ""2.3.3"", ""python"": ""3.13.9"", ""scipy"": ""1.16.3"", ""seaborn"": ""0.13.2""}"	03_processed/microbiome/sensitivity/MICRO_SENS_NO_CONTAMINANTS_filtered.tsv.gz;03_processed/microbiome/sensitivity/MICRO_SENS_NO_CONTAMINANTS_centered_log_ratio.tsv.gz;03_processed/microbiome/sensitivity/MICRO_SENS_NO_CONTAMINANTS_aitchison_distance.tsv.gz
MICRO_SENS_EXCLUDE_EXTREME	sensitivity	121	59	0.2	0.0	0.889651	centered_log_ratio	aitchison	keep_all_flagged	exclude_extreme	0.3588737918475977	-4.5420075188659075	8.299089347571972	1.305622276959184e-13	2026	79eeeb34ec82a76cdf392b28ef2eb50d8048a03b982239796ff7c4e99ba6f258	3.13.9	macOS-26.5.1-arm64-arm-64bit-Mach-O	"{""matplotlib"": ""3.10.6"", ""numpy"": ""2.3.5"", ""pandas"": ""2.3.3"", ""python"": ""3.13.9"", ""scipy"": ""1.16.3"", ""seaborn"": ""0.13.2""}"	03_processed/microbiome/sensitivity/MICRO_SENS_EXCLUDE_EXTREME_filtered.tsv.gz;03_processed/microbiome/sensitivity/MICRO_SENS_EXCLUDE_EXTREME_centered_log_ratio.tsv.gz;03_processed/microbiome/sensitivity/MICRO_SENS_EXCLUDE_EXTREME_aitchison_distance.tsv.gz
