comparison	analysis_id	shared_samples	shared_taxa	mantel_spearman_r	procrustes_concordance_1_minus_disparity	sample_order_stability_abs_spearman_pc1	taxon_rank_stability_spearman_mean_abundance	clr_correlation_spearman	mean_ordination_shift_after_contaminant_removal	biological_outcomes_used
MICRO_PRIMARY_vs_MICRO_SENS_PREV_10	MICRO_SENS_PREV_10	62	122	0.9554676618909888	0.98515849951348	0.9951147037344817	1.0	0.999758650590359		False
MICRO_PRIMARY_vs_MICRO_SENS_PREV_30	MICRO_SENS_PREV_30	62	99	0.9178325966773078	0.9055731911404566	0.9493339376998817	0.9999999999999999	0.9994768544428205		False
MICRO_PRIMARY_vs_MICRO_SENS_DET_10_P20	MICRO_SENS_DET_10_P20	62	106	0.9687217489561517	0.984184423598384	0.9937548790007806	1.0	0.9996754893125057		False
MICRO_PRIMARY_vs_MICRO_SENS_PSEUDO_0.1	MICRO_SENS_PSEUDO_0.1	62	122	0.9697521995998252	0.9743377364325471	0.9860492055098083	1.0	0.9963808408436656		False
MICRO_PRIMARY_vs_MICRO_SENS_PSEUDO_1.0	MICRO_SENS_PSEUDO_1.0	62	122	0.9998342091377644	0.9997483305345197	0.9994459973307145	1.0	0.9999818452237945		False
MICRO_PRIMARY_vs_MICRO_SENS_ROBUST_CLR	MICRO_SENS_ROBUST_CLR	62	122	0.5000259379300861	0.7022906503675368	0.9346276850243006	1.0	0.267368458936813		False
MICRO_PRIMARY_vs_MICRO_SENS_NO_HIGH_RISK	MICRO_SENS_NO_HIGH_RISK	62	116	0.9834738118210624	0.9849716213613884	0.9976328976857798	1.0	0.9998803602439607	0.010692742348318872	False
MICRO_PRIMARY_vs_MICRO_SENS_NO_CONTAMINANTS	MICRO_SENS_NO_CONTAMINANTS	62	110	0.9781585840715376	0.9817196273246126	0.990632318501171	0.9999999999999999	0.9998574214282884	0.01235780283946214	False
MICRO_PRIMARY_vs_MICRO_SENS_EXCLUDE_EXTREME	MICRO_SENS_EXCLUDE_EXTREME	59	121	0.9994570063463853	0.9338000894184134	0.9979544126241964	0.9565099580002707	0.999993645794612		False
MICRO_PRIMARY_vs_MICRO_SENS_PRESENCE_ABSENCE	MICRO_SENS_PRESENCE_ABSENCE	62	122	0.5262000253643733	0.5896524385386399	0.9192667019213819	1.0			False
