genus	prevalence_count	prevalence_fraction	mean_abundance	median_abundance	zero_fraction_before_replacement	pseudocount_used	clr_min	clr_max	contamination_risk_category
Lysobacter	39	0.6290322580645161	52.309710038222676	16.0404920679116	0.3709677419354839	0.889651	-3.814585342738739	3.143434850176275	LOW_CURRENT_CONCERN
Brevundimonas	62	1.0	7553.663476230778	6902.49589853645	0.0	0.889651	4.970050995955445	7.075939965486008	HIGH_RISK_POTENTIAL_CONTAMINANT
Paraburkholderia	16	0.25806451612903225	10.21561282428867	0.0	0.7419354838709677	0.889651	-3.9657768798936073	3.959366013997939	MODERATE_RISK_ENVIRONMENTAL
Aerococcus	18	0.2903225806451613	5.442842819496522	0.0	0.7096774193548387	0.889651	-3.9657768798936073	0.45361841750240206	LOW_CURRENT_CONCERN
Acidovorax	62	1.0	204.5717726684826	172.64351506983752	0.0	0.889651	1.3836942198290334	3.8414326028069343	LOW_CURRENT_CONCERN
Cupriavidus	61	0.9838709677419355	101.14185284296119	97.58484154971504	0.016129032258064516	0.889651	-2.0553865843012273	2.936969375291023	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE
Staphylococcus	52	0.8387096774193549	44.345265442784246	28.3072877626953	0.16129032258064516	0.889651	-2.452407068855522	3.4891633116243543	LOW_CURRENT_CONCERN
Luteimonas	13	0.20967741935483872	8.612503179013927	0.0	0.7903225806451613	0.889651	-3.8637312700602	1.4827660166078322	LOW_CURRENT_CONCERN
Rhodopseudomonas	45	0.7258064516129032	50.23027178039544	31.688174832643796	0.27419354838709675	0.889651	-2.8088455788418214	2.384469938976675	LOW_CURRENT_CONCERN
Rhodoferax	46	0.7419354838709677	15.931483051078308	16.720519284701048	0.25806451612903225	0.889651	-3.9657768798936073	1.1764809974143624	LOW_CURRENT_CONCERN
Blastomonas	62	1.0	54.3393210432828	46.2179156765518	0.0	0.889651	-0.2743426748170359	2.133358799370347	LOW_CURRENT_CONCERN
Aeromonas	28	0.45161290322580644	11.413379837519573	0.0	0.5483870967741935	0.889651	-3.9569656984037325	3.257480877164627	LOW_CURRENT_CONCERN
Achromobacter	61	0.9838709677419355	122.26880620288237	81.9202728598445	0.016129032258064516	0.889651	-2.242031779905618	4.033189060482042	LOW_CURRENT_CONCERN
Azoarcus	62	1.0	99.02343885659825	80.66852775064939	0.0	0.889651	0.04093624147129926	2.7777406222084378	LOW_CURRENT_CONCERN
Enterobacter	49	0.7903225806451613	101.35378954194813	46.19400001359625	0.20967741935483872	0.889651	-2.970409705001898	4.254439443739615	LOW_CURRENT_CONCERN
Methyloversatilis	62	1.0	289.49151695566957	199.9248104365795	0.0	0.889651	1.177050633445262	3.6528190303684993	LOW_CURRENT_CONCERN
Mycobacterium	18	0.2903225806451613	10.410126773428166	0.0	0.7096774193548387	0.889651	-4.013207075599418	1.9774826510274357	LOW_CURRENT_CONCERN
Rubrivivax	35	0.5645161290322581	14.749605357933724	14.373706889672249	0.43548387096774194	0.889651	-2.9202738986987073	0.7806501724747199	LOW_CURRENT_CONCERN
Mesorhizobium	30	0.4838709677419355	8.707596838982244	0.0	0.5161290322580645	0.889651	-3.9657768798936073	0.6937500051661742	MODERATE_RISK_ENVIRONMENTAL
Nocardioides	29	0.46774193548387094	21.81268885364248	0.0	0.532258064516129	0.889651	-3.287250677233964	1.3796952209698863	LOW_CURRENT_CONCERN
Comamonas	62	1.0	6928.349390867592	5862.888576893705	0.0	0.889651	4.098449832477046	6.914398596641881	HIGH_RISK_POTENTIAL_CONTAMINANT
Dechloromonas	62	1.0	367.5741481940573	368.1626664062175	0.0	0.889651	0.7613764667150091	4.141205179814149	MODERATE_RISK_ENVIRONMENTAL
Chelatococcus	14	0.22580645161290322	2.777361690966316	0.0	0.7741935483870968	0.889651	-4.536386246592996	-0.40200649874564487	LOW_CURRENT_CONCERN
Bordetella	53	0.8548387096774194	33.28352966592966	28.482099716758903	0.14516129032258066	0.889651	-2.8088455788418214	1.9368860629769333	LOW_CURRENT_CONCERN
Kocuria	32	0.5161290322580645	24.51793392679691	10.003533785954694	0.4838709677419355	0.889651	-3.8177688672256536	2.4052608300557976	LOW_CURRENT_CONCERN
Bosea	60	0.967741935483871	257.3034034358491	59.81759630300735	0.03225806451612903	0.889651	-2.4813337856762625	3.9899542934089776	LOW_CURRENT_CONCERN
Phenylobacterium	36	0.5806451612903226	9.27727281850679	9.83958513070521	0.41935483870967744	0.889651	-3.9657768798936073	0.9851228312573084	LOW_CURRENT_CONCERN
Xanthomonas	46	0.7419354838709677	41.80178085936202	17.968841709547	0.25806451612903225	0.889651	-3.6718998915307637	2.8013616508252976	LOW_CURRENT_CONCERN
Azospira	52	0.8387096774193549	32.54023735098041	29.446641875565803	0.16129032258064516	0.889651	-2.396798792839218	2.212720740619476	LOW_CURRENT_CONCERN
Deinococcus	21	0.3387096774193548	6.140876262811206	0.0	0.6612903225806451	0.889651	-3.814585342738739	0.4022016350822817	LOW_CURRENT_CONCERN
Hydrogenophaga	61	0.9838709677419355	46.568837575451546	44.94225264507285	0.016129032258064516	0.889651	-2.0553865843012273	2.0161048894714924	LOW_CURRENT_CONCERN
Porphyrobacter	60	0.967741935483871	35.151057306372934	34.17194623247275	0.03225806451612903	0.889651	-2.185846324174213	1.7782830445897628	LOW_CURRENT_CONCERN
Aromatoleum	28	0.45161290322580644	14.102221424692042	0.0	0.5483870967741935	0.889651	-3.5562692643157288	1.371396531919507	LOW_CURRENT_CONCERN
Microbacterium	31	0.5	15.874355927479046	2.50217139985603	0.5	0.889651	-3.6801825853450456	1.7582204791881049	LOW_CURRENT_CONCERN
Mitsuaria	13	0.20967741935483872	5.340241189059487	0.0	0.7903225806451613	0.889651	-3.9657768798936073	0.40555904250565034	LOW_CURRENT_CONCERN
Pandoraea	22	0.3548387096774194	4.927040699173118	0.0	0.6451612903225806	0.889651	-3.801574909608021	0.26857510285291086	LOW_CURRENT_CONCERN
Rhodococcus	25	0.4032258064516129	7.925577255196183	0.0	0.5967741935483871	0.889651	-3.7001597500931407	1.4788736087958503	LOW_CURRENT_CONCERN
Streptococcus	26	0.41935483870967744	100.67567133249287	0.0	0.5806451612903226	0.889651	-3.8155893242435575	4.745332077817566	LOW_CURRENT_CONCERN
Rhizorhabdus	60	0.967741935483871	90.28140643070684	86.28405871774865	0.03225806451612903	0.889651	-2.3059733568904077	2.8101597874838395	LOW_CURRENT_CONCERN
Citromicrobium	22	0.3548387096774194	4.047413007604329	0.0	0.6451612903225806	0.889651	-3.9657768798936073	0.2645098551397087	LOW_CURRENT_CONCERN
Massilia	50	0.8064516129032258	32.555413332964235	24.86243304832645	0.1935483870967742	0.889651	-2.664279086795198	1.4413271872110447	LOW_CURRENT_CONCERN
Candida	22	0.3548387096774194	50.625326614060825	0.0	0.6451612903225806	0.889651	-4.074671126543295	4.7681028276987485	LOW_CURRENT_CONCERN
Ramlibacter	62	1.0	238.23498717562256	232.854708353892	0.0	0.889651	0.5666844454160738	3.7957792940781574	LOW_CURRENT_CONCERN
Caulobacter	62	1.0	1150.919531441605	907.951805927547	0.0	0.889651	2.4740880030002437	5.039840311173308	HIGH_RISK_POTENTIAL_CONTAMINANT
Bacteroides	40	0.6451612903225806	180.57031138265287	16.93397927489405	0.3548387096774194	0.889651	-3.8155893242435575	4.8717118734151885	LOW_CURRENT_CONCERN
Enterococcus	17	0.27419354838709675	7.867787588696463	0.0	0.7258064516129032	0.889651	-4.013207075599418	1.4354630837163649	LOW_CURRENT_CONCERN
Laribacter	13	0.20967741935483872	3.077217574104167	0.0	0.7903225806451613	0.889651	-4.536386246592996	-0.08687733465265479	LOW_CURRENT_CONCERN
Variovorax	62	1.0	125.68526909749218	110.491030373062	0.0	0.889651	0.09708348739924233	2.994689341835193	LOW_CURRENT_CONCERN
Pseudomonas	62	1.0	17549.644134075315	8304.20290042166	0.0	0.889651	4.825121392901723	7.577820583469234	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE
Methylobacterium	52	0.8387096774193549	48.75354630981513	28.686790612297948	0.16129032258064516	0.889651	-2.590351028311696	2.337361305962416	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE
Elizabethkingia	62	1.0	364191.42268202413	5062.66774513791	0.0	0.889651	1.1839169130457101	13.253323300908928	HIGH_RISK_POTENTIAL_CONTAMINANT
Tessaracoccus	62	1.0	111.41921380994815	80.4284271244358	0.0	0.889651	-0.3354764900738241	3.1917459299594957	LOW_CURRENT_CONCERN
Agrobacterium	62	1.0	566.1082630684498	422.21523610155805	0.0	0.889651	0.6107725350616349	4.502411638094012	LOW_CURRENT_CONCERN
Azospirillum	32	0.5161290322580645	9.658387086296573	7.76968265648006	0.4838709677419355	0.889651	-3.9657768798936073	1.1946941406086324	LOW_CURRENT_CONCERN
Clostridium	14	0.22580645161290322	82.45729761749791	0.0	0.7741935483870968	0.889651	-3.957353342489976	5.0270997816319944	LOW_CURRENT_CONCERN
Ensifer	23	0.3709677419354839	8.768291287189456	0.0	0.6290322580645161	0.889651	-4.536386246592996	0.9409866395281838	LOW_CURRENT_CONCERN
Roseomonas	16	0.25806451612903225	4.984401719214102	0.0	0.7419354838709677	0.889651	-3.9657768798936073	0.5228924253965577	LOW_CURRENT_CONCERN
