genus	primary_retained	prevalence	mean_abundance	median_abundance	zero_fraction	contamination_risk_category	evidence_source	included_in_primary	included_in_sensitivity	notes
Lysobacter	True	0.6290322580645161	52.309710038222676	16.0404920679116	0.3709677419354839	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Brevundimonas	True	1.0	7553.663476230778	6902.49589853645	0.0	HIGH_RISK_POTENTIAL_CONTAMINANT	Phase 6B locked environmental/reagent flag list	True	not_in_contaminant_removal_sensitivity_or_filtered	Potential contaminant flag only; not confirmed contamination.
Paraburkholderia	True	0.25806451612903225	10.21561282428867	0.0	0.7419354838709677	MODERATE_RISK_ENVIRONMENTAL	Phase 6B locked environmental/reagent flag list	True	MICRO_SENS_NO_HIGH_RISK	Environmental risk flag only; not confirmed contamination.
Aerococcus	True	0.2903225806451613	5.442842819496522	0.0	0.7096774193548387	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Acidovorax	True	1.0	204.5717726684826	172.64351506983752	0.0	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Cupriavidus	True	0.9838709677419355	101.14185284296119	97.58484154971504	0.016129032258064516	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE	Phase 6B locked contamination-sensitivity list	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	Retained in primary; interpret with sensitivity analyses.
Staphylococcus	True	0.8387096774193549	44.345265442784246	28.3072877626953	0.16129032258064516	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Luteimonas	True	0.20967741935483872	8.612503179013927	0.0	0.7903225806451613	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Rhodopseudomonas	True	0.7258064516129032	50.23027178039544	31.688174832643796	0.27419354838709675	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Rhodoferax	True	0.7419354838709677	15.931483051078308	16.720519284701048	0.25806451612903225	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Blastomonas	True	1.0	54.3393210432828	46.2179156765518	0.0	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Aeromonas	True	0.45161290322580644	11.413379837519573	0.0	0.5483870967741935	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Achromobacter	True	0.9838709677419355	122.26880620288237	81.9202728598445	0.016129032258064516	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Azoarcus	True	1.0	99.02343885659825	80.66852775064939	0.0	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Enterobacter	True	0.7903225806451613	101.35378954194813	46.19400001359625	0.20967741935483872	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Methyloversatilis	True	1.0	289.49151695566957	199.9248104365795	0.0	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
