genus	contamination_risk_category	primary_coefficient	primary_p_value	primary_q_value	no_high_risk_coefficient	no_high_risk_p_value	no_high_moderate_risk_coefficient	no_high_moderate_risk_p_value	total_abundance_proxy_spearman_rho	total_abundance_proxy_spearman_p	strong_total_proxy_correlation	logo_compositional_check	flagged_environmental_genus	confirmed_contamination_language_used
Acidovorax	LOW_CURRENT_CONCERN	-0.1910142018604444	0.022731502078093012	0.07495252036560399	-0.19247081062813617	0.023534196697344127	-0.1957857376659253	0.022751309042317983	-0.5460703583389993	4.417199755501854e-06	True	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Aeromonas	LOW_CURRENT_CONCERN	0.35791064317835075	0.02896037832861746	0.09297805673924553	0.35645403440989987	0.0292525938479888	0.35313910737204396	0.030846878410309413	0.33036186447080157	0.008731076841393107	False	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Azoarcus	LOW_CURRENT_CONCERN	-0.2006526248572214	0.01076621891409364	0.04016884356972097	-0.20210923362565905	0.011742823595251495	-0.20542416066366198	0.011279670656114394	-0.2267633653143965	0.07633372847681195	False	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Blastomonas	LOW_CURRENT_CONCERN	-0.11673149600708055	0.01943370713875064	0.0675080967704031	-0.11818810477555929	0.021945406903836638	-0.12150303181389781	0.021843239556884494	-0.4545591901488253	0.0002061179389596659	False	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Brevundimonas	HIGH_RISK_POTENTIAL_CONTAMINANT	-0.2795158450874988	9.005586460217569e-05	0.0013733519351831792					-0.5338822996147163	7.87269089075747e-06	True	genus_removed_no_self_CLR; recomputed remaining CLR matrix	True	False
Burkholderia	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE	-0.16849646368638188	0.004488642882271292	0.022786557530648944	-0.16995307245491664	0.004872557001043146	-0.1732679994928918	0.004982935542217908	-0.48069804336329985	7.672141932358731e-05	False	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Candida	LOW_CURRENT_CONCERN	-1.124347947887254	2.0949442316539534e-05	0.0005111663925235647	-1.1258045566548522	2.1529761728417416e-05	-1.1291194836928509	2.1445971909909817e-05	-0.43224799174032386	0.00045094303497562297	False	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Caulobacter	HIGH_RISK_POTENTIAL_CONTAMINANT	-0.11904701988270319	0.0155367222946319	0.055749415292502706					-0.5034625166830349	3.032183940042229e-05	True	genus_removed_no_self_CLR; recomputed remaining CLR matrix	True	False
Chryseobacterium	LOW_CURRENT_CONCERN	0.37510547964437785	0.005253664017281592	0.024651808081090548	0.3736488708756792	0.005505009546905677	0.37033394383807594	0.005658934720036381	0.48064767948427395	7.687362447182545e-05	False	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Citrobacter	LOW_CURRENT_CONCERN	-0.5833013793758801	0.019920421997823866	0.0675080967704031	-0.5847579881440548	0.020067527065167193	-0.588072915181924	0.0189487019195361	-0.3196847221172975	0.011314933637856003	False	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Comamonas	HIGH_RISK_POTENTIAL_CONTAMINANT	-0.17378071162397604	0.0012297325304157884	0.008334853817262566					-0.5402281483719877	5.843491317962739e-06	True	genus_removed_no_self_CLR; recomputed remaining CLR matrix	True	False
Cupriavidus	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE	-0.2961220427819774	0.0002050709860746752	0.0022744236637373067	-0.2975786515510974	0.00022814227008417898	-0.3008935785885234	0.00022875990055716715	-0.5971393316713254	3.0064538276927174e-07	True	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Cutibacterium	LOW_CURRENT_CONCERN	-0.33543169367984577	0.0030002357887154514	0.01591429418362109	-0.33688830244873125	0.0034076425288938213	-0.3402032294860357	0.0034526663146357277	-0.4692150789453804	0.0001196010144946751	False	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Dechloromonas	MODERATE_RISK_ENVIRONMENTAL	-0.41476105784175477	0.00015228239644237521	0.001898772685258528	-0.4162176666108895	0.00017457964645202468			-0.6626627382841026	4.438907561238238e-09	True	genus_removed_no_self_CLR; recomputed remaining CLR matrix	True	False
Elizabethkingia	HIGH_RISK_POTENTIAL_CONTAMINANT	0.38810749791913457	0.03132461765699775	0.09798982959368525					0.6898592329581225	5.586856071484101e-10	True	genus_removed_no_self_CLR; recomputed remaining CLR matrix	True	False
Ensifer	LOW_CURRENT_CONCERN	0.4155740207649449	0.010865342932793377	0.04016884356972097	0.4141174119966209	0.010801874833413341	0.41080248495858607	0.01124728909323459	0.35040668832313465	0.00523716510450407	False	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Erythrobacter	LOW_CURRENT_CONCERN	-0.25485079833434315	1.991027463855525e-06	0.00012145267529518703	-0.25630740710319116	3.1722128069329386e-06	-0.25962233413973895	4.380302032486791e-06	-0.6454382916572234	1.4827845988737854e-08	True	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Flavobacterium	LOW_CURRENT_CONCERN	-0.19866525486830303	0.00046460264471216993	0.004060361788598399	-0.20012186363720902	0.0005216095146778613	-0.2034367906745629	0.0006168462099232159	-0.578857243584901	8.292552181877437e-07	True	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Fusarium	LOW_CURRENT_CONCERN	-0.554179981365673	0.004669376543165767	0.022786557530648944	-0.5556365901338577	0.004630996113333133	-0.5589515171721023	0.004303242358264285	-0.49741885119991947	3.904718742639677e-05	False	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Herbaspirillum	MODERATE_RISK_ENVIRONMENTAL	0.3666245045673405	0.009588249537927564	0.038992214787572095	0.3651678957989705	0.010248629540589256			0.2742061393568533	0.031030230754127624	False	genus_removed_no_self_CLR; recomputed remaining CLR matrix	True	False
Hydrogenophaga	LOW_CURRENT_CONCERN	-0.2690395239003101	0.0005816653626472087	0.004435198390184966	-0.2704961326690891	0.0006314192834843452	-0.27381105970627023	0.0006452062604394098	-0.6362720656744982	2.7328217913786622e-08	True	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Klebsiella	LOW_CURRENT_CONCERN	-0.7027783313711446	0.0003763983918317249	0.0038267169836225367	-0.7042349401399836	0.0004158492201737166	-0.7075498671775002	0.00041630367460730906	-0.5890307471481454	4.7515085070857305e-07	True	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Methylibium	LOW_CURRENT_CONCERN	0.34772650791484877	0.010216234842658583	0.04016884356972097	0.34626989914628054	0.010123113893408536	0.3429549721084011	0.010241499271309533	-0.0507416081186573	0.6953085198875584	False	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Methylorubrum	LOW_CURRENT_CONCERN	0.5232445227288702	0.008794452898192019	0.03831868762783665	0.5217879139597579	0.009098786800162047	0.5184729869218951	0.009636156386187087	0.1779104026592128	0.16653502954342603	False	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
