genus	model	formula	model_role	n	host_score_coefficient	host_score_robust_se_HC3	host_score_ci_lower	host_score_ci_upper	host_score_p_value	coefficient_attenuation_vs_Model_0	sign_change_vs_Model_0	directionally_stable_vs_Model_0	max_vif	vif_by_predictor	condition_number	multiple_testing_family	combined_TME_model_executed	host_score_q_value_within_model	contamination_risk_category
Lysobacter	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	primary	62	-0.061540723180312853	0.23678692575040322	-0.5351850950402968	0.41210364867967103	0.7958313389065554		False	True	0.9999999999999998	"{""moffitt50_z"": 0.9999999999999998}"	1.0081634007555278	Model_0_122_genus_tests_Moffitt50	False	0.9320413253335609	LOW_CURRENT_CONCERN
Brevundimonas	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	primary	62	-0.2795158450874988	0.0665617545481776	-0.4126591777396662	-0.14637251243533142	9.005586460217569e-05		False	True	0.9999999999999998	"{""moffitt50_z"": 0.9999999999999998}"	1.0081634007555278	Model_0_122_genus_tests_Moffitt50	False	0.0013733519351831792	HIGH_RISK_POTENTIAL_CONTAMINANT
Paraburkholderia	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	primary	62	-0.21209220275910473	0.16248846282177717	-0.5371175210439507	0.1129331155257412	0.19678248488279365		False	True	0.9999999999999998	"{""moffitt50_z"": 0.9999999999999998}"	1.0081634007555278	Model_0_122_genus_tests_Moffitt50	False	0.3479342486333453	MODERATE_RISK_ENVIRONMENTAL
Aerococcus	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	primary	62	0.18542876191963303	0.1458330563322099	-0.10628078303936928	0.47713830687863534	0.2084527603983912		False	True	0.9999999999999998	"{""moffitt50_z"": 0.9999999999999998}"	1.0081634007555278	Model_0_122_genus_tests_Moffitt50	False	0.3633033824086247	LOW_CURRENT_CONCERN
Acidovorax	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	primary	62	-0.1910142018604444	0.08169491896076882	-0.35442837032730173	-0.027600033393587076	0.022731502078093012		False	True	0.9999999999999998	"{""moffitt50_z"": 0.9999999999999998}"	1.0081634007555278	Model_0_122_genus_tests_Moffitt50	False	0.07495252036560399	LOW_CURRENT_CONCERN
Cupriavidus	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	primary	62	-0.2961220427819774	0.07488163592369748	-0.44590761602901424	-0.14633646953494056	0.0002050709860746752		False	True	0.9999999999999998	"{""moffitt50_z"": 0.9999999999999998}"	1.0081634007555278	Model_0_122_genus_tests_Moffitt50	False	0.0022744236637373067	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE
Staphylococcus	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	primary	62	-0.4506854397751492	0.16345444574097898	-0.7776430115893775	-0.12372786796092089	0.007711950721089734		False	True	0.9999999999999998	"{""moffitt50_z"": 0.9999999999999998}"	1.0081634007555278	Model_0_122_genus_tests_Moffitt50	False	0.03484659214714621	LOW_CURRENT_CONCERN
Luteimonas	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	primary	62	0.07857230425364707	0.1610767077153646	-0.24362908336662426	0.4007736918739184	0.6274732908918886		False	True	0.9999999999999998	"{""moffitt50_z"": 0.9999999999999998}"	1.0081634007555278	Model_0_122_genus_tests_Moffitt50	False	0.8320841466175045	LOW_CURRENT_CONCERN
Rhodopseudomonas	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	primary	62	0.4084976923795205	0.1995535982093805	0.009331064506187925	0.8076643202528531	0.0450393732799802		False	True	0.9999999999999998	"{""moffitt50_z"": 0.9999999999999998}"	1.0081634007555278	Model_0_122_genus_tests_Moffitt50	False	0.1281303096192078	LOW_CURRENT_CONCERN
Rhodoferax	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	primary	62	0.019258221935880847	0.12465299832414267	-0.23008489911944896	0.26860134299121063	0.8777382438231998		False	True	0.9999999999999998	"{""moffitt50_z"": 0.9999999999999998}"	1.0081634007555278	Model_0_122_genus_tests_Moffitt50	False	0.9393339100564068	LOW_CURRENT_CONCERN
Blastomonas	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	primary	62	-0.11673149600708055	0.048604000544721526	-0.21395397243786693	-0.019509019576294168	0.01943370713875064		False	True	0.9999999999999998	"{""moffitt50_z"": 0.9999999999999998}"	1.0081634007555278	Model_0_122_genus_tests_Moffitt50	False	0.0675080967704031	LOW_CURRENT_CONCERN
Aeromonas	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	primary	62	0.35791064317835075	0.15994041244842125	0.03798218450571128	0.6778391018509902	0.02896037832861746		False	True	0.9999999999999998	"{""moffitt50_z"": 0.9999999999999998}"	1.0081634007555278	Model_0_122_genus_tests_Moffitt50	False	0.09297805673924553	LOW_CURRENT_CONCERN
Achromobacter	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	primary	62	-0.2408796078158173	0.1177399003815463	-0.4763944741132003	-0.005364741518434302	0.04516068289857324		False	True	0.9999999999999998	"{""moffitt50_z"": 0.9999999999999998}"	1.0081634007555278	Model_0_122_genus_tests_Moffitt50	False	0.1281303096192078	LOW_CURRENT_CONCERN
Azoarcus	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	primary	62	-0.2006526248572214	0.07622618973495311	-0.35312770616449385	-0.048177543549948965	0.01076621891409364		False	True	0.9999999999999998	"{""moffitt50_z"": 0.9999999999999998}"	1.0081634007555278	Model_0_122_genus_tests_Moffitt50	False	0.04016884356972097	LOW_CURRENT_CONCERN
