genus	evidence_category	primary_q_value	reasons
Lysobacter	METHOD_SENSITIVE	0.9320413253335609	primary_q=0.932041; primary_direction=negative; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Brevundimonas	CONTAMINATION_SENSITIVE	0.0013733519351831792	primary_q=0.00137335; primary_direction=negative; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.857; sign_reversal=True; influence_sensitive=False; contamination_sensitive=True
Paraburkholderia	NO_SUPPORTED_ASSOCIATION	0.3479342486333453	primary_q=0.347934; primary_direction=negative; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=1; sign_reversal=False; influence_sensitive=True; contamination_sensitive=False
Aerococcus	METHOD_SENSITIVE	0.3633033824086247	primary_q=0.363303; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.875; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Acidovorax	CONTAMINATION_SENSITIVE	0.07495252036560399	primary_q=0.0749525; primary_direction=negative; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=True
Cupriavidus	CONTAMINATION_SENSITIVE	0.0022744236637373067	primary_q=0.00227442; primary_direction=negative; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=True
Staphylococcus	SUGGESTIVE_ASSOCIATION	0.03484659214714621	primary_q=0.0348466; primary_direction=negative; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=1; sign_reversal=False; influence_sensitive=True; contamination_sensitive=False
Luteimonas	METHOD_SENSITIVE	0.8320841466175045	primary_q=0.832084; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=False; preprocessing_same_direction_fraction=0.833; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Rhodopseudomonas	NO_SUPPORTED_ASSOCIATION	0.1281303096192078	primary_q=0.12813; primary_direction=positive; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=1; sign_reversal=False; influence_sensitive=True; contamination_sensitive=False
Rhodoferax	METHOD_SENSITIVE	0.9393339100564068	primary_q=0.939334; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=False; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Blastomonas	METHOD_SENSITIVE	0.0675080967704031	primary_q=0.0675081; primary_direction=negative; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Aeromonas	METHOD_SENSITIVE	0.09297805673924553	primary_q=0.0929781; primary_direction=positive; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Achromobacter	METHOD_SENSITIVE	0.1281303096192078	primary_q=0.12813; primary_direction=negative; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Azoarcus	ROBUST_ASSOCIATION	0.04016884356972097	primary_q=0.0401688; primary_direction=negative; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Enterobacter	NO_SUPPORTED_ASSOCIATION	0.40671977322531716	primary_q=0.40672; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=1; sign_reversal=False; influence_sensitive=True; contamination_sensitive=False
Methyloversatilis	METHOD_SENSITIVE	0.3100289808720857	primary_q=0.310029; primary_direction=negative; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Mycobacterium	NO_SUPPORTED_ASSOCIATION	0.6464311600498758	primary_q=0.646431; primary_direction=negative; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=1; sign_reversal=False; influence_sensitive=False; contamination_sensitive=False
Rubrivivax	METHOD_SENSITIVE	0.005560818939971367	primary_q=0.00556082; primary_direction=positive; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Mesorhizobium	METHOD_SENSITIVE	0.1125908694302067	primary_q=0.112591; primary_direction=positive; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.875; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
