genus	max_cooks_distance	n_cooks_gt_4_over_n	max_abs_dfbeta_host_score	n_abs_dfbeta_gt_2_over_sqrt_n	max_leverage	max_abs_studentized_residual	leave_one_sample_out_coef_min	leave_one_sample_out_coef_max	leave_one_sample_out_direction_reversal	support_depends_on_one_or_two_patients	contamination_risk_category
Lysobacter	0.14365066234547777	3	0.4780114428384437	3	0.09080065219490129	2.1550432471850827	-0.1710554112292986	0.010688837105651581	True	False	LOW_CURRENT_CONCERN
Brevundimonas	0.23032962798154344	3	0.6245199025819825	2	0.09080065219490129	2.5474841639545667	-0.31795910262993315	-0.26393990829869973	False	False	HIGH_RISK_POTENTIAL_CONTAMINANT
Paraburkholderia	0.23343826851850874	2	0.5025498734271951	1	0.09080065219490129	4.847831871236294	-0.2967928940688432	-0.17307480430415642	False	True	MODERATE_RISK_ENVIRONMENTAL
Aerococcus	0.17980524384695842	5	0.5053419121428969	6	0.09080065219490129	3.007374318897624	0.13070571625015345	0.24780664595564916	False	False	LOW_CURRENT_CONCERN
Acidovorax	0.14524195190224903	4	0.4729500946747711	5	0.09080065219490129	2.246372413435754	-0.22325798287802126	-0.15646023731500627	False	False	LOW_CURRENT_CONCERN
Cupriavidus	0.2900612584113936	3	0.4669088446123854	3	0.09080065219490129	7.548856954802625	-0.3381828450664389	-0.27769230776248044	False	False	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE
Staphylococcus	0.1075104635377085	2	0.38445108311573195	3	0.09080065219490129	2.322696694199294	-0.5205154863344011	-0.3921051035334338	False	True	LOW_CURRENT_CONCERN
Luteimonas	0.3456259200537133	5	0.7829748177081991	6	0.09080065219490129	3.971230949269558	-0.02059656241307068	0.13193420389999821	True	False	LOW_CURRENT_CONCERN
Rhodopseudomonas	0.16900655065229972	1	0.5272970347549434	4	0.09080065219490129	2.1509015808540948	0.35674073552704677	0.5106159486479892	False	True	LOW_CURRENT_CONCERN
Rhodoferax	0.06495108863458883	1	0.28445493108123404	1	0.09080065219490129	2.981138540344202	-0.018033147615734702	0.0626580272756311	True	True	LOW_CURRENT_CONCERN
Blastomonas	0.11933595276949911	5	0.4088887121108401	5	0.09080065219490129	3.739275981946828	-0.1375395745006629	-0.09987213165133932	False	False	LOW_CURRENT_CONCERN
Aeromonas	0.18259965555220872	5	0.536228099673249	4	0.09080065219490129	4.537722992652711	0.29061775890339653	0.4400667029642316	False	False	LOW_CURRENT_CONCERN
Achromobacter	0.28417273490142997	2	0.6070692338374749	2	0.09080065219490129	5.160310875544903	-0.3044170060921573	-0.21210426089494375	False	True	LOW_CURRENT_CONCERN
Azoarcus	0.09665784624834296	5	0.3816996881641836	7	0.09080065219490129	3.0778868479607273	-0.2199895211937699	-0.174158273100764	False	False	LOW_CURRENT_CONCERN
Enterobacter	0.09625431526511566	1	0.3622365327788319	3	0.09080065219490129	2.2851513426689203	0.1870233065476172	0.3350887476852523	False	True	LOW_CURRENT_CONCERN
Methyloversatilis	0.10092416732406194	3	0.366685493451395	6	0.09080065219490129	3.8558744781661316	-0.09563961087462226	-0.05891652030130049	False	False	LOW_CURRENT_CONCERN
Mycobacterium	0.14409375715556438	5	0.47535115727178584	7	0.09080065219490129	2.891786062267248	-0.24294272611690013	-0.10111616352918437	False	False	LOW_CURRENT_CONCERN
Rubrivivax	0.15778472529903015	2	0.5081692558672252	2	0.09080065219490129	2.0728773039549453	0.41214213546158496	0.5052686092842879	False	True	LOW_CURRENT_CONCERN
Mesorhizobium	0.14741447348561715	4	0.4720207897874924	5	0.09080065219490129	2.4477200482323216	0.2837355752180753	0.40294341610136797	False	False	MODERATE_RISK_ENVIRONMENTAL
Nocardioides	0.16595850768052037	3	0.4885326706023203	2	0.09080065219490129	2.777786992046333	0.5977350623494238	0.7049672408242056	False	False	LOW_CURRENT_CONCERN
Comamonas	0.13439995012414105	4	0.36915718163729383	4	0.09080065219490129	4.648135760869932	-0.19537878195204988	-0.15637775621258015	False	False	HIGH_RISK_POTENTIAL_CONTAMINANT
Dechloromonas	0.24652478397981206	5	0.6093002873017909	4	0.09080065219490129	3.6260480132314687	-0.4641184901240136	-0.36590398866688295	False	False	MODERATE_RISK_ENVIRONMENTAL
Chelatococcus	0.22450281439746886	7	0.6163740542977788	9	0.09080065219490129	2.587851584338246	0.1606615527023794	0.2624401061852504	False	False	LOW_CURRENT_CONCERN
Bordetella	0.10479302543166118	4	0.36139149765629314	2	0.09080065219490129	2.7938741066595147	-0.11590879344459176	-0.034147394653424604	False	False	LOW_CURRENT_CONCERN
Kocuria	0.12415981110942545	3	0.4576987978573404	3	0.09080065219490129	2.1332005868148727	-0.011951548304849364	0.1342426087019207	True	False	LOW_CURRENT_CONCERN
Bosea	0.17414620894306207	5	0.5174509269375233	4	0.09080065219490129	3.3095809991025815	0.2826303098687514	0.4258834416881976	False	False	LOW_CURRENT_CONCERN
Phenylobacterium	0.17238535950030515	4	0.5438971443659676	4	0.09080065219490129	2.2297288969639615	-0.0831421998542283	0.07231631211885561	True	False	LOW_CURRENT_CONCERN
Xanthomonas	0.10884520620318285	2	0.41243937116623414	4	0.09080065219490129	2.198089569529474	0.0038800749716521826	0.15749981886485082	False	True	LOW_CURRENT_CONCERN
Azospira	0.10958310925960653	3	0.41886066041698095	3	0.09080065219490129	2.0820582651920354	-0.11968688268012528	-0.02302652876426024	False	False	LOW_CURRENT_CONCERN
Deinococcus	0.10236680058102902	6	0.40235628599351647	8	0.09080065219490129	2.2384870126275986	-0.09686349214506544	0.01615568604685637	True	False	LOW_CURRENT_CONCERN
Hydrogenophaga	0.20757353715871193	2	0.4347697991911439	3	0.09080065219490129	5.656184662227095	-0.3058350109966664	-0.24843752637514827	False	True	LOW_CURRENT_CONCERN
Porphyrobacter	0.25548262079569684	2	0.5523700020234298	2	0.09080065219490129	4.941270094724061	-0.17544811974210145	-0.11913594233847064	False	True	LOW_CURRENT_CONCERN
Aromatoleum	0.06223354266972266	0	0.30287003697423376	4	0.09080065219490129	2.2999957371753936	0.2033017497958049	0.30383380381292663	False	False	LOW_CURRENT_CONCERN
Microbacterium	0.15793681795462924	3	0.499549741918605	3	0.09080065219490129	2.397331105430599	0.2924365886718637	0.4090985998406941	False	False	LOW_CURRENT_CONCERN
Mitsuaria	0.182648097827923	7	0.5408945337754232	8	0.09080065219490129	2.497940818638968	-0.024578079865437464	0.10355845933943449	True	False	LOW_CURRENT_CONCERN
Pandoraea	0.2720623182398479	3	0.6503724640333227	4	0.09080065219490129	3.788643098996184	0.408754631358125	0.486110979535381	False	False	LOW_CURRENT_CONCERN
Rhodococcus	0.0859725814116545	4	0.3783562315627858	4	0.09080065219490129	2.5720759280474015	-0.10416771685875989	0.0003520773403742771	True	False	LOW_CURRENT_CONCERN
Streptococcus	0.12685713153333641	1	0.26548911920400065	2	0.09080065219490129	4.501943585030398	0.2410668613710025	0.34699070672352805	False	True	LOW_CURRENT_CONCERN
Rhizorhabdus	0.1592015202405526	4	0.41825223457768645	3	0.09080065219490129	4.956331837445667	-0.325693154157844	-0.2576505440166301	False	False	LOW_CURRENT_CONCERN
Citromicrobium	0.1535097649860981	6	0.5115497151561494	6	0.09080065219490129	2.4472292954200956	-0.07407500856256861	0.04038756134628497	True	False	LOW_CURRENT_CONCERN
Massilia	0.08616018420582282	2	0.3231740639082523	3	0.09080065219490129	2.163577041036693	0.11192144385752367	0.19230319032510912	False	True	LOW_CURRENT_CONCERN
Candida	0.12788544894895001	4	0.40353695631346853	5	0.09080065219490129	2.9701221258015256	-1.2100255822676875	-1.025592616930195	False	False	LOW_CURRENT_CONCERN
Ramlibacter	0.17517482024215558	4	0.5376030660971964	5	0.09080065219490129	2.8717370962452122	-0.40872976418863316	-0.32341494702603496	False	False	LOW_CURRENT_CONCERN
Caulobacter	0.13060209694103608	5	0.3541319169728094	4	0.09080065219490129	4.5584678133123075	-0.1376910101788372	-0.1023120123042787	False	False	HIGH_RISK_POTENTIAL_CONTAMINANT
Bacteroides	0.1650954379085849	3	0.531586859044363	4	0.09080065219490129	2.464747678098746	0.15517835581472048	0.3960241977195939	False	False	LOW_CURRENT_CONCERN
Enterococcus	0.10107456046517138	3	0.36183442296306667	5	0.09080065219490129	2.939093082220892	-0.132076530835106	-0.016819900655912042	False	False	LOW_CURRENT_CONCERN
Laribacter	0.19860517245913875	8	0.5865265140126295	9	0.09080065219490129	2.5435504835100606	0.024493520573666567	0.14417848089767604	False	False	LOW_CURRENT_CONCERN
Variovorax	0.14645422938828853	7	0.4883084108346376	8	0.09080065219490129	2.930833997995824	-0.3482253106751796	-0.2845622256119343	False	False	LOW_CURRENT_CONCERN
