genus	analysis_role	model	formula	n	coefficient	robust_se_HC3	ci_lower	ci_upper	t_statistic_HC3	p_value	r_squared	adjusted_r_squared	partial_r_squared	cohens_f2	residual_shapiro_p	residual_breusch_pagan_p	max_abs_studentized_residual	max_cooks_distance	max_leverage	residual_sum_squares	total_sum_squares	multiple_testing_family	coefficient_interpretation	bh_q_value	rank_by_p	analysis_id	matrix_path	n_available_genera	direction	rank_within_analysis	analyses_present	effect_min	effect_max	fraction_analyses_with_primary_direction	evidence_of_sign_reversal	contamination_risk_category
Lysobacter	preprocessing_sensitivity	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	-0.031186813039910027	0.23801301536534028	-0.5072837292862468	0.44491010320642677	-0.13102986402671946	0.8961900409598567	0.0002925088549191601	-0.016369282664165485	0.0002925088549191601	0.00029259444138416514	0.010390831432118143	0.5687319889737736	2.1423990780697655	0.14858730651775912	0.09080065219490131	202.77095997478128	202.83028963054406	149_genus_tests_Moffitt50_MICRO_SENS_PREV_10	relative_compositional_CLR_association_not_absolute_load	0.9395983225722478	141	MICRO_SENS_PREV_10	03_processed/microbiome/sensitivity/MICRO_SENS_PREV_10_centered_log_ratio.tsv.gz	149	negative	141	9	-0.1064078828104997	0.06822276164190187	0.8888888888888888	True	LOW_CURRENT_CONCERN
Brevundimonas	preprocessing_sensitivity	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	-0.24916193494723962	0.06359579018802927	-0.3763724555496304	-0.12195141434484882	-3.9178998202641995	0.00023146950010404898	0.21685673732341326	0.2038043496121369	0.21685673732341326	0.2769055773808887	0.9010839137246837	0.9920091349222502	2.4591219045021533	0.2160879906816952	0.09080065219490131	13.67607649959585	17.46305835902164	149_genus_tests_Moffitt50_MICRO_SENS_PREV_10	relative_compositional_CLR_association_not_absolute_load	0.0031353595923184815	11	MICRO_SENS_PREV_10	03_processed/microbiome/sensitivity/MICRO_SENS_PREV_10_centered_log_ratio.tsv.gz	149	negative	11	7	-0.47476939770179627	0.16603946550957993	0.8571428571428571	True	HIGH_RISK_POTENTIAL_CONTAMINANT
Paraburkholderia	preprocessing_sensitivity	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	-0.18173829261862587	0.16038053167191663	-0.5025471208154497	0.139070535578198	-1.133169286347048	0.26165096319229053	0.014190991605421477	-0.0022391585344880838	0.014190991605421477	0.014395274829687305	5.313750749958687e-08	0.5329389100613262	4.768023862682783	0.22793576471520702	0.09080065219490131	139.95962224249698	141.97437946973693	149_genus_tests_Moffitt50_MICRO_SENS_PREV_10	relative_compositional_CLR_association_not_absolute_load	0.438044870962374	89	MICRO_SENS_PREV_10	03_processed/microbiome/sensitivity/MICRO_SENS_PREV_10_centered_log_ratio.tsv.gz	149	negative	89	6	-0.2295738398272358	-0.17552355289460428	1.0	False	MODERATE_RISK_ENVIRONMENTAL
Aerococcus	preprocessing_sensitivity	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	0.21578267205994467	0.14752116543621285	-0.07930359386311725	0.5108689379830066	1.4627234771490984	0.14876184306056764	0.04226531501338626	0.02630307026360945	0.04226531501338626	0.04413050469606518	0.004821192729773476	0.17337066656320158	3.0088258256440583	0.17995575657976828	0.09080065219490131	64.36119130752586	67.20148316276698	149_genus_tests_Moffitt50_MICRO_SENS_PREV_10	relative_compositional_CLR_association_not_absolute_load	0.28786382618213735	77	MICRO_SENS_PREV_10	03_processed/microbiome/sensitivity/MICRO_SENS_PREV_10_centered_log_ratio.tsv.gz	149	positive	77	8	-0.43998823998597864	0.46464313098629384	0.875	True	LOW_CURRENT_CONCERN
Acidovorax	preprocessing_sensitivity	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	-0.16066029171954405	0.08052571285612452	-0.3217356997617956	0.0004151163227075205	-1.9951427441144938	0.05057461567230584	0.07270857663263419	0.057253719576511486	0.07270857663263419	0.07840962916339751	0.06091363819295666	0.01614859559003776	2.411346756621644	0.16537444146099006	0.09080065219490131	20.080639409463494	21.65515489892343	149_genus_tests_Moffitt50_MICRO_SENS_PREV_10	relative_compositional_CLR_association_not_absolute_load	0.13723399694923905	54	MICRO_SENS_PREV_10	03_processed/microbiome/sensitivity/MICRO_SENS_PREV_10_centered_log_ratio.tsv.gz	149	negative	54	9	-0.3848994900514588	0.25608410912850155	0.8888888888888888	True	LOW_CURRENT_CONCERN
Cupriavidus	preprocessing_sensitivity	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	-0.2657681326412657	0.07240776261810426	-0.4106052225031852	-0.12093104277934619	-3.6704370226572247	0.0005166665583855732	0.12456843850041388	0.10997791247542088	0.12456843850041388	0.14229374856788593	4.805465755204739e-09	0.5696372877144698	8.13335586264236	0.312056787465274	0.09080065219490131	30.27957843087947	34.58817315086461	149_genus_tests_Moffitt50_MICRO_SENS_PREV_10	relative_compositional_CLR_association_not_absolute_load	0.005132221146630027	15	MICRO_SENS_PREV_10	03_processed/microbiome/sensitivity/MICRO_SENS_PREV_10_centered_log_ratio.tsv.gz	149	negative	15	9	-0.47525427738843407	0.11145600631722874	0.8888888888888888	True	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE
Staphylococcus	preprocessing_sensitivity	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	-0.4203315296347092	0.16552579496052913	-0.7514324167814346	-0.08923064248798379	-2.539371762177251	0.013714831301695055	0.07636441070236766	0.060970484214073806	0.07636441070236766	0.0826780730270886	0.015382556155292205	0.13850756145117998	2.3045535066967426	0.10822530439194614	0.09080065219490131	130.35371880978911	141.13111309289744	149_genus_tests_Moffitt50_MICRO_SENS_PREV_10	relative_compositional_CLR_association_not_absolute_load	0.05377657536717271	38	MICRO_SENS_PREV_10	03_processed/microbiome/sensitivity/MICRO_SENS_PREV_10_centered_log_ratio.tsv.gz	149	negative	38	9	-0.6117666435337625	-0.0967237405855739	1.0	False	LOW_CURRENT_CONCERN
Neurospora	preprocessing_sensitivity	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	-0.4031033421821234	0.12212411610866478	-0.6473879456497021	-0.15881873871454466	-3.300767735534284	0.0016265425966565	0.12751962579748155	0.11297828622743966	0.12751962579748155	0.14615758654060215	9.281787880443706e-10	0.9840635840621441	4.686309333626581	0.26805396530600617	0.09080065219490131	67.81742096178313	77.72945153496539	149_genus_tests_Moffitt50_MICRO_SENS_PREV_10	relative_compositional_CLR_association_not_absolute_load	0.01154070699532469	21	MICRO_SENS_PREV_10	03_processed/microbiome/sensitivity/MICRO_SENS_PREV_10_centered_log_ratio.tsv.gz	149	negative	21	1	-0.4031033421821234	-0.4031033421821234	1.0	False	
Luteimonas	preprocessing_sensitivity	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	0.10892621439383185	0.1621946058991453	-0.21551130252868975	0.4333637313163534	0.6715772931534084	0.5044304333286855	0.010375686201810286	-0.006118052361492765	0.010375686201810286	0.0104844697701376	3.6262525383484184e-06	0.004703720071918314	3.946361248416862	0.3591372208477477	0.09080065219490131	69.03163888877367	69.75539901988608	149_genus_tests_Moffitt50_MICRO_SENS_PREV_10	relative_compositional_CLR_association_not_absolute_load	0.7319688905940235	102	MICRO_SENS_PREV_10	03_processed/microbiome/sensitivity/MICRO_SENS_PREV_10_centered_log_ratio.tsv.gz	149	positive	102	6	-0.24135337341528235	0.19972120534171772	0.8333333333333334	True	LOW_CURRENT_CONCERN
Neorhizobium	preprocessing_sensitivity	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	0.17687719268540894	0.11666637369807015	-0.056490300525142534	0.4102446858959604	1.5160940301715642	0.13474672003403196	0.049744879132080144	0.03390729378428159	0.049744879132080144	0.052348972438733536	0.08130734507641045	0.0004235432292668273	2.7754254638999107	0.15713520277750334	0.09080065219490131	36.45569205894244	38.36411007777098	149_genus_tests_Moffitt50_MICRO_SENS_PREV_10	relative_compositional_CLR_association_not_absolute_load	0.2720819435186204	73	MICRO_SENS_PREV_10	03_processed/microbiome/sensitivity/MICRO_SENS_PREV_10_centered_log_ratio.tsv.gz	149	positive	73	1	0.17687719268540894	0.17687719268540894	1.0	False	
Rhodopseudomonas	preprocessing_sensitivity	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	0.4388516025198835	0.20203914044839688	0.034713149919322006	0.842990055120445	2.172111807375122	0.03380967613286163	0.07377431930146461	0.058337224623155715	0.07377431930146461	0.0796504791854032	0.0021888705250176586	0.21817954694617986	2.2046737325774055	0.17691123466795908	0.09080065219490131	147.49483733480693	159.24287180589738	149_genus_tests_Moffitt50_MICRO_SENS_PREV_10	relative_compositional_CLR_association_not_absolute_load	0.102809015179518	49	MICRO_SENS_PREV_10	03_processed/microbiome/sensitivity/MICRO_SENS_PREV_10_centered_log_ratio.tsv.gz	149	positive	49	9	0.3285600369017634	0.45682013834174473	1.0	False	LOW_CURRENT_CONCERN
Rhodoferax	preprocessing_sensitivity	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	0.049612132076063416	0.12583942886440833	-0.20210420340493096	0.3013284675570578	0.39424950131902115	0.6947946515863379	0.0016767592293639444	-0.01496196145014661	0.0016767592293639444	0.001679575473039777	0.00015170750951054793	0.011426178056521163	2.948804644232679	0.06372978618865834	0.09080065219490131	89.3935312864414	89.54367446903849	149_genus_tests_Moffitt50_MICRO_SENS_PREV_10	relative_compositional_CLR_association_not_absolute_load	0.8627033590530363	120	MICRO_SENS_PREV_10	03_processed/microbiome/sensitivity/MICRO_SENS_PREV_10_centered_log_ratio.tsv.gz	149	positive	120	9	-0.11760221629835572	0.07289599979546624	0.8888888888888888	True	LOW_CURRENT_CONCERN
Blastomonas	preprocessing_sensitivity	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	-0.08637758586642634	0.04780205096336628	-0.18199592429626257	0.009240752563409893	-1.8069849331908985	0.07577920104317828	0.048809398294134	0.03295622159903633	0.048809398294134	0.05131400395104744	0.009811564576353328	0.8825453970763815	3.9278531152256857	0.12258210113181817	0.09080065219490131	8.869437048432289	9.324563376179112	149_genus_tests_Moffitt50_MICRO_SENS_PREV_10	relative_compositional_CLR_association_not_absolute_load	0.17922382468942166	63	MICRO_SENS_PREV_10	03_processed/microbiome/sensitivity/MICRO_SENS_PREV_10_centered_log_ratio.tsv.gz	149	negative	63	9	-0.30810806699131943	0.33320041136407413	0.8888888888888888	True	LOW_CURRENT_CONCERN
Aeromonas	preprocessing_sensitivity	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	0.3882645533185735	0.15910723092818865	0.07000270582619783	0.7065264008109492	2.4402696914121558	0.017646873045817586	0.0890111520442306	0.07382800457830119	0.0890111520442306	0.09770827847560248	0.0008754700211911668	0.8867315474047223	4.4567858238189855	0.18920974883797015	0.09080065219490131	94.11394109742761	103.30965226261154	149_genus_tests_Moffitt50_MICRO_SENS_PREV_10	relative_compositional_CLR_association_not_absolute_load	0.06413131911772733	41	MICRO_SENS_PREV_10	03_processed/microbiome/sensitivity/MICRO_SENS_PREV_10_centered_log_ratio.tsv.gz	149	positive	41	9	-0.36993610811046285	0.6878998899726578	0.8888888888888888	True	LOW_CURRENT_CONCERN
