genus	n	present_n	absent_n	prevalence	eligible_locked_prevalence	odds_ratio	ci_lower	ci_upper	p_value	separation_diagnostic	bh_q_value	contamination_risk_category
Lysobacter	62	39	23	0.6290322580645161	True	1.371041278925618	0.7960046749554135	2.3614863676815516	0.255301764037548	PASS	0.28766395947892737	LOW_CURRENT_CONCERN
Brevundimonas	62	62	0	1.0	False					not_run_locked_prevalence_requirement_failed		HIGH_RISK_POTENTIAL_CONTAMINANT
Paraburkholderia	62	16	46	0.25806451612903225	True	1.5536266353309343	0.8759257614503977	2.755662441087374	0.13183305273412305	PASS	0.1550977090989683	MODERATE_RISK_ENVIRONMENTAL
Aerococcus	62	18	44	0.2903225806451613	True	3.3916856775182693	1.71320493415302	6.714626782679515	0.0004565520287630959	PASS	0.0047178053452895255	LOW_CURRENT_CONCERN
Acidovorax	62	62	0	1.0	False					not_run_locked_prevalence_requirement_failed		LOW_CURRENT_CONCERN
Cupriavidus	62	61	1	0.9838709677419355	False					not_run_locked_prevalence_requirement_failed		BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE
Staphylococcus	62	52	10	0.8387096774193549	True	1.1438818512230131	0.5675603829404754	2.30542111268999	0.706955214719537	PASS	0.7250822715072175	LOW_CURRENT_CONCERN
Luteimonas	62	13	49	0.20967741935483872	True	2.5080140533644686	1.283977372995279	4.898944969100168	0.007107849747561064	PASS	0.019607861372582244	LOW_CURRENT_CONCERN
Rhodopseudomonas	62	45	17	0.7258064516129032	True	1.8714265611806506	0.9650348290683669	3.6291305436856143	0.06364321479733508	PASS	0.08932381024187379	LOW_CURRENT_CONCERN
Rhodoferax	62	46	16	0.7419354838709677	True	2.016783686844575	1.0026812051330236	4.056540023588836	0.049124453535594546	PASS	0.07277696820088081	LOW_CURRENT_CONCERN
Blastomonas	62	62	0	1.0	False					not_run_locked_prevalence_requirement_failed		LOW_CURRENT_CONCERN
Aeromonas	62	28	34	0.45161290322580644	True	3.2716041306319594	1.6725296376612406	6.399524018321758	0.0005351557329057816	PASS	0.0047178053452895255	LOW_CURRENT_CONCERN
Achromobacter	62	61	1	0.9838709677419355	False					not_run_locked_prevalence_requirement_failed		LOW_CURRENT_CONCERN
Azoarcus	62	62	0	1.0	False					not_run_locked_prevalence_requirement_failed		LOW_CURRENT_CONCERN
Enterobacter	62	49	13	0.7903225806451613	True	3.140236699916648	1.2402982100682292	7.950577088199569	0.015762248067269547	PASS	0.037087642511222464	LOW_CURRENT_CONCERN
Methyloversatilis	62	62	0	1.0	False					not_run_locked_prevalence_requirement_failed		LOW_CURRENT_CONCERN
Mycobacterium	62	18	44	0.2903225806451613	True	1.2553029650110423	0.7259388530101181	2.1706863152888043	0.4157931490456783	PASS	0.43767699899545087	LOW_CURRENT_CONCERN
Rubrivivax	62	35	27	0.5645161290322581	True	2.7497459370209216	1.4200536728860018	5.32451896891791	0.0026982519999443105	PASS	0.010692441174706527	LOW_CURRENT_CONCERN
Mesorhizobium	62	30	32	0.4838709677419355	True	2.544492463565596	1.3792289806182092	4.694247284624263	0.0027985934664573986	PASS	0.010692441174706527	MODERATE_RISK_ENVIRONMENTAL
Nocardioides	62	29	33	0.46774193548387094	True	2.8529652335963718	1.5085748342438348	5.395430468114258	0.0012608708652140806	PASS	0.008233807362831384	LOW_CURRENT_CONCERN
Comamonas	62	62	0	1.0	False					not_run_locked_prevalence_requirement_failed		HIGH_RISK_POTENTIAL_CONTAMINANT
Dechloromonas	62	62	0	1.0	False					not_run_locked_prevalence_requirement_failed		MODERATE_RISK_ENVIRONMENTAL
Chelatococcus	62	14	48	0.22580645161290322	True	3.8635186294160198	1.8108509246647402	8.242962463963272	0.00047254685354432047	PASS	0.0047178053452895255	LOW_CURRENT_CONCERN
Bordetella	62	53	9	0.8548387096774194	False					not_run_locked_prevalence_requirement_failed		LOW_CURRENT_CONCERN
Kocuria	62	32	30	0.5161290322580645	True	1.5508355757765364	0.9133632594315066	2.63322501563191	0.10426891955499068	PASS	0.13049842235965653	LOW_CURRENT_CONCERN
Bosea	62	60	2	0.967741935483871	False					not_run_locked_prevalence_requirement_failed		LOW_CURRENT_CONCERN
