genus	ols_coefficient	bootstrap_ci_lower	bootstrap_ci_upper	bootstrap_iterations	bootstrap_ci_excludes_zero	analysis_role
Lysobacter	-0.061540723180312784	-0.5272068468870813	0.36480390276333374	2000	False	supporting
Brevundimonas	-0.27951584508749916	-0.3986068178835134	-0.14968727484105562	2000	True	supporting
Paraburkholderia	-0.21209220275910476	-0.5188084668860231	0.12249859687069914	2000	False	supporting
Aerococcus	0.18542876191963303	-0.10857355557411776	0.4427679993392367	2000	False	supporting
Acidovorax	-0.19101420186044435	-0.3379975972938505	-0.026586421083787268	2000	True	supporting
Cupriavidus	-0.2961220427819772	-0.4292873177515002	-0.1453410542159426	2000	True	supporting
Staphylococcus	-0.4506854397751491	-0.7437190053217883	-0.13679783386939331	2000	True	supporting
Luteimonas	0.07857230425364682	-0.20354382316729233	0.40063084804971877	2000	False	supporting
Rhodopseudomonas	0.40849769237952055	0.015692105115305666	0.7845162825734248	2000	True	supporting
Rhodoferax	0.01925822193588087	-0.22032680369029167	0.2656412356745772	2000	False	supporting
Blastomonas	-0.11673149600708072	-0.21207945091869074	-0.02586265304233192	2000	True	supporting
Aeromonas	0.3579106431783504	0.045709625200272705	0.6402081830823216	2000	True	supporting
Achromobacter	-0.2408796078158172	-0.45820297936200244	-0.004763020148530277	2000	True	supporting
Azoarcus	-0.20065262485722135	-0.34859624800544103	-0.05589860977056932	2000	True	supporting
Enterobacter	0.25475421888014305	-0.16470301074899	0.6439261706325019	2000	False	supporting
Methyloversatilis	-0.07576835339823677	-0.17744432971241755	0.020818641954501022	2000	False	supporting
Mycobacterium	-0.15766890635792433	-0.5157112901083393	0.2190444699226395	2000	False	supporting
Rubrivivax	0.43459854987449853	0.20047123130143488	0.6502103497345947	2000	True	supporting
Mesorhizobium	0.33120565962262	0.01453008213484397	0.5979106550835769	2000	True	supporting
Nocardioides	0.6261896432712264	0.31288609387686556	0.9051023826958202	2000	True	supporting
Comamonas	-0.1737807116239756	-0.2724221630205575	-0.07512341986753296	2000	True	supporting
Dechloromonas	-0.41476105784175465	-0.6044867669365289	-0.22316230317713778	2000	True	supporting
Chelatococcus	0.19673050317463245	-0.06994142790434496	0.4355967494363672	2000	False	supporting
Bordetella	-0.06426067719379144	-0.28677158821407384	0.1700720509896211	2000	False	supporting
Kocuria	0.036576584936539404	-0.34634628216637664	0.46657407294631253	2000	False	supporting
Bosea	0.366540061094009	0.02129494917315364	0.7118788591568924	2000	True	supporting
Phenylobacterium	-0.012695448815743976	-0.3543483247812003	0.31879063045172673	2000	False	supporting
Xanthomonas	0.08484123364794773	-0.2750812318666596	0.46542436130294856	2000	False	supporting
Azospira	-0.052228846095216844	-0.33378154654310244	0.2467307660952904	2000	False	supporting
Deinococcus	-0.04039858056848572	-0.3307715082274132	0.25828917990372413	2000	False	supporting
Hydrogenophaga	-0.26903952390031016	-0.4045251822501056	-0.12248051026151172	2000	True	supporting
Porphyrobacter	-0.13378921446492179	-0.2560658715062052	0.005044234037089228	2000	False	supporting
Aromatoleum	0.25513090350360607	-0.028527463368677296	0.5100731649074247	2000	False	supporting
Microbacterium	0.3228329056563576	0.02285327597618544	0.6214642013833018	2000	True	supporting
Mitsuaria	0.051534487974132626	-0.27966949136859426	0.3608749013296405	2000	False	supporting
Pandoraea	0.432841593423668	0.25597407679617956	0.599082081269864	2000	True	supporting
Rhodococcus	-0.06294518881153117	-0.3958526329689757	0.24847826014766244	2000	False	supporting
Streptococcus	0.29304448805392713	-0.012596465303154312	0.5614435500729282	2000	False	supporting
Rhizorhabdus	-0.2770978468181073	-0.44035323256637	-0.09921315092485779	2000	True	supporting
Citromicrobium	-0.010084452048482087	-0.3002237434990967	0.23271745326256504	2000	False	supporting
Massilia	0.15965489488433643	-0.10374990940457998	0.4252424384998229	2000	False	supporting
Candida	-1.124347947887254	-1.6080336844006569	-0.7018940357229365	2000	True	supporting
Ramlibacter	-0.3627736806258945	-0.5462369941924095	-0.1713347213912321	2000	True	supporting
Caulobacter	-0.11904701988270341	-0.20874185155716204	-0.03261482464452573	2000	True	supporting
Bacteroides	0.2500406407598403	-0.3137221924855122	0.8158401987661743	2000	False	supporting
Enterococcus	-0.07425175039993906	-0.35995607446712846	0.22351331166062588	2000	False	supporting
Laribacter	0.09525219040488053	-0.18868857760955388	0.35586271543107023	2000	False	supporting
Variovorax	-0.3117027875916121	-0.45971698627850355	-0.1413781041280473	2000	True	supporting
Pseudomonas	0.10975022481127274	-0.016692805324029846	0.23285003873825694	2000	False	supporting
Methylobacterium	0.20967837636695216	-0.005810117493805357	0.4519842187254416	2000	False	supporting
Elizabethkingia	0.3881074979191343	0.07997623046077398	0.7453838572727582	2000	True	supporting
Tessaracoccus	-0.10842499714786055	-0.2679560950222078	0.03992312266629317	2000	False	supporting
Agrobacterium	-0.21453134297342794	-0.4132399890793134	-0.022618734399585665	2000	True	supporting
Azospirillum	0.1005202924729718	-0.20893787943518125	0.402457219646082	2000	False	supporting
Clostridium	-0.32808222762464945	-0.822736756491266	0.14060536934514398	2000	False	supporting
Ensifer	0.415574020764945	0.10167011859852723	0.712839219149639	2000	True	supporting
Roseomonas	-0.0646136541992488	-0.3625363668197337	0.26612588544829235	2000	False	supporting
Croceicoccus	0.0355175907635806	-0.34641536461164985	0.4052122494017422	2000	False	supporting
Rhodobacter	0.2307203622708933	-0.1716659285701429	0.6218562703817236	2000	False	supporting
Micrococcus	-0.05615829383887012	-0.5824066849867392	0.4692189038266356	2000	False	supporting
Bradyrhizobium	0.14211600486412665	-0.10142156163875297	0.36747086555246056	2000	False	supporting
Aquabacterium	-0.18825613975279	-0.36969337749989045	0.03193585165810845	2000	False	supporting
Prevotella	0.05402560190585945	-0.41828439158005354	0.49167144294583437	2000	False	supporting
