genus	analysis_role	model	formula	n	coefficient	robust_se_HC3	ci_lower	ci_upper	t_statistic_HC3	p_value	r_squared	adjusted_r_squared	partial_r_squared	cohens_f2	residual_shapiro_p	residual_breusch_pagan_p	max_abs_studentized_residual	max_cooks_distance	max_leverage	residual_sum_squares	total_sum_squares	multiple_testing_family	coefficient_interpretation	bh_q_value	rank_by_p	contamination_risk_category
Lysobacter	primary	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	-0.061540723180312853	0.23678692575040322	-0.5351850950402968	0.41210364867967103	-0.25989916033279153	0.7958313389065554	0.0011379938993104632	-0.01550970620236769	0.0011379938993104632	0.0011392904048407148	0.014488483018949947	0.6855331227949387	2.1550432471850827	0.14365066234547777	0.09080065219490129	202.7778836733015	203.00890657048438	122_genus_tests_Moffitt50	relative_compositional_CLR_association_not_absolute_load	0.9320413253335609	104	LOW_CURRENT_CONCERN
Brevundimonas	primary	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	-0.2795158450874988	0.0665617545481776	-0.4126591777396662	-0.14637251243533142	-4.1993461107637176	9.005586460217569e-05	0.239452163263843	0.22677636598490714	0.239452163263843	0.314841686081755	0.8549249263813868	0.9116198889057192	2.5474841639545667	0.23032962798154344	0.09080065219490129	15.137371503328014	19.903247070281722	122_genus_tests_Moffitt50	relative_compositional_CLR_association_not_absolute_load	0.0013733519351831792	8	HIGH_RISK_POTENTIAL_CONTAMINANT
Paraburkholderia	primary	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	-0.21209220275910473	0.16248846282177717	-0.5371175210439507	0.1129331155257412	-1.3052754581827426	0.19678248488279365	0.01883281069321807	0.00248002420477178	0.01883281069321807	0.01919429318312601	6.960624574712504e-08	0.5338685612710519	4.847831871236294	0.23343826851850874	0.09080065219490129	142.9575564239076	145.70152567465135	122_genus_tests_Moffitt50	relative_compositional_CLR_association_not_absolute_load	0.3479342486333453	69	MODERATE_RISK_ENVIRONMENTAL
Aerococcus	primary	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	0.18542876191963303	0.1458330563322099	-0.10628078303936928	0.47713830687863534	1.2715139254657293	0.2084527603983912	0.03209980422645209	0.015968134296893033	0.03209980422645209	0.033164374143759584	0.009053932383939195	0.20007127368238095	3.007374318897624	0.17980524384695842	0.09080065219490129	63.242965523128774	65.3403788936987	122_genus_tests_Moffitt50	relative_compositional_CLR_association_not_absolute_load	0.3633033824086247	70	LOW_CURRENT_CONCERN
Acidovorax	primary	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	-0.1910142018604444	0.08169491896076882	-0.35442837032730173	-0.027600033393587076	-2.3381405390973264	0.022731502078093012	0.09643451959070404	0.08137509491721584	0.09643451959070404	0.10672665311098566	0.04010932959076922	0.021048832083209335	2.246372413435754	0.14524195190224903	0.09080065219490129	20.853946780668323	23.079618724723662	122_genus_tests_Moffitt50	relative_compositional_CLR_association_not_absolute_load	0.07495252036560399	37	LOW_CURRENT_CONCERN
Cupriavidus	primary	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	-0.2961220427819774	0.07488163592369748	-0.44590761602901424	-0.14633646953494056	-3.9545349020381764	0.0002050709860746752	0.14714960221580387	0.1329354289194007	0.14714960221580387	0.17253858660102114	3.0637247506915564e-08	0.5838334617364487	7.548856954802625	0.2900612584113936	0.09080065219490129	31.00166880277415	36.35065292027778	122_genus_tests_Moffitt50	relative_compositional_CLR_association_not_absolute_load	0.0022744236637373067	11	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE
Staphylococcus	primary	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	-0.4506854397751492	0.16345444574097898	-0.7776430115893775	-0.12372786796092089	-2.757254094448651	0.007711950721089734	0.08803370191315385	0.07283426361170642	0.08803370191315385	0.09653174914230267	0.030497751055053698	0.11364499731552556	2.322696694199294	0.1075104635377085	0.09080065219490129	128.3532041347296	140.7433634378741	122_genus_tests_Moffitt50	relative_compositional_CLR_association_not_absolute_load	0.03484659214714621	27	LOW_CURRENT_CONCERN
Luteimonas	primary	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	0.07857230425364707	0.1610767077153646	-0.24362908336662426	0.4007736918739184	0.4877943271133317	0.6274732908918886	0.0054197688397785715	-0.011156568346225137	0.0054197688397785715	0.005449302801299573	9.794218494003802e-06	0.0050681698004415325	3.971230949269558	0.3456259200537133	0.09080065219490129	69.1079282013101	69.48451822804951	122_genus_tests_Moffitt50	relative_compositional_CLR_association_not_absolute_load	0.8320841466175045	92	LOW_CURRENT_CONCERN
Rhodopseudomonas	primary	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	0.4084976923795205	0.1995535982093805	0.009331064506187925	0.8076643202528531	2.047057512593216	0.0450393732799802	0.06535693565079881	0.04977955124497879	0.06535693565079881	0.0699271605854234	0.0035486629882407876	0.16905909758093618	2.1509015808540948	0.16900655065229972	0.09080065219490129	145.5670752283466	155.7461674737896	122_genus_tests_Moffitt50	relative_compositional_CLR_association_not_absolute_load	0.1281303096192078	42	LOW_CURRENT_CONCERN
Rhodoferax	primary	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	0.019258221935880847	0.12465299832414267	-0.23008489911944896	0.26860134299121063	0.15449465471983703	0.8777382438231998	0.0002610878342848011	-0.016401227368477045	0.0002610878342848011	0.0002611560189441977	0.0003872298648205385	0.01183607906612397	2.981138540344202	0.06495108863458883	0.09080065219490129	86.62877436828639	86.65139799412643	122_genus_tests_Moffitt50	relative_compositional_CLR_association_not_absolute_load	0.9393339100564068	114	LOW_CURRENT_CONCERN
