genus	analysis_role	normalization	transform	status	coefficient	p_value	q_value	notes
Lysobacter	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Brevundimonas	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Paraburkholderia	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Aerococcus	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Acidovorax	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Cupriavidus	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Staphylococcus	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Luteimonas	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Rhodopseudomonas	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Rhodoferax	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Blastomonas	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Aeromonas	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Achromobacter	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Azoarcus	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Enterobacter	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Methyloversatilis	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Mycobacterium	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Rubrivivax	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Mesorhizobium	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Nocardioides	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Comamonas	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Dechloromonas	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Chelatococcus	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Bordetella	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Kocuria	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Bosea	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Phenylobacterium	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Xanthomonas	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Azospira	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
