genus	observed_coefficient	empirical_p_value	permutations	random_seed	inference	analysis_role	bh_q_value
Lysobacter	-0.061540723180312874	0.7937	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.9222038095238095
Brevundimonas	-0.27951584508749916	0.0002	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.0024400000000000003
Paraburkholderia	-0.21209220275910468	0.2935	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.4710467532467532
Aerococcus	0.1854287619196331	0.164	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.3202984126984127
Acidovorax	-0.19101420186044457	0.0139	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.056933333333333336
Cupriavidus	-0.29612204278197735	0.0015	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.0114375
Staphylococcus	-0.4506854397751493	0.0203	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.07739375
Luteimonas	0.07857230425364715	0.574	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.7695384615384614
Rhodopseudomonas	0.4084976923795206	0.043	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.12199999999999998
Rhodoferax	0.019258221935880854	0.8984	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.9573411764705883
Blastomonas	-0.11673149600708065	0.0249	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.08970588235294119
Aeromonas	0.35791064317835064	0.0296	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.0915
Achromobacter	-0.2408796078158174	0.0606	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.16337391304347829
Azoarcus	-0.20065262485722146	0.005	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.025416666666666667
Enterobacter	0.254754218880143	0.2616	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.4371945205479452
Methyloversatilis	-0.07576835339823675	0.1654	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.3202984126984127
Mycobacterium	-0.1576689063579243	0.3883	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.5921575
Rubrivivax	0.4345985498744984	0.0035	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.01940909090909091
Mesorhizobium	0.3312056596226197	0.0367	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.10660476190476191
Nocardioides	0.6261896432712263	0.0008	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.008133333333333334
Comamonas	-0.1737807116239764	0.0043	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.022808695652173916
Dechloromonas	-0.4147610578417549	0.0002	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.0024400000000000003
Chelatococcus	0.19673050317463261	0.0831	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.19878823529411763
Bordetella	-0.06426067719379144	0.6658	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.8550273684210525
Kocuria	0.03657658493653942	0.8653	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.9383203539823008
Bosea	0.366540061094009	0.0293	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.0915
Phenylobacterium	-0.012695448815743872	0.9333	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.9573411764705883
Xanthomonas	0.08484123364794771	0.6782	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.8555092783505155
Azospira	-0.05222884609521686	0.7464	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.9015920792079207
Deinococcus	-0.04039858056848547	0.7795	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.9222038095238095
Hydrogenophaga	-0.2690395239003101	0.0026	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.016470000000000002
Porphyrobacter	-0.13378921446492173	0.1392	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.2928
Aromatoleum	0.25513090350360623	0.1391	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.2928
Microbacterium	0.3228329056563578	0.0722	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.18350833333333333
Mitsuaria	0.05153448797413296	0.7185	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.87657
Pandoraea	0.43284159342366824	0.0001	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.0024400000000000003
Rhodococcus	-0.06294518881153104	0.7063	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.87657
Streptococcus	0.29304448805392735	0.1604	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.3202984126984127
Rhizorhabdus	-0.2770978468181076	0.0201	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.07739375
Citromicrobium	-0.01008445204848193	0.9338	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.9573411764705883
Massilia	0.1596548948843364	0.2973	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.4710467532467532
Candida	-1.1243479478872545	0.0001	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.0024400000000000003
Ramlibacter	-0.3627736806258948	0.0002	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.0024400000000000003
Caulobacter	-0.11904701988270344	0.0263	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.0915
Bacteroides	0.2500406407598402	0.3776	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.5831291139240505
Enterococcus	-0.0742517503999388	0.6605	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.8550273684210525
Laribacter	0.09525219040488085	0.4409	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.6480698795180724
Variovorax	-0.3117027875916119	0.0003	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.003327272727272727
Pseudomonas	0.10975022481127247	0.0826	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.19878823529411763
Methylobacterium	0.20967837636695213	0.1917	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.3543545454545454
Elizabethkingia	0.3881074979191341	0.0902	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.20694814814814816
Tessaracoccus	-0.10842499714786043	0.1645	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.3202984126984127
Agrobacterium	-0.21453134297342805	0.0324	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.09640975609756097
Azospirillum	0.10052029247297187	0.5463	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.7620933333333333
Clostridium	-0.3280822276246494	0.2038	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.3656411764705883
Ensifer	0.4155740207649451	0.0117	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.052866666666666666
Roseomonas	-0.06461365419924875	0.6367	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.8352408602150538
Croceicoccus	0.0355175907635806	0.8445	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.9366272727272728
Rhodobacter	0.23072036227089354	0.2526	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.4337777777777778
Micrococcus	-0.05615829383887009	0.8189	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.9336990654205607
