genus	spearman_rho	p_value	bootstrap_ci_lower	bootstrap_ci_upper	bootstrap_iterations	direction	analysis_role	bh_q_value
Lysobacter	-0.01427815970386039	0.9122952324072504	-0.2668609297079541	0.22384846064970265	2000	negative	supporting	0.9352942718797022
Brevundimonas	-0.4989297675706983	3.6671199563914386e-05	-0.6786433921586964	-0.2596427796988207	2000	negative	supporting	0.0006391266209710793
Paraburkholderia	-0.23925360731283524	0.06108960832071253	-0.48028744326777617	0.005193054085387087	2000	negative	supporting	0.1656207158917095
Aerococcus	0.11324318198987686	0.3808371245204052	-0.16749788170042348	0.36514420915336104	2000	positive	supporting	0.5613657560768246
Acidovorax	-0.2506358439727028	0.04943382133741409	-0.502945072153347	0.036479654841508426	2000	negative	supporting	0.14025409774801206
Cupriavidus	-0.5311122862682884	8.949794432049379e-06	-0.7308406225564268	-0.29640282113538036	2000	negative	supporting	0.0002761806125895752
Staphylococcus	-0.35176651305683565	0.0050526923226835285	-0.5477078158885198	-0.12027842036799011	2000	negative	supporting	0.024574390105749865
Luteimonas	-0.0629800307219662	0.6267570825209938	-0.32509005267651014	0.21150220631176556	2000	negative	supporting	0.7723673138137499
Rhodopseudomonas	0.20707108861524512	0.10634242705649583	-0.05296987370112504	0.45531806505340167	2000	positive	supporting	0.24025511297949056
Rhodoferax	-0.12472614640779633	0.33410094507078214	-0.36753477043206145	0.13514027514397092	2000	negative	supporting	0.5306652472049596
Blastomonas	-0.38974087784241146	0.0017409880607007653	-0.5933283986295083	-0.15155341038432762	2000	negative	supporting	0.01062002717027467
Aeromonas	0.28790511445191513	0.023261649420299152	0.02542513665667953	0.5099239528760383	2000	positive	supporting	0.08108346369361419
Achromobacter	-0.3172168920450253	0.011998581267064245	-0.5542358957974273	-0.0650527241335093	2000	negative	supporting	0.04435839135096478
Azoarcus	-0.27355140892951574	0.03145023166010014	-0.49330702409153143	-0.014226934476497548	2000	negative	supporting	0.1037007638522221
Enterobacter	0.04701468107073607	0.7167087859570738	-0.2305091397237603	0.30464254034258537	2000	positive	supporting	0.8096154804329908
Methyloversatilis	-0.18969555035128807	0.13975295155118792	-0.43339731715069885	0.07464210302666072	2000	negative	supporting	0.27605292018041355
Mycobacterium	-0.2138702122837501	0.09509394605748253	-0.47020841540541036	0.04522393188333457	2000	negative	supporting	0.22310502728870904
Rubrivivax	0.27435723099393117	0.03093397671945542	0.05238835359424652	0.4849219939592946	2000	positive	supporting	0.1037007638522221
Mesorhizobium	0.20898491601823174	0.10307705148103478	-0.060305861375618094	0.43783521840936107	2000	positive	supporting	0.23727170340917442
Nocardioides	0.34320465362242203	0.006316474776096073	0.09572313377889352	0.5576241372626214	2000	positive	supporting	0.02854110824754522
Comamonas	-0.4331545415627912	0.00043727623558995277	-0.6314591735267654	-0.2097516028523641	2000	negative	supporting	0.0031381000436455438
