genus	analysis_role	model	formula	n	coefficient	robust_se_HC3	ci_lower	ci_upper	t_statistic_HC3	p_value	r_squared	adjusted_r_squared	partial_r_squared	cohens_f2	residual_shapiro_p	residual_breusch_pagan_p	max_abs_studentized_residual	max_cooks_distance	max_leverage	residual_sum_squares	total_sum_squares	multiple_testing_family	coefficient_interpretation	bh_q_value	rank_by_p	host_outcome	contamination_risk_category
Lysobacter	secondary_or_sensitivity	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	0.33586247024925187	0.22831162522029255	-0.12082877641943529	0.7925537169179391	1.4710703842837	0.14649753539598856	0.0338951608108321	0.01779341349101271	0.0338951608108321	0.035084350513428356	0.14940724653543622	0.15443924198190837	2.502448117087328	0.1306617461189527	0.0962465394761378	196.12788703624668	203.00890657048438	122_genus_tests_coactivation_score	relative_compositional_CLR_association_not_absolute_load	0.9794057682634961	9	coactivation_score	LOW_CURRENT_CONCERN
Brevundimonas	secondary_or_sensitivity	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	0.021265635352831568	0.07352286333921562	-0.1258019880528535	0.16833325875851665	0.2892383999616199	0.7733960233304068	0.0013859980719286291	-0.015257568626872553	0.0013859980719286291	0.0013879217287686904	0.12255944384587428	0.7503626686882092	2.0153703426249	0.139569897212873	0.0962465394761378	19.87566120821719	19.903247070281722	122_genus_tests_coactivation_score	relative_compositional_CLR_association_not_absolute_load	0.9794057682634961	92	coactivation_score	HIGH_RISK_POTENTIAL_CONTAMINANT
Paraburkholderia	secondary_or_sensitivity	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	0.0010540897491011522	0.16818055900259093	-0.3353571161289222	0.3374652956271245	0.006267607595982085	0.9950199982847396	4.651798725108236e-07	-0.016666193733796186	4.651798725108236e-07	4.6518008890323807e-07	2.3938167934242696e-07	0.6276143543707327	4.598522603234244	0.20452547250515196	0.0962465394761378	145.70145789723418	145.70152567465135	122_genus_tests_coactivation_score	relative_compositional_CLR_association_not_absolute_load	0.9993638783752645	120	coactivation_score	MODERATE_RISK_ENVIRONMENTAL
Aerococcus	secondary_or_sensitivity	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	-0.10457113308766108	0.11911285176027396	-0.3428323110376445	0.13369004486232233	-0.8779164594104465	0.3834910889033354	0.010208732267602438	-0.006287788861270904	0.010208732267602438	0.010314025391424748	0.002342518732228571	0.24420405635512843	2.566729085618473	0.10204835954604727	0.0962465394761378	64.67333645930923	65.3403788936987	122_genus_tests_coactivation_score	relative_compositional_CLR_association_not_absolute_load	0.9794057682634961	41	coactivation_score	LOW_CURRENT_CONCERN
Acidovorax	secondary_or_sensitivity	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	0.07311810710093478	0.07413674519440626	-0.07517746284266222	0.22141367704453177	0.9862600105952811	0.32796613365117977	0.014130290306663462	-0.0023008715215586673	0.014130290306663462	0.014332817174247918	0.00657589197183988	0.4784560454084701	2.7813242705049346	0.09916900361135453	0.0962465394761378	22.753497011976208	23.079618724723662	122_genus_tests_coactivation_score	relative_compositional_CLR_association_not_absolute_load	0.9794057682634961	33	coactivation_score	LOW_CURRENT_CONCERN
Cupriavidus	secondary_or_sensitivity	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	-0.08966720107371423	0.11566415145754061	-0.3210299513193602	0.14169554917193175	-0.7752376163554042	0.44124401434071137	0.013492264497357298	-0.0029495310943532527	0.013492264497357298	0.01367679543889512	8.275587746892964e-06	0.2030730304528583	6.037707134513586	0.4988803410057617	0.0962465394761378	35.86020029642577	36.35065292027778	122_genus_tests_coactivation_score	relative_compositional_CLR_association_not_absolute_load	0.9794057682634961	50	coactivation_score	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE
Staphylococcus	secondary_or_sensitivity	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	0.12205523838009948	0.21157312832133773	-0.30115402939781594	0.5452645061580149	0.5768938586318094	0.5661694121699294	0.0064567616687557505	-0.010102292303431515	0.0064567616687557505	0.006498722370251878	0.07851286621463675	0.7827828985273291	2.2549144309972013	0.1407380792794722	0.0962465394761378	139.83461708369668	140.7433634378741	122_genus_tests_coactivation_score	relative_compositional_CLR_association_not_absolute_load	0.9794057682634961	62	coactivation_score	LOW_CURRENT_CONCERN
Luteimonas	secondary_or_sensitivity	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	-0.0842630701988771	0.14307469305709847	-0.3704550671063499	0.20192892670859572	-0.5889446162589304	0.558109328150376	0.006233275785813008	-0.010329502951090141	0.006233275785813008	0.0062723732179118	4.0218501843328595e-06	0.09111958876777969	3.907766277185544	0.27997569050148124	0.0962465394761378	69.05140206308972	69.48451822804951	122_genus_tests_coactivation_score	relative_compositional_CLR_association_not_absolute_load	0.9794057682634961	60	coactivation_score	LOW_CURRENT_CONCERN
Rhodopseudomonas	secondary_or_sensitivity	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	-0.09114293043231429	0.21664259551240456	-0.5244926423912935	0.34220678152666484	-0.42070641840651146	0.6754725585594664	0.003253557169684229	-0.013358883544154265	0.003253557169684229	0.0032641773573282855	3.648511024348666e-05	0.17371703693800405	1.7781818462984373	0.15183983004237483	0.0962465394761378	155.23943841395445	155.7461674737896	122_genus_tests_coactivation_score	relative_compositional_CLR_association_not_absolute_load	0.9794057682634961	78	coactivation_score	LOW_CURRENT_CONCERN
Rhodoferax	secondary_or_sensitivity	Model_0	CLR_genus ~ standardized_Moffitt50_contrast	62	0.20472644454048458	0.17511414766043326	-0.1455540036285636	0.5550068927095327	1.1691028239332952	0.24698596759600994	0.02950544367349639	0.013330534401388094	0.02950544367349639	0.030402482405650785	0.0006719256041746772	0.5810231016623972	2.8024954332815186	0.15997159284141266	0.0962465394761378	84.09471005138097	86.65139799412643	122_genus_tests_coactivation_score	relative_compositional_CLR_association_not_absolute_load	0.9794057682634961	22	coactivation_score	LOW_CURRENT_CONCERN
