genus	primary_coefficient	q_value	bootstrap_support	Spearman_direction	sensitivity_direction_fraction	purity_adjusted_direction	immune_adjusted_direction	stromal_adjusted_direction	contamination_category	maximum_cooks_distance_concern	leave_one_sample_out_sign_stability	final_Phase_7A_evidence_category	reviewer_assessment	reviewer_notes
Sphingobium	-0.4028104653169503	6.979201616491209e-05	[-0.5315, -0.2662]	negative	0.8888888888888888	negative	negative	negative	LOW_CURRENT_CONCERN	YES	Stable	CONTAMINATION_SENSITIVE	ACCEPT	Verified contamination-sensitive: LOW_CURRENT_CONCERN. Correlation with total sum proxy: rho=-0.66
Erythrobacter	-0.2548507983343431	0.0001214526752951	[-0.3385, -0.1595]	negative	0.8888888888888888	negative	negative	negative	LOW_CURRENT_CONCERN	YES	Stable	CONTAMINATION_SENSITIVE	ACCEPT	Verified contamination-sensitive: LOW_CURRENT_CONCERN. Correlation with total sum proxy: rho=-0.65
Novosphingobium	-0.2578184043828158	0.0002775798995691	[-0.3561, -0.1544]	negative	0.875	negative	negative	negative	MODERATE_RISK_ENVIRONMENTAL	YES	Stable	CONTAMINATION_SENSITIVE	ACCEPT	Verified contamination-sensitive: MODERATE_RISK_ENVIRONMENTAL. Correlation with total sum proxy: rho=-0.69
Pandoraea	0.4328415934236682	0.0002775798995691	[0.2560, 0.5991]	positive	0.8888888888888888	positive	positive	positive	LOW_CURRENT_CONCERN	YES	Stable	CONTAMINATION_SENSITIVE	ACCEPT	Verified contamination-sensitive: LOW_CURRENT_CONCERN. Correlation with total sum proxy: rho=0.66
Candida	-1.124347947887254	0.0005111663925235	[-1.6080, -0.7019]	negative	0.8888888888888888	negative	negative	negative	LOW_CURRENT_CONCERN	YES	Stable	ROBUST_ASSOCIATION	ACCEPT	Verified robust per locked rules (same fraction=0.889), but shows sign reversal in robust CLR.
Roseolovirus	-0.9369978304560188	0.0008277687598308	[-1.3599, -0.5297]	negative	0.875	negative	negative	negative	LOW_CURRENT_CONCERN	YES	Stable	CONTAMINATION_SENSITIVE	ACCEPT	Verified contamination-sensitive: LOW_CURRENT_CONCERN. Correlation with total sum proxy: rho=-0.64
Streptomyces	0.4421182288158615	0.0010075155038759	[0.2453, 0.6308]	positive	0.8888888888888888	positive	positive	positive	LOW_CURRENT_CONCERN	YES	Stable	METHOD_SENSITIVE	ACCEPT	Verified method-sensitive: sign reversal in robust CLR (coefficient: -0.3855).
Brevundimonas	-0.2795158450874988	0.0013733519351831	[-0.3986, -0.1497]	negative	0.8571428571428571	negative	negative	negative	HIGH_RISK_POTENTIAL_CONTAMINANT	YES	Stable	CONTAMINATION_SENSITIVE	ACCEPT	Verified contamination-sensitive: HIGH_RISK_POTENTIAL_CONTAMINANT. Correlation with total sum proxy: rho=-0.53
Dechloromonas	-0.4147610578417547	0.0018987726852585	[-0.6045, -0.2232]	negative	0.875	negative	negative	negative	MODERATE_RISK_ENVIRONMENTAL	YES	Stable	CONTAMINATION_SENSITIVE	ACCEPT	Verified contamination-sensitive: MODERATE_RISK_ENVIRONMENTAL. Correlation with total sum proxy: rho=-0.66
Nocardioides	0.6261896432712264	0.0018987726852585	[0.3129, 0.9051]	positive	1.0	positive	positive	positive	LOW_CURRENT_CONCERN	YES	Stable	CONTAMINATION_SENSITIVE	ACCEPT	Verified contamination-sensitive: LOW_CURRENT_CONCERN. Correlation with total sum proxy: rho=0.63
