host_feature_collection	host_feature	Azoarcus	Burkholderia	Candida	Chryseobacterium	Cutibacterium	Ensifer	Herbaspirillum	Ochrobactrum	Rhizobium
DoRothEA_VIPER	ARID3A	NA	NA	NA	NA	NA	NA	negative	positive	NA
DoRothEA_VIPER	ARNT	negative	NA	negative	NA	negative	NA	NA	positive	negative
DoRothEA_VIPER	ASCL1	NA	NA	NA	NA	positive	NA	NA	NA	NA
DoRothEA_VIPER	ATF1	NA	positive	NA	NA	NA	NA	NA	NA	NA
DoRothEA_VIPER	ATF2	positive	positive	NA	NA	NA	NA	negative	NA	NA
DoRothEA_VIPER	ATF3	NA	NA	NA	NA	positive	NA	NA	negative	NA
DoRothEA_VIPER	ATF4	NA	NA	negative	NA	negative	NA	NA	positive	NA
DoRothEA_VIPER	BACH1	negative	NA	negative	positive	negative	positive	NA	positive	NA
DoRothEA_VIPER	BACH2	positive	positive	NA	NA	NA	NA	negative	NA	positive
DoRothEA_VIPER	BATF	positive	positive	positive	NA	positive	NA	negative	NA	positive
DoRothEA_VIPER	BCL11A	positive	positive	NA	NA	NA	NA	negative	NA	NA
DoRothEA_VIPER	BCL6	NA	NA	NA	NA	NA	NA	positive	NA	NA
DoRothEA_VIPER	BHLHE22	negative	NA	NA	NA	NA	NA	NA	NA	NA
DoRothEA_VIPER	BHLHE40	positive	NA	positive	NA	positive	NA	NA	negative	NA
DoRothEA_VIPER	CEBPA	NA	positive	NA	NA	NA	NA	NA	NA	positive
DoRothEA_VIPER	CEBPB	NA	positive	NA	NA	NA	NA	NA	NA	NA
DoRothEA_VIPER	CEBPG	NA	positive	NA	NA	positive	negative	NA	negative	NA
DoRothEA_VIPER	CLOCK	NA	positive	NA	NA	NA	negative	NA	NA	NA
DoRothEA_VIPER	CREB3	NA	negative	NA	NA	NA	NA	NA	NA	NA
DoRothEA_VIPER	CREB3L1	negative	NA	negative	NA	negative	NA	NA	positive	NA
DoRothEA_VIPER	CTCF	NA	positive	NA	NA	NA	NA	NA	NA	NA
DoRothEA_VIPER	CTCFL	negative	NA	negative	NA	negative	NA	NA	positive	negative
DoRothEA_VIPER	CUX1	NA	positive	NA	negative	NA	NA	NA	NA	NA
DoRothEA_VIPER	DUX4	positive	positive	positive	NA	positive	negative	NA	negative	positive
DoRothEA_VIPER	E2F1	positive	positive	positive	NA	NA	negative	NA	NA	NA
DoRothEA_VIPER	E2F4	NA	NA	NA	NA	NA	positive	NA	NA	NA
DoRothEA_VIPER	E2F6	positive	NA	positive	NA	positive	NA	NA	negative	NA
DoRothEA_VIPER	E2F7	NA	negative	negative	NA	negative	NA	NA	NA	NA
DoRothEA_VIPER	EBF1	NA	NA	NA	NA	NA	NA	negative	NA	NA
DoRothEA_VIPER	EHF	negative	negative	NA	NA	NA	NA	NA	positive	NA
DoRothEA_VIPER	ELF1	NA	NA	negative	NA	NA	NA	NA	positive	NA
DoRothEA_VIPER	ELK1	NA	NA	NA	NA	NA	NA	negative	NA	NA
DoRothEA_VIPER	EOMES	positive	positive	positive	NA	positive	negative	NA	negative	positive
DoRothEA_VIPER	ETS1	positive	positive	NA	NA	NA	NA	negative	NA	positive
DoRothEA_VIPER	ETS2	NA	positive	NA	NA	NA	NA	NA	NA	NA
DoRothEA_VIPER	ETV1	positive	positive	positive	NA	positive	negative	NA	NA	positive
DoRothEA_VIPER	ETV4	positive	NA	NA	NA	NA	NA	NA	NA	NA
DoRothEA_VIPER	FOS	NA	NA	negative	NA	NA	NA	NA	NA	NA
DoRothEA_VIPER	FOXJ2	positive	positive	positive	NA	NA	negative	NA	negative	NA
DoRothEA_VIPER	FOXK2	negative	negative	negative	NA	negative	positive	NA	positive	negative
DoRothEA_VIPER	FOXL2	NA	NA	NA	NA	negative	NA	NA	NA	NA
DoRothEA_VIPER	FOXM1	positive	positive	positive	NA	positive	NA	NA	negative	positive
DoRothEA_VIPER	FOXO1	positive	positive	positive	NA	positive	NA	NA	NA	positive
DoRothEA_VIPER	FOXO3	NA	NA	NA	NA	NA	NA	negative	NA	NA
DoRothEA_VIPER	GABPA	NA	NA	NA	NA	NA	NA	NA	negative	NA
DoRothEA_VIPER	GATA3	positive	positive	positive	NA	positive	negative	NA	negative	positive
DoRothEA_VIPER	GATA6	NA	NA	NA	NA	positive	negative	NA	negative	NA
DoRothEA_VIPER	GFI1B	negative	NA	negative	NA	negative	NA	NA	positive	negative
DoRothEA_VIPER	GLI2	NA	NA	NA	NA	negative	NA	NA	positive	NA
DoRothEA_VIPER	GRHL2	negative	negative	negative	NA	negative	NA	NA	positive	negative
DoRothEA_VIPER	HBP1	negative	NA	negative	NA	negative	NA	NA	positive	negative
DoRothEA_VIPER	HNF1B	NA	NA	NA	negative	positive	negative	NA	negative	positive
DoRothEA_VIPER	HNF4A	NA	positive	NA	NA	NA	negative	NA	negative	NA
DoRothEA_VIPER	HNF4G	NA	positive	NA	NA	NA	negative	NA	NA	NA
DoRothEA_VIPER	HOXA9	NA	NA	NA	NA	NA	negative	NA	negative	NA
DoRothEA_VIPER	HOXB13	positive	positive	NA	NA	positive	negative	NA	negative	NA
DoRothEA_VIPER	IKZF1	positive	positive	positive	NA	positive	NA	negative	negative	NA
DoRothEA_VIPER	IRF1	positive	positive	NA	NA	positive	NA	NA	NA	NA
DoRothEA_VIPER	IRF2	positive	positive	NA	NA	positive	NA	NA	NA	NA
DoRothEA_VIPER	IRF3	negative	NA	negative	NA	negative	positive	NA	positive	negative
DoRothEA_VIPER	IRF4	positive	positive	positive	NA	positive	NA	NA	NA	NA
DoRothEA_VIPER	JUNB	NA	NA	negative	NA	negative	NA	NA	positive	negative
DoRothEA_VIPER	JUND	NA	NA	negative	NA	NA	positive	NA	NA	NA
DoRothEA_VIPER	KDM5B	negative	negative	negative	NA	negative	NA	NA	positive	negative
DoRothEA_VIPER	KLF1	negative	NA	negative	NA	negative	NA	NA	positive	negative
DoRothEA_VIPER	KLF13	positive	NA	positive	NA	positive	negative	NA	negative	positive
DoRothEA_VIPER	KLF5	negative	negative	negative	NA	NA	NA	NA	positive	negative
DoRothEA_VIPER	KLF6	NA	NA	NA	NA	negative	NA	NA	positive	NA
DoRothEA_VIPER	KLF9	NA	NA	negative	NA	negative	NA	NA	positive	NA
DoRothEA_VIPER	LEF1	NA	NA	NA	negative	NA	NA	NA	NA	NA
DoRothEA_VIPER	LYL1	positive	positive	positive	NA	NA	NA	negative	NA	NA
DoRothEA_VIPER	MAF	NA	NA	NA	NA	NA	NA	negative	NA	NA
DoRothEA_VIPER	MAFB	positive	positive	NA	NA	NA	negative	NA	NA	NA
DoRothEA_VIPER	MAFF	NA	NA	positive	NA	positive	negative	NA	negative	NA
DoRothEA_VIPER	MAX	NA	positive	NA	NA	NA	NA	NA	NA	NA
DoRothEA_VIPER	MAZ	NA	NA	NA	NA	NA	NA	negative	positive	NA
