taxon	model	n_genes	min_p_value	n_q_lt_0_05	top_gene	top_effect_size
Azoarcus	primary_CLR	42654	7.25922550931936e-08	3373	RNA5SP429	-0.682229024689045
Azoarcus	purity_adjusted	42654	3.11809920692209e-06	0	LSM3P2	-0.822803287931883
Azoarcus	immune_adjusted	42654	1.42777727803411e-07	1	LSM3P2	-0.868769658674566
Azoarcus	stromal_adjusted	42654	2.85567967649696e-05	0	RNA5SP429	-0.55219765056185
Azoarcus	rCLR	42654	9.79115377122852e-07	105	SKP1P1	0.328730116703456
Azoarcus	exclude_extreme_samples	42654	7.36697933537179e-08	3275	RNA5SP429	-0.712365124195125
Candida	primary_CLR	42654	7.93859484889893e-09	2631	CHCHD2P11	-0.872914031314978
Candida	purity_adjusted	42654	4.32042373162764e-08	78	CHCHD2P11	-0.705452995466021
Candida	immune_adjusted	42654	1.15267441023056e-07	47	CHCHD2P11	-0.706091376836409
Candida	stromal_adjusted	42654	1.96374178963386e-08	500	CHCHD2P11	-0.757991073190887
Candida	rCLR	42654	3.72758573100463e-05	0	AC112230.1	-0.461874676916423
Candida	exclude_extreme_samples	42654	7.871675312147e-09	2298	CHCHD2P11	-0.902049550719396
Ensifer	primary_CLR	42654	3.10220727240583e-08	81	LINC00396	0.698749292827323
Ensifer	purity_adjusted	42654	1.07912387565076e-07	8	LINC00396	0.653708655058001
Ensifer	immune_adjusted	42654	5.71198666002587e-08	113	LINC00396	0.674256138378745
Ensifer	stromal_adjusted	42654	2.15323045693383e-07	1	LINC00396	0.643845018092675
Ensifer	rCLR	42654	1.21000594658527e-06	0	RPL21P135	0.52108917101474
Ensifer	exclude_extreme_samples	42654	2.93962394640862e-08	36	LINC00396	0.723676114048895
Cutibacterium	primary_CLR	42654	1.14009842122179e-08	3682	RF01956	-0.533976378264634
Cutibacterium	purity_adjusted	42654	1.84344773993747e-07	254	RF01956	-0.416838276266761
Cutibacterium	immune_adjusted	42654	2.38685869831293e-07	634	RF01956	-0.442119318224828
Cutibacterium	stromal_adjusted	42654	1.8198402339832e-07	261	RF01956	-0.423524223540571
Cutibacterium	rCLR	42654	7.22249070785158e-06	0	MIR3907	0.637924106133264
Cutibacterium	exclude_extreme_samples	42654	1.31919241999713e-09	7673	AC020763.4	-0.566260217100604
Chryseobacterium	primary_CLR	42654	4.0590447567529e-07	8	SPINK6	1.25835595178878
Chryseobacterium	purity_adjusted	42654	1.1021997825102e-06	2	ZNF789	0.228218731413459
Chryseobacterium	immune_adjusted	42654	5.9651464686234e-07	3	ZNF789	0.231217822384407
Chryseobacterium	stromal_adjusted	42654	2.03304236751709e-06	2	SPINK6	1.16619831877822
Chryseobacterium	rCLR	42654	3.3321027199388e-09	2816	AP002026.1	-0.629823256105507
Chryseobacterium	exclude_extreme_samples	42654	5.64854408933999e-07	154	IQCM	1.1084405162913
Ochrobactrum	primary_CLR	42654	3.03329148771657e-10	4845	RF01956	0.574003491250705
Ochrobactrum	purity_adjusted	42654	2.2589341296111e-09	1529	RF01956	0.462063568501911
Ochrobactrum	immune_adjusted	42654	3.83419960390141e-10	3037	RF01956	0.500660037154007
Ochrobactrum	stromal_adjusted	42654	2.41782340700278e-08	810	RF01956	0.455671121815009
Ochrobactrum	rCLR	42654	3.23453190545335e-10	5889	TCF25	0.303163898072289
Ochrobactrum	exclude_extreme_samples	42654	1.84786440727039e-10	5919	AC092139.3	0.640338234860213
Burkholderia	primary_CLR	42654	3.55969517469843e-07	2978	HR	-0.924587275728566
Burkholderia	purity_adjusted	42654	2.69659747349635e-05	0	HR	-0.717982841800968
Burkholderia	immune_adjusted	42654	2.06725781906835e-05	0	AL357153.1	-0.972142347361957
Burkholderia	stromal_adjusted	42654	3.76149499233128e-06	0	IGKV3-7	0.603460469523968
Burkholderia	rCLR	42654	5.55410827377717e-09	2642	PKD1P6	0.405641978868548
Burkholderia	exclude_extreme_samples	42654	3.7565700314325e-08	3862	HR	-0.980291055837288
Rhizobium	primary_CLR	42654	2.09055648002574e-07	305	UPK3B	-0.983964811853072
Rhizobium	purity_adjusted	42654	6.83373208566748e-07	12	UPK3B	-0.793515395869762
Rhizobium	immune_adjusted	42654	8.3616309620314e-07	16	UPK3B	-0.805671032430971
Rhizobium	stromal_adjusted	42654	1.15822419325799e-06	16	UPK3B	-0.836981993698461
Rhizobium	rCLR	42654	3.87112604465953e-07	5	ZNF619	-0.243626098957916
Rhizobium	exclude_extreme_samples	42654	3.53140419636528e-08	891	UPK3B	-1.06655824613485
Herbaspirillum	primary_CLR	42654	1.88996348223355e-05	0	AC010265.1	0.564922383184092
Herbaspirillum	purity_adjusted	42654	4.17665274279601e-05	0	AC092042.3	0.553261536183942
Herbaspirillum	immune_adjusted	42654	4.76401393745695e-05	0	MTND1P8	0.603205169418996
Herbaspirillum	stromal_adjusted	42654	4.51619935435602e-05	0	C2CD6	0.507047071798367
Herbaspirillum	rCLR	42654	3.46203435698666e-08	2102	ARHGAP40	-1.63825383534363
Herbaspirillum	exclude_extreme_samples	42654	2.3520769072437e-05	0	AC010265.1	0.582117340446767
