taxon	host_feature	host_feature_collection	coefficient	p_value	bh_q_value	supported_nominal	TRANSFORMATION_SENSITIVE_MECHANISM	composition_sensitive	sample_sensitive	evidence_category	criteria
Azoarcus	AHR	DoRothEA_VIPER	0.178747700159509	0.227281028190236	0.347234904179528	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.2273; primary_q=0.3472; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	AR	DoRothEA_VIPER	-0.0419721386546324	0.628487981846457	0.743372881753873	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.6285; primary_q=0.7434; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	ARID2	DoRothEA_VIPER	0.0195380785640258	0.706686459183896	0.813984403248467	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.7067; primary_q=0.814; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	ARID3A	DoRothEA_VIPER	-0.033163592859743	0.609797839039915	0.733090298299352	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.6098; primary_q=0.7331; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	ARNT	DoRothEA_VIPER	-0.303524247541476	0.00129402537409998	0.0177928488938747	TRUE	TRUE	FALSE	FALSE	TRANSFORMATION_SENSITIVE_MECHANISM	primary_p=0.001294; primary_q=0.01779; transformation_sensitive=TRUE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	ASCL1	DoRothEA_VIPER	0.0367271259918792	0.829284669791183	0.885579687300749	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.8293; primary_q=0.8856; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	ATF1	DoRothEA_VIPER	0.0728684463228476	0.121515612112085	0.22655453105643	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.1215; primary_q=0.2266; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	ATF2	DoRothEA_VIPER	0.348411052909628	0.0136949046857591	0.0568467741673018	TRUE	TRUE	TRUE	FALSE	EXPLORATORY_HOST_MECHANISM	primary_p=0.01369; primary_q=0.05685; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Azoarcus	ATF3	DoRothEA_VIPER	0.0726986984509825	0.211497604397766	0.330063908713678	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.2115; primary_q=0.3301; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	ATF4	DoRothEA_VIPER	-0.0918935516017229	0.140315151927787	0.245638793488985	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.1403; primary_q=0.2456; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	ATF7	DoRothEA_VIPER	0.0175305808507499	0.609019354473909	0.733090298299352	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.609; primary_q=0.7331; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	Androgen	PROGENy	-0.0442414712437691	0.740975720530107	0.740975720530107	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.741; primary_q=0.741; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	BACH1	DoRothEA_VIPER	-0.105206233558368	0.0343559917454644	0.100777575786696	TRUE	TRUE	TRUE	FALSE	EXPLORATORY_HOST_MECHANISM	primary_p=0.03436; primary_q=0.1008; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Azoarcus	BACH2	DoRothEA_VIPER	0.183419849314336	0.00589921550028272	0.0324456852515549	TRUE	TRUE	TRUE	FALSE	TRANSFORMATION_SENSITIVE_MECHANISM	primary_p=0.005899; primary_q=0.03245; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Azoarcus	BATF	DoRothEA_VIPER	0.40592384371466	0.0016442690676934	0.0180869597446274	TRUE	TRUE	TRUE	FALSE	TRANSFORMATION_SENSITIVE_MECHANISM	primary_p=0.001644; primary_q=0.01809; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Azoarcus	BCL11A	DoRothEA_VIPER	0.142389307073252	0.0475719895293122	0.123127502311161	TRUE	TRUE	TRUE	FALSE	EXPLORATORY_HOST_MECHANISM	primary_p=0.04757; primary_q=0.1231; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
