collection	feature	collection_version	expected_features	genes_expected	genes_observed	coverage_fraction	removed_for_inadequate_coverage	score_direction
MSigDB_Hallmark	HALLMARK_ADIPOGENESIS	2026.1.Hs	50	200	198	0.99	FALSE	NA
MSigDB_Hallmark	HALLMARK_ALLOGRAFT_REJECTION	2026.1.Hs	50	200	195	0.975	FALSE	NA
MSigDB_Hallmark	HALLMARK_ANDROGEN_RESPONSE	2026.1.Hs	50	101	99	0.98019801980198	FALSE	NA
MSigDB_Hallmark	HALLMARK_ANGIOGENESIS	2026.1.Hs	50	36	36	1	FALSE	NA
MSigDB_Hallmark	HALLMARK_APICAL_JUNCTION	2026.1.Hs	50	200	198	0.99	FALSE	NA
MSigDB_Hallmark	HALLMARK_APICAL_SURFACE	2026.1.Hs	50	44	44	1	FALSE	NA
MSigDB_Hallmark	HALLMARK_APOPTOSIS	2026.1.Hs	50	161	160	0.993788819875776	FALSE	NA
MSigDB_Hallmark	HALLMARK_BILE_ACID_METABOLISM	2026.1.Hs	50	112	111	0.991071428571429	FALSE	NA
MSigDB_Hallmark	HALLMARK_CHOLESTEROL_HOMEOSTASIS	2026.1.Hs	50	74	73	0.986486486486486	FALSE	NA
MSigDB_Hallmark	HALLMARK_COAGULATION	2026.1.Hs	50	138	135	0.978260869565217	FALSE	NA
MSigDB_Hallmark	HALLMARK_COMPLEMENT	2026.1.Hs	50	200	200	1	FALSE	NA
MSigDB_Hallmark	HALLMARK_DNA_REPAIR	2026.1.Hs	50	150	149	0.993333333333333	FALSE	NA
MSigDB_Hallmark	HALLMARK_E2F_TARGETS	2026.1.Hs	50	200	198	0.99	FALSE	NA
MSigDB_Hallmark	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2026.1.Hs	50	200	198	0.99	FALSE	NA
MSigDB_Hallmark	HALLMARK_ESTROGEN_RESPONSE_EARLY	2026.1.Hs	50	200	195	0.975	FALSE	NA
MSigDB_Hallmark	HALLMARK_ESTROGEN_RESPONSE_LATE	2026.1.Hs	50	200	194	0.97	FALSE	NA
MSigDB_Hallmark	HALLMARK_FATTY_ACID_METABOLISM	2026.1.Hs	50	158	156	0.987341772151899	FALSE	NA
MSigDB_Hallmark	HALLMARK_G2M_CHECKPOINT	2026.1.Hs	50	200	195	0.975	FALSE	NA
MSigDB_Hallmark	HALLMARK_GLYCOLYSIS	2026.1.Hs	50	200	198	0.99	FALSE	NA
MSigDB_Hallmark	HALLMARK_HEDGEHOG_SIGNALING	2026.1.Hs	50	36	36	1	FALSE	NA
MSigDB_Hallmark	HALLMARK_HEME_METABOLISM	2026.1.Hs	50	200	193	0.965	FALSE	NA
MSigDB_Hallmark	HALLMARK_HYPOXIA	2026.1.Hs	50	200	196	0.98	FALSE	NA
MSigDB_Hallmark	HALLMARK_IL2_STAT5_SIGNALING	2026.1.Hs	50	199	198	0.994974874371859	FALSE	NA
MSigDB_Hallmark	HALLMARK_IL6_JAK_STAT3_SIGNALING	2026.1.Hs	50	87	87	1	FALSE	NA
MSigDB_Hallmark	HALLMARK_INFLAMMATORY_RESPONSE	2026.1.Hs	50	200	200	1	FALSE	NA
MSigDB_Hallmark	HALLMARK_INTERFERON_ALPHA_RESPONSE	2026.1.Hs	50	97	96	0.989690721649485	FALSE	NA
MSigDB_Hallmark	HALLMARK_INTERFERON_GAMMA_RESPONSE	2026.1.Hs	50	200	196	0.98	FALSE	NA
MSigDB_Hallmark	HALLMARK_KRAS_SIGNALING_DN	2026.1.Hs	50	200	195	0.975	FALSE	NA
MSigDB_Hallmark	HALLMARK_KRAS_SIGNALING_UP	2026.1.Hs	50	200	198	0.99	FALSE	NA
MSigDB_Hallmark	HALLMARK_MITOTIC_SPINDLE	2026.1.Hs	50	199	197	0.989949748743719	FALSE	NA
MSigDB_Hallmark	HALLMARK_MTORC1_SIGNALING	2026.1.Hs	50	200	196	0.98	FALSE	NA
MSigDB_Hallmark	HALLMARK_MYC_TARGETS_V1	2026.1.Hs	50	200	195	0.975	FALSE	NA
MSigDB_Hallmark	HALLMARK_MYC_TARGETS_V2	2026.1.Hs	50	58	57	0.982758620689655	FALSE	NA
MSigDB_Hallmark	HALLMARK_MYOGENESIS	2026.1.Hs	50	200	196	0.98	FALSE	NA
MSigDB_Hallmark	HALLMARK_NOTCH_SIGNALING	2026.1.Hs	50	32	32	1	FALSE	NA
MSigDB_Hallmark	HALLMARK_OXIDATIVE_PHOSPHORYLATION	2026.1.Hs	50	200	200	1	FALSE	NA
MSigDB_Hallmark	HALLMARK_P53_PATHWAY	2026.1.Hs	50	200	196	0.98	FALSE	NA
MSigDB_Hallmark	HALLMARK_PANCREAS_BETA_CELLS	2026.1.Hs	50	40	40	1	FALSE	NA
MSigDB_Hallmark	HALLMARK_PEROXISOME	2026.1.Hs	50	104	104	1	FALSE	NA
MSigDB_Hallmark	HALLMARK_PI3K_AKT_MTOR_SIGNALING	2026.1.Hs	50	105	105	1	FALSE	NA
MSigDB_Hallmark	HALLMARK_PROTEIN_SECRETION	2026.1.Hs	50	96	96	1	FALSE	NA
MSigDB_Hallmark	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	2026.1.Hs	50	49	49	1	FALSE	NA
MSigDB_Hallmark	HALLMARK_SPERMATOGENESIS	2026.1.Hs	50	135	121	0.896296296296296	FALSE	NA
MSigDB_Hallmark	HALLMARK_TGF_BETA_SIGNALING	2026.1.Hs	50	54	54	1	FALSE	NA
MSigDB_Hallmark	HALLMARK_TNFA_SIGNALING_VIA_NFKB	2026.1.Hs	50	200	198	0.99	FALSE	NA
