taxon	host_feature	host_feature_collection	n	coefficient	robust_se_HC3	ci_lower	ci_upper	t_statistic_HC3	p_value	bh_q_value	r_squared	adjusted_r_squared	multiple_testing_family	phase7_evidence_category	contamination_risk_category	RCLR_DIRECTION_SENSITIVE
Azoarcus	AHR	DoRothEA_VIPER	62	0.178747700159509	0.146528064302352	-0.11435206772845	0.471847468047469	1.21988713227437	0.227281028190236	0.347234904179528	0.0257718421424584	0.0095347061781661	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	AR	DoRothEA_VIPER	62	-0.0419721386546324	0.0862995731027437	-0.214596986772811	0.130652709463546	-0.486353954551579	0.628487981846457	0.743372881753873	0.00351428688546101	-0.0130938083331147	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	ARID2	DoRothEA_VIPER	62	0.0195380785640258	0.0516735802118497	-0.0838244713894162	0.122900628517468	0.378105764762655	0.706686459183896	0.813984403248467	0.00306456759287028	-0.0135510229472484	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	ARID3A	DoRothEA_VIPER	62	-0.033163592859743	0.064639641580294	-0.162462127128587	0.0961349414091015	-0.51305347692171	0.609797839039915	0.733090298299352	0.00547336785638688	-0.0111020760126732	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	ARNT	DoRothEA_VIPER	62	-0.303524247541476	0.0898999949259138	-0.483351011590874	-0.123697483492078	-3.37624321104366	0.00129402537409998	0.0177928488938747	0.108301640674715	0.0934400013526272	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	ASCL1	DoRothEA_VIPER	62	0.0367271259918792	0.169592064953489	-0.302507512165486	0.375961764149245	0.21656158265395	0.829284669791183	0.885579687300749	0.00100167390304924	-0.0156482981985666	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	ATF1	DoRothEA_VIPER	62	0.0728684463228476	0.046392871028963	-0.0199311125533756	0.165668005199071	1.57068197562845	0.121515612112085	0.22655453105643	0.0380705509587299	0.0220383934747088	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	ATF2	DoRothEA_VIPER	62	0.348411052909628	0.137173141613479	0.0740239165013327	0.622798189317924	2.53993638121497	0.0136949046857591	0.0568467741673018	0.127432158633252	0.112889361277139	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	ATF3	DoRothEA_VIPER	62	0.0726986984509825	0.057563167429686	-0.0424447799868606	0.187842176888826	1.26293777248767	0.211497604397766	0.330063908713678	0.0288958730056632	0.0127108042224243	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	ATF4	DoRothEA_VIPER	62	-0.0918935516017229	0.0614924302492731	-0.214896725899708	0.0311096226962619	-1.49438802839979	0.140315151927787	0.245638793488985	0.0372058403391108	0.0211592710114293	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	ATF7	DoRothEA_VIPER	62	0.0175305808507499	0.0340946793475552	-0.0506689319904394	0.0857300936919393	0.514173507016923	0.609019354473909	0.733090298299352	0.00364640611821526	-0.0129594871131478	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	BACH1	DoRothEA_VIPER	62	-0.105206233558368	0.0485886649947361	-0.202398034321919	-0.00801443279481723	-2.165242316696	0.0343559917454644	0.100777575786696	0.129088999202864	0.114573815856245	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	BACH2	DoRothEA_VIPER	62	0.183419849314336	0.0642420498518089	0.0549166169140313	0.311923081714641	2.8551369350362	0.00589921550028272	0.0324456852515549	0.134403314051362	0.119976702618885	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	BATF	DoRothEA_VIPER	62	0.40592384371466	0.123112932584838	0.15966131280342	0.652186374625901	3.2971665542524	0.0016442690676934	0.0180869597446274	0.15243852722146	0.138312502675151	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	BCL11A	DoRothEA_VIPER	62	0.142389307073252	0.0703970856795017	0.00157416991239348	0.283204444234111	2.02265911576952	0.0475719895293122	0.123127502311161	0.0520971735705114	0.0362987931300199	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	BCL6	DoRothEA_VIPER	62	-0.0357575102423735	0.0600815418269794	-0.155938487502139	0.0844234670173921	-0.595149677505724	0.553981530649911	0.696433924245603	0.00788044708465316	-0.00865487879726912	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	BHLHE22	DoRothEA_VIPER	62	-0.155598269751385	0.0659508898553585	-0.287519691088961	-0.0236768484138088	-2.35930508432317	0.0215815244867936	0.0765796030176547	0.109088096704678	0.0942395649830891	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	BHLHE40	DoRothEA_VIPER	62	0.192298343869733	0.0788750588290954	0.0345247354826471	0.35007195225682	2.43801204999924	0.0177472113029559	0.0684980085377246	0.122122153634273	0.107490856194845	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	CDX2	DoRothEA_VIPER	62	-0.0855730452432888	0.120936574736632	-0.327482212290838	0.15633612180426	-0.707586149431176	0.481941838814166	0.627379908515482	0.00783691136178559	-0.00869914011551787	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	CEBPA	DoRothEA_VIPER	62	0.134502009935851	0.146977668180672	-0.159497099610681	0.428501119482382	0.915118681638865	0.363792567018169	0.509773023847116	0.0128651236789431	-0.00358712425974117	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	CEBPB	DoRothEA_VIPER	62	0.0136605848041139	0.0662271427162617	-0.118813424529452	0.14613459413768	0.206268672387698	0.837279387559897	0.885579687300749	0.00091012501270183	-0.015741372903753	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	CEBPG	DoRothEA_VIPER	62	0.0725444309827	0.0425175889432682	-0.0125034095778171	0.157592271543217	1.7062216552189	0.0931384796389539	0.186894537432021	0.0507979763679712	0.0349779426407708	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	CLOCK	DoRothEA_VIPER	62	0.0996275070344942	0.0829794851380157	-0.0663561763589433	0.265611190427932	1.20062816573022	0.234614153194397	0.353528176046352	0.0297808093084938	0.0136104894636354	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	CREB1	DoRothEA_VIPER	62	0.0316702815357165	0.0962573402832988	-0.160873066585852	0.224213629657284	0.329016794381669	0.743288706028659	0.842488851562282	0.0021905508253139	-0.0144396066609307	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	CREB3	DoRothEA_VIPER	62	-0.0150803583123722	0.0226788229196726	-0.0604447584044404	0.030284041779696	-0.664953307576243	0.508628265878583	0.646810511521898	0.00445412591035593	-0.0121383053244715	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	CREB3L1	DoRothEA_VIPER	62	-0.0969392834909574	0.0454700890099813	-0.187893003504418	-0.00598556347749729	-2.13193520403441	0.0371158451823612	0.103044855903379	0.0680030944396889	0.0524698126803505	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	CREM	DoRothEA_VIPER	62	0.0389740476641909	0.0269252303672294	-0.0148844319966102	0.092832527324992	1.44749170694659	0.152964339070545	0.2629074577775	0.0315655479754579	0.015424973775049	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	CTCF	DoRothEA_VIPER	62	0.0323674343674461	0.0466191815671442	-0.0608848129853998	0.125619681720292	0.69429435008052	0.490177304356645	0.634347099755658	0.00969227049160346	-0.00681285833353651	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	CTCFL	DoRothEA_VIPER	62	-0.165721894395682	0.071921460142731	-0.309586234475273	-0.0218575543160922	-2.30420647838351	0.0246894515335362	0.0822004836651625	0.0878678805290875	0.0726656785379056	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	CUX1	DoRothEA_VIPER	62	0.0186407625522431	0.0383006078167032	-0.0579718598453306	0.0952533849498167	0.486696259272254	0.628246775123379	0.743372881753873	0.00335854652139841	-0.0132521443699116	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	DUX4	DoRothEA_VIPER	62	0.179800035473995	0.0605187797750029	0.0587444520990963	0.300855618848894	2.9709791926152	0.00426524560662095	0.0274683186776907	0.106774330720541	0.0918872362325501	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	E2F1	DoRothEA_VIPER	62	0.203331967829054	0.0822960543601867	0.0387153495320057	0.367948586126103	2.47073774568982	0.0163417446780173	0.0641997112350679	0.0934313539907424	0.0783218765572549	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	E2F4	DoRothEA_VIPER	62	-0.0483666540995647	0.0885403781692919	-0.225473779711918	0.128740471512789	-0.54626663110797	0.586908301127066	0.721339811441087	0.00442394173074973	-0.0121689925737376	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	E2F6	DoRothEA_VIPER	62	0.142092730405801	0.0655288854989796	0.0110154434631708	0.273170017348432	2.1683983990238	0.0341040424427854	0.100777575786696	0.126276013537947	0.111713947096913	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	E2F7	DoRothEA_VIPER	62	-0.07946784792978	0.0440793630028243	-0.167639701740105	0.00870400588054537	-1.80283566994124	0.0764364902762677	0.161692575584413	0.0488770537107859	0.0330250046059657	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	EBF1	DoRothEA_VIPER	62	0.150262211878657	0.105072852416196	-0.0599147859622857	0.360439209719599	1.43007645098912	0.157882072995423	0.265145466099184	0.0307028377229598	0.0145478850183425	Azoarcus_DoRothEA_VIPER	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
