host_feature_collection	host_feature	n_taxa_supported	taxa	directions	interpretation
MSigDB_Hallmark	HALLMARK_ALLOGRAFT_REJECTION	7	Azoarcus;Candida;Cutibacterium;Ochrobactrum;Burkholderia;Rhizobium;Herbaspirillum	positive;negative	shared_with_inconsistent_direction
MSigDB_Hallmark	HALLMARK_APOPTOSIS	3	Azoarcus;Burkholderia;Herbaspirillum	positive;negative	shared_with_inconsistent_direction
MSigDB_Hallmark	HALLMARK_COMPLEMENT	7	Azoarcus;Candida;Cutibacterium;Ochrobactrum;Burkholderia;Rhizobium;Herbaspirillum	positive;negative	shared_with_inconsistent_direction
MSigDB_Hallmark	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1	Azoarcus	positive	taxon_specific
MSigDB_Hallmark	HALLMARK_GLYCOLYSIS	3	Azoarcus;Cutibacterium;Burkholderia	negative	shared_consistent_direction_check_taxon_correlation
MSigDB_Hallmark	HALLMARK_HEME_METABOLISM	7	Azoarcus;Candida;Ensifer;Cutibacterium;Ochrobactrum;Burkholderia;Rhizobium	positive;negative	shared_with_inconsistent_direction
MSigDB_Hallmark	HALLMARK_IL2_STAT5_SIGNALING	6	Azoarcus;Candida;Cutibacterium;Burkholderia;Rhizobium;Herbaspirillum	positive;negative	shared_with_inconsistent_direction
MSigDB_Hallmark	HALLMARK_IL6_JAK_STAT3_SIGNALING	4	Azoarcus;Burkholderia;Rhizobium;Herbaspirillum	positive;negative	shared_with_inconsistent_direction
MSigDB_Hallmark	HALLMARK_INFLAMMATORY_RESPONSE	4	Azoarcus;Burkholderia;Rhizobium;Herbaspirillum	positive;negative	shared_with_inconsistent_direction
MSigDB_Hallmark	HALLMARK_INTERFERON_GAMMA_RESPONSE	4	Azoarcus;Cutibacterium;Burkholderia;Herbaspirillum	positive;negative	shared_with_inconsistent_direction
MSigDB_Hallmark	HALLMARK_KRAS_SIGNALING_UP	6	Azoarcus;Ensifer;Cutibacterium;Ochrobactrum;Burkholderia;Rhizobium	positive;negative	shared_with_inconsistent_direction
MSigDB_Hallmark	HALLMARK_MITOTIC_SPINDLE	3	Azoarcus;Candida;Burkholderia	negative	shared_consistent_direction_check_taxon_correlation
MSigDB_Hallmark	HALLMARK_PANCREAS_BETA_CELLS	7	Azoarcus;Candida;Ensifer;Cutibacterium;Ochrobactrum;Burkholderia;Rhizobium	positive;negative	shared_with_inconsistent_direction
MSigDB_Hallmark	HALLMARK_PROTEIN_SECRETION	5	Azoarcus;Candida;Cutibacterium;Ochrobactrum;Rhizobium	positive;negative	shared_with_inconsistent_direction
MSigDB_Hallmark	HALLMARK_SPERMATOGENESIS	6	Azoarcus;Candida;Cutibacterium;Ochrobactrum;Burkholderia;Rhizobium	positive;negative	shared_with_inconsistent_direction
MSigDB_Hallmark	HALLMARK_UV_RESPONSE_DN	2	Azoarcus;Ochrobactrum	positive;negative	shared_with_inconsistent_direction
MSigDB_Hallmark	HALLMARK_APICAL_SURFACE	1	Candida	negative	taxon_specific
MSigDB_Hallmark	HALLMARK_BILE_ACID_METABOLISM	6	Candida;Ensifer;Cutibacterium;Ochrobactrum;Burkholderia;Rhizobium	positive;negative	shared_with_inconsistent_direction
MSigDB_Hallmark	HALLMARK_G2M_CHECKPOINT	3	Candida;Ensifer;Burkholderia	negative;positive	shared_with_inconsistent_direction
MSigDB_Hallmark	HALLMARK_MYC_TARGETS_V2	3	Candida;Ensifer;Cutibacterium	negative;positive	shared_with_inconsistent_direction
MSigDB_Hallmark	HALLMARK_P53_PATHWAY	4	Candida;Cutibacterium;Ochrobactrum;Burkholderia	negative;positive	shared_with_inconsistent_direction
MSigDB_Hallmark	HALLMARK_WNT_BETA_CATENIN_SIGNALING	4	Candida;Cutibacterium;Ochrobactrum;Herbaspirillum	negative;positive	shared_with_inconsistent_direction
MSigDB_Hallmark	HALLMARK_DNA_REPAIR	1	Ensifer	positive	taxon_specific
MSigDB_Hallmark	HALLMARK_E2F_TARGETS	2	Ensifer;Burkholderia	positive;negative	shared_with_inconsistent_direction
MSigDB_Hallmark	HALLMARK_MYC_TARGETS_V1	1	Ensifer	positive	taxon_specific
MSigDB_Hallmark	HALLMARK_PEROXISOME	5	Ensifer;Cutibacterium;Ochrobactrum;Burkholderia;Rhizobium	negative;positive	shared_with_inconsistent_direction
MSigDB_Hallmark	HALLMARK_HYPOXIA	2	Cutibacterium;Ochrobactrum	negative;positive	shared_with_inconsistent_direction
