TF	regulon_version	confidence_levels	targets_expected	targets_observed	target_coverage_fraction	retained	activity_score_direction
AHR	1.22.0	A;B;C	44	44	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
AR	1.22.0	A;B;C	138	134	0.971014492753623	TRUE	VIPER_NES_positive_or_negative_TF_activity
ARID2	1.22.0	A;B;C	30	30	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
ARID3A	1.22.0	A;B;C	25	25	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
ARNT	1.22.0	A;B;C	63	63	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
ARNTL	1.22.0	A;B;C	10	9	0.9	FALSE	VIPER_NES_positive_or_negative_TF_activity
ASCL1	1.22.0	A;B;C	54	52	0.962962962962963	TRUE	VIPER_NES_positive_or_negative_TF_activity
ATF1	1.22.0	A;B;C	20	18	0.9	TRUE	VIPER_NES_positive_or_negative_TF_activity
ATF2	1.22.0	A;B;C	24	22	0.916666666666667	TRUE	VIPER_NES_positive_or_negative_TF_activity
ATF3	1.22.0	A;B;C	50	48	0.96	TRUE	VIPER_NES_positive_or_negative_TF_activity
ATF4	1.22.0	A;B;C	16	15	0.9375	TRUE	VIPER_NES_positive_or_negative_TF_activity
ATF6	1.22.0	A;B;C	10	10	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
ATF7	1.22.0	A;B;C	28	28	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
BACH1	1.22.0	A;B;C	30	30	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
BACH2	1.22.0	A;B;C	51	51	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
BATF	1.22.0	A;B;C	49	48	0.979591836734694	TRUE	VIPER_NES_positive_or_negative_TF_activity
BCL11A	1.22.0	A;B;C	36	36	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
BCL6	1.22.0	A;B;C	46	46	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
BHLHE22	1.22.0	A;B;C	21	21	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
BHLHE40	1.22.0	A;B;C	58	57	0.982758620689655	TRUE	VIPER_NES_positive_or_negative_TF_activity
CDX2	1.22.0	A;B;C	17	17	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
CEBPA	1.22.0	A;B;C	147	143	0.972789115646258	TRUE	VIPER_NES_positive_or_negative_TF_activity
CEBPB	1.22.0	A;B;C	42	40	0.952380952380952	TRUE	VIPER_NES_positive_or_negative_TF_activity
CEBPD	1.22.0	A;B;C	14	14	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
CEBPG	1.22.0	A;B;C	45	44	0.977777777777778	TRUE	VIPER_NES_positive_or_negative_TF_activity
CLOCK	1.22.0	A;B;C	52	51	0.980769230769231	TRUE	VIPER_NES_positive_or_negative_TF_activity
CREB1	1.22.0	A;B;C	75	72	0.96	TRUE	VIPER_NES_positive_or_negative_TF_activity
CREB3	1.22.0	A;B;C	25	25	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
CREB3L1	1.22.0	A;B;C	21	21	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
CREM	1.22.0	A;B;C	52	52	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
CTCF	1.22.0	A;B;C	117	113	0.965811965811966	TRUE	VIPER_NES_positive_or_negative_TF_activity
CTCFL	1.22.0	A;B;C	54	53	0.981481481481481	TRUE	VIPER_NES_positive_or_negative_TF_activity
CUX1	1.22.0	A;B;C	41	40	0.975609756097561	TRUE	VIPER_NES_positive_or_negative_TF_activity
DUX4	1.22.0	A;B;C	37	37	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
E2F1	1.22.0	A;B;C	324	317	0.978395061728395	TRUE	VIPER_NES_positive_or_negative_TF_activity
E2F2	1.22.0	A;B;C	14	14	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
E2F3	1.22.0	A;B;C	13	13	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
E2F4	1.22.0	A;B;C	237	232	0.978902953586498	TRUE	VIPER_NES_positive_or_negative_TF_activity
E2F5	1.22.0	A;B;C	13	13	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
E2F6	1.22.0	A;B;C	69	69	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
E2F7	1.22.0	A;B;C	30	30	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
EBF1	1.22.0	A;B;C	75	73	0.973333333333333	TRUE	VIPER_NES_positive_or_negative_TF_activity
EGR1	1.22.0	A;B;C	124	122	0.983870967741936	TRUE	VIPER_NES_positive_or_negative_TF_activity
EHF	1.22.0	A;B;C	20	20	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
ELF1	1.22.0	A;B;C	51	50	0.980392156862745	TRUE	VIPER_NES_positive_or_negative_TF_activity
ELF3	1.22.0	A;B;C	53	52	0.981132075471698	TRUE	VIPER_NES_positive_or_negative_TF_activity
ELF5	1.22.0	A;B;C	20	20	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
ELK1	1.22.0	A;B;C	31	31	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
ELK4	1.22.0	A;B;C	14	13	0.928571428571429	FALSE	VIPER_NES_positive_or_negative_TF_activity
EOMES	1.22.0	A;B;C	22	21	0.954545454545455	TRUE	VIPER_NES_positive_or_negative_TF_activity
EPAS1	1.22.0	A;B;C	13	13	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
ERG	1.22.0	A;B;C	12	12	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
ESR1	1.22.0	A;B;C	156	154	0.987179487179487	TRUE	VIPER_NES_positive_or_negative_TF_activity
