taxon	host_feature	host_feature_collection	primary_CLR_direction	rCLR_direction	direction_agreement	coefficient_range	FDR_range	sample_exclusion_stability	contamination_exclusion_stability	TRANSFORMATION_SENSITIVE_MECHANISM
Azoarcus	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	positive	negative	FALSE	-0.0251796062887131;0.033106037859121	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Azoarcus	HALLMARK_APOPTOSIS	MSigDB_Hallmark	positive	negative	FALSE	-0.00073734319682242;0.00583906458028856	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Azoarcus	HALLMARK_COMPLEMENT	MSigDB_Hallmark	positive	negative	FALSE	-0.0126360129371294;0.0140425296421713	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Azoarcus	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	MSigDB_Hallmark	positive	positive	TRUE	0.00733610670923524;0.0181922876469307	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Azoarcus	HALLMARK_GLYCOLYSIS	MSigDB_Hallmark	negative	positive	FALSE	-0.00935334598194658;0.00621562665867015	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Azoarcus	HALLMARK_HEME_METABOLISM	MSigDB_Hallmark	positive	negative	FALSE	-0.00379285491259362;0.00483185682145395	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Azoarcus	HALLMARK_IL2_STAT5_SIGNALING	MSigDB_Hallmark	positive	negative	FALSE	-0.00969878761180639;0.0157529986130294	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Azoarcus	HALLMARK_IL6_JAK_STAT3_SIGNALING	MSigDB_Hallmark	positive	negative	FALSE	-0.0157025782198223;0.0224072156416057	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Azoarcus	HALLMARK_INFLAMMATORY_RESPONSE	MSigDB_Hallmark	positive	negative	FALSE	-0.0138817509937087;0.0197790902334404	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Azoarcus	HALLMARK_INTERFERON_GAMMA_RESPONSE	MSigDB_Hallmark	positive	negative	FALSE	-0.0125419720092578;0.0145117590957914	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Azoarcus	HALLMARK_KRAS_SIGNALING_UP	MSigDB_Hallmark	positive	negative	FALSE	-0.010036509856029;0.0186269344627955	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Azoarcus	HALLMARK_MITOTIC_SPINDLE	MSigDB_Hallmark	negative	positive	FALSE	-0.0049776967658702;0.00465722245242327	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Azoarcus	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	positive	negative	FALSE	-0.058308546643791;0.0760085233241751	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Azoarcus	HALLMARK_PROTEIN_SECRETION	MSigDB_Hallmark	positive	negative	FALSE	-0.00547885567049452;0.00540111755104961	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Azoarcus	HALLMARK_SPERMATOGENESIS	MSigDB_Hallmark	positive	negative	FALSE	-0.00553906537608446;0.011726517526721	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Azoarcus	HALLMARK_UV_RESPONSE_DN	MSigDB_Hallmark	positive	negative	FALSE	-9.17188714437484e-05;0.00899126675446784	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Candida	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	positive	positive	TRUE	0.0100512789147487;0.0232628750661268	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Candida	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	negative	negative	TRUE	-0.0090786489345829;-0.00132370983813772	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Candida	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	positive	negative	FALSE	-0.000445127525621272;0.0138210011539235	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Candida	HALLMARK_COMPLEMENT	MSigDB_Hallmark	positive	negative	FALSE	-0.000425190078847328;0.0106923726634994	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Candida	HALLMARK_G2M_CHECKPOINT	MSigDB_Hallmark	negative	positive	FALSE	-0.0131375121031219;0.00227614756557687	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Candida	HALLMARK_HEME_METABOLISM	MSigDB_Hallmark	positive	negative	FALSE	-0.00123994893327047;0.00581419407067934	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Candida	HALLMARK_IL2_STAT5_SIGNALING	MSigDB_Hallmark	positive	negative	FALSE	-0.00136259859297423;0.0102030041001577	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Candida	HALLMARK_MITOTIC_SPINDLE	MSigDB_Hallmark	negative	negative	TRUE	-0.00636924910251013;-0.00143740440408501	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Candida	HALLMARK_MYC_TARGETS_V2	MSigDB_Hallmark	negative	positive	FALSE	-0.0140452747595496;0.00793370045087154	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Candida	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	negative	negative	TRUE	-0.0121316479723899;-0.00270514896299685	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Candida	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	positive	negative	FALSE	-0.0179861683849983;0.0577878594220388	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Candida	HALLMARK_PROTEIN_SECRETION	MSigDB_Hallmark	positive	negative	FALSE	-0.00325586133893952;0.00617295500381396	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Candida	HALLMARK_SPERMATOGENESIS	MSigDB_Hallmark	positive	negative	FALSE	-0.000186243181883332;0.00608363344816906	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Candida	HALLMARK_WNT_BETA_CATENIN_SIGNALING	MSigDB_Hallmark	negative	negative	TRUE	-0.0090696680554769;-0.00130319454280691	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Ensifer	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	negative	positive	FALSE	-0.0205597237923664;0.015141248916599	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
