module	n_genes	selected_soft_power	block_size	number_of_blocks	threads	runtime_minutes	modules_after_merging	grey_genes
blue	1691	5	5000	3	2	0.771390235424042	16	2886
grey	2886	5	5000	3	2	0.771390235424042	16	2886
yellow	616	5	5000	3	2	0.771390235424042	16	2886
green	515	5	5000	3	2	0.771390235424042	16	2886
purple	200	5	5000	3	2	0.771390235424042	16	2886
turquoise	1726	5	5000	3	2	0.771390235424042	16	2886
brown	1429	5	5000	3	2	0.771390235424042	16	2886
pink	254	5	5000	3	2	0.771390235424042	16	2886
midnightblue	57	5	5000	3	2	0.771390235424042	16	2886
cyan	70	5	5000	3	2	0.771390235424042	16	2886
magenta	223	5	5000	3	2	0.771390235424042	16	2886
greenyellow	166	5	5000	3	2	0.771390235424042	16	2886
black	270	5	5000	3	2	0.771390235424042	16	2886
tan	103	5	5000	3	2	0.771390235424042	16	2886
red	354	5	5000	3	2	0.771390235424042	16	2886
salmon	103	5	5000	3	2	0.771390235424042	16	2886
