module	taxon	coefficient	p_value	bh_q_value	n_genes	selected_soft_power	block_size	number_of_blocks	threads	runtime_minutes	modules_after_merging	grey_genes	moffitt50_overlap_genes
MEblack	Azoarcus	-0.0520141110997086	0.000435905556086966	0.00348724444869573	NA	NA	NA	NA	NA	NA	NA	NA	
MEblack	Candida	-0.0585317215946867	4.79697798928513e-06	4.16562396327426e-05	NA	NA	NA	NA	NA	NA	NA	NA	
MEblack	Ensifer	0.040992104946136	0.0272166978621863	0.0916945811943514	NA	NA	NA	NA	NA	NA	NA	NA	
MEblack	Cutibacterium	-0.0447905299070013	0.00418950441934852	0.0223440235698588	NA	NA	NA	NA	NA	NA	NA	NA	
MEblack	Ochrobactrum	0.0416275697456653	0.0133086760915926	0.0384645647589835	NA	NA	NA	NA	NA	NA	NA	NA	
MEblack	Burkholderia	-0.0476189031801018	0.00618428055626657	0.0164914148167108	NA	NA	NA	NA	NA	NA	NA	NA	
MEblack	Rhizobium	-0.0421786889915416	0.00357062440885437	0.028564995270835	NA	NA	NA	NA	NA	NA	NA	NA	
MEblue	Azoarcus	-0.0627582719090036	5.10537224134971e-06	8.16859558615953e-05	NA	NA	NA	NA	NA	NA	NA	NA	
MEblue	Candida	-0.0658059740674168	5.20702995409283e-06	4.16562396327426e-05	NA	NA	NA	NA	NA	NA	NA	NA	
MEblue	Cutibacterium	-0.0619166240277404	0.000127754875325618	0.00102203900260494	NA	NA	NA	NA	NA	NA	NA	NA	
MEblue	Ochrobactrum	0.0532827648357454	0.002889578931824	0.020841150362864	NA	NA	NA	NA	NA	NA	NA	NA	
MEblue	Burkholderia	-0.0646335226792605	0.000158929178863527	0.00127143343090822	NA	NA	NA	NA	NA	NA	NA	NA	
MEblue	Rhizobium	-0.0520828829554072	9.83848983886804e-05	0.00157415837421889	NA	NA	NA	NA	NA	NA	NA	NA	
MEbrown	Azoarcus	0.0333926111275967	0.0107625904363627	0.0246002067116862	NA	NA	NA	NA	NA	NA	NA	NA	
MEbrown	Candida	0.0352969958518438	0.0303554837853885	0.0693839629380308	NA	NA	NA	NA	NA	NA	NA	NA	
MEbrown	Ensifer	-0.049361474304955	0.00585259137196701	0.0916945811943514	NA	NA	NA	NA	NA	NA	NA	NA	
MEbrown	Cutibacterium	0.0426805629619661	0.00736925458980267	0.0294770183592107	NA	NA	NA	NA	NA	NA	NA	NA	
MEbrown	Ochrobactrum	-0.0353833033883152	0.0394095020654703	0.0788190041309406	NA	NA	NA	NA	NA	NA	NA	NA	
MEbrown	Burkholderia	0.0463306240186154	0.0015435538170942	0.00493937221470145	NA	NA	NA	NA	NA	NA	NA	NA	
MEbrown	Rhizobium	0.0333576079292887	0.0083127385520356	0.0443346056108565	NA	NA	NA	NA	NA	NA	NA	NA	
MEcyan	Burkholderia	-0.037282751364765	0.00831507161992879	0.0171010493699496	NA	NA	NA	NA	NA	NA	NA	NA	
MEgreen	Ensifer	-0.0433043965435429	0.0197655844589426	0.0916945811943514	NA	NA	NA	NA	NA	NA	NA	NA	
MEgreen	Cutibacterium	0.0319652285165304	0.0436628656558459	0.0698605850493535	NA	NA	NA	NA	NA	NA	NA	NA	
MEgreen	Ochrobactrum	-0.0391681647662862	0.00317473492005582	0.020841150362864	NA	NA	NA	NA	NA	NA	NA	NA	
MEgreenyellow	Azoarcus	-0.0360713872662935	0.0431745662311024	0.0767547844108487	NA	NA	NA	NA	NA	NA	NA	NA	
MEgreenyellow	Cutibacterium	-0.0344961422728682	0.0183600182431169	0.0419657559842672	NA	NA	NA	NA	NA	NA	NA	NA	
MEgreenyellow	Chryseobacterium	0.0343641883048711	0.0197467052338619	0.256751506051061	NA	NA	NA	NA	NA	NA	NA	NA	
MEgreenyellow	Ochrobactrum	0.0400480401033066	0.003907715693037	0.020841150362864	NA	NA	NA	NA	NA	NA	NA	NA	
MEgreenyellow	Herbaspirillum	0.0371569866860959	0.0262558092179361	0.270823497352686	NA	NA	NA	NA	NA	NA	NA	NA	
MEgrey	Chryseobacterium	0.0385341189089986	0.0320939382563826	0.256751506051061	NA	NA	NA	NA	NA	NA	NA	NA	
MEmagenta	Azoarcus	-0.0348387272886099	0.0284479131142282	0.0568958262284563	NA	NA	NA	NA	NA	NA	NA	NA	
MEmagenta	Burkholderia	-0.0414027479225368	0.0140419839114384	0.0249635269536683	NA	NA	NA	NA	NA	NA	NA	NA	
MEpurple	Azoarcus	0.0473267194497692	0.00131580944790747	0.00627078604260582	NA	NA	NA	NA	NA	NA	NA	NA	
MEpurple	Candida	0.0451900507717299	0.00238922413536662	0.0127425287219553	NA	NA	NA	NA	NA	NA	NA	NA	
MEpurple	Ensifer	-0.0457634548622739	0.0185299264177406	0.0916945811943514	NA	NA	NA	NA	NA	NA	NA	NA	
MEpurple	Cutibacterium	0.0632106452666631	0.000111396210010136	0.00102203900260494	NA	NA	NA	NA	NA	NA	NA	NA	
MEpurple	Ochrobactrum	-0.0450586052651392	0.0123535368385755	0.0384645647589835	NA	NA	NA	NA	NA	NA	NA	NA	
MEpurple	Burkholderia	0.0656305235023041	0.000257135093016002	0.00137138716275201	NA	NA	NA	NA	NA	NA	NA	NA	
MEpurple	Rhizobium	0.0313294803218533	0.0239085034514912	0.0956340138059647	NA	NA	NA	NA	NA	NA	NA	NA	
MEred	Azoarcus	0.0476965909145185	0.00372167572319638	0.0119093623142284	NA	NA	NA	NA	NA	NA	NA	NA	
MEred	Candida	0.0307386384667095	0.0237110883463106	0.0632295689234949	NA	NA	NA	NA	NA	NA	NA	NA	
MEred	Ensifer	-0.0376344949535156	0.0455055009413015	0.121348002510137	NA	NA	NA	NA	NA	NA	NA	NA	
MEred	Cutibacterium	0.0386943190882465	0.0211241613202779	0.0422483226405558	NA	NA	NA	NA	NA	NA	NA	NA	
MEred	Ochrobactrum	-0.0452852599926491	0.0168282470820553	0.0384645647589835	NA	NA	NA	NA	NA	NA	NA	NA	
MEred	Burkholderia	0.0422966536706644	0.00855052468497478	0.0171010493699496	NA	NA	NA	NA	NA	NA	NA	NA	
MEred	Rhizobium	0.0311552918299336	0.0426262586549191	0.113670023079784	NA	NA	NA	NA	NA	NA	NA	NA	
MEtan	Cutibacterium	0.0223936876283605	0.0121015403516538	0.0387249291252921	NA	NA	NA	NA	NA	NA	NA	NA	
MEtan	Ochrobactrum	-0.0295406088926164	0.0161853780691197	0.0384645647589835	NA	NA	NA	NA	NA	NA	NA	NA	
MEtan	Burkholderia	0.0215951459454201	0.0282344628534652	0.0451751405655444	NA	NA	NA	NA	NA	NA	NA	NA	
MEturquoise	Azoarcus	0.0468781013059375	0.00156769651065146	0.00627078604260582	NA	NA	NA	NA	NA	NA	NA	NA	
MEturquoise	Candida	0.0419633329511802	0.0235979770863482	0.0632295689234949	NA	NA	NA	NA	NA	NA	NA	NA	
MEturquoise	Cutibacterium	0.0430839926108196	0.0161699934743519	0.0419657559842672	NA	NA	NA	NA	NA	NA	NA	NA	
MEturquoise	Ochrobactrum	-0.0349340018425548	0.0480570020036829	0.0854346702287696	NA	NA	NA	NA	NA	NA	NA	NA	
MEturquoise	Burkholderia	0.0540376633677672	0.000629206569948482	0.00251682627979393	NA	NA	NA	NA	NA	NA	NA	NA	
MEturquoise	Rhizobium	0.031973233422236	0.0303559246628638	0.0971389589211641	NA	NA	NA	NA	NA	NA	NA	NA	
MEturquoise	Herbaspirillum	-0.0345153173240913	0.0442048723127007	0.270823497352686	NA	NA	NA	NA	NA	NA	NA	NA	
MEyellow	Azoarcus	0.0331533605967229	0.0101422104806887	0.0246002067116862	NA	NA	NA	NA	NA	NA	NA	NA	
MEyellow	Candida	0.0431852025829084	0.0107572022451668	0.0430288089806671	NA	NA	NA	NA	NA	NA	NA	NA	
MEyellow	Ensifer	-0.0330977920628938	0.0286545566232348	0.0916945811943514	NA	NA	NA	NA	NA	NA	NA	NA	
MEyellow	Cutibacterium	0.0358053843052296	0.0346143660817492	0.0615366508119985	NA	NA	NA	NA	NA	NA	NA	NA	
MEyellow	Burkholderia	0.0578173895606822	1.07354758089362e-05	0.000171767612942979	NA	NA	NA	NA	NA	NA	NA	NA	
