feature_name	cohorts	synthesis_method	pooled_effect	ci95_low	ci95_high	tau2	Q	I2	leave_one_cohort_out
BHLHE40	3	DerSimonian-Laird_random_effects	0.14263741313087733	0.04535338803350239	0.23992143822825227	0.0	0.38891548505564055	0.0	TCGA_PAAD:0.1146;GSE71729:0.1311;GSE62452:0.156
CTCFL	3	DerSimonian-Laird_random_effects	0.030031626194583303	-0.06694538628372175	0.12700863867288836	0.0	1.2433414959555302	0.0	TCGA_PAAD:0.08641;GSE71729:0.06161;GSE62452:0.01639
E2F6	3	DerSimonian-Laird_random_effects	0.03884450876425049	-0.0630093004734813	0.1406983180019823	0.0	0.8483255720517625	0.0	TCGA_PAAD:-0.01675;GSE71729:0.007444;GSE62452:0.05341
ELF1	3	DerSimonian-Laird_random_effects	-0.1657269883426513	-0.26909844153237933	-0.06235553515292325	0.0	0.7841573752880948	0.0	TCGA_PAAD:-0.1465;GSE71729:-0.1981;GSE62452:-0.1705
FOXK2	3	DerSimonian-Laird_random_effects	0.3216914973582757	0.20505390574926244	0.43832908896728895	0.0	1.3000996583374111	0.0	TCGA_PAAD:0.306;GSE71729:0.2559;GSE62452:0.3379
GFI1B	2	cohort_specific_only							not_applicable
GRHL2	3	DerSimonian-Laird_random_effects	-0.00890367653427356	-0.106132903642677	0.08832555057412989	0.0	0.7375062282357756	0.0	TCGA_PAAD:0.02225;GSE71729:-0.01544;GSE62452:-0.02657
HALLMARK_PROTEIN_SECRETION	3	DerSimonian-Laird_random_effects	-0.0010245311142326175	-0.002127278578405608	7.8216349940373e-05	0.0	1.056036410442721	0.0	TCGA_PAAD:9.672e-05;GSE71729:-0.0008313;GSE62452:-0.0003874
HALLMARK_SPERMATOGENESIS	3	DerSimonian-Laird_random_effects	0.009221729103974586	0.00607961643070134	0.01236384177724783	0.0	1.4110716465967323	0.0	TCGA_PAAD:0.01353;GSE71729:0.0122;GSE62452:0.009497
IRF3	3	DerSimonian-Laird_random_effects	0.05294423262089959	-0.06683558300906887	0.17272404825086807	0.0	1.9625471344310892	0.0	TCGA_PAAD:0.08213;GSE71729:0.1326;GSE62452:0.008293
JUNB	3	DerSimonian-Laird_random_effects	0.11107221933065972	0.010242326983782357	0.21190211167753709	0.000603258595616984	2.164260019060583	0.07589661945142874	TCGA_PAAD:0.06207;GSE71729:0.1517;GSE62452:0.1182
KDM5B	2	cohort_specific_only							not_applicable
KLF1	3	DerSimonian-Laird_random_effects	-0.053416283535814256	-0.14935765617846405	0.042525089106835536	0.0	1.0413062296424607	0.0	TCGA_PAAD:-0.09205;GSE71729:-0.04257;GSE62452:-0.03819
KLF13	3	DerSimonian-Laird_random_effects	0.04702634073830887	-0.07688211942236754	0.17093480089898527	0.0	0.4285798517351063	0.0	TCGA_PAAD:0.0194;GSE71729:0.06866;GSE62452:0.03597
KLF9	2	cohort_specific_only							not_applicable
MAFF	3	DerSimonian-Laird_random_effects	0.11644619694858654	-0.016883140966880372	0.24977553486405346	0.0052089062408269445	3.172529070059781	0.36958812485765075	TCGA_PAAD:0.06553;GSE71729:0.05631;GSE62452:0.1762
MBD1	3	DerSimonian-Laird_random_effects	-0.00260561407500217	-0.10700981600302982	0.1017985878530255	0.0	0.33032779786355926	0.0	TCGA_PAAD:-0.03125;GSE71729:0.001374;GSE62452:-0.004553
MBD2	3	DerSimonian-Laird_random_effects	0.10691856637857627	-0.0354454478566289	0.24928258061378145	0.0	0.2101288698652733	0.0	TCGA_PAAD:0.1244;GSE71729:0.1143;GSE62452:0.08383
MEblack	3	DerSimonian-Laird_random_effects	0.010093157298183069	0.005641566658959859	0.014544747937406278	1.0599785320047144e-05	6.448128473070902	0.6898324826571723	TCGA_PAAD:0.01106;GSE71729:0.007896;GSE62452:0.01223
