feature_name	feature_family	cohorts_tested	cohorts_direction_consistent	cohorts_ci_excludes_zero	phase9a_evidence_category
BHLHE40	tf	3	0	0	NOT_REPLICATED
CTCFL	tf	3	2	0	PARTIALLY_REPLICATED_HOST_FEATURE
E2F6	tf	3	1	0	PARTIALLY_REPLICATED_HOST_FEATURE
ELF1	tf	3	0	0	NOT_REPLICATED
FOXK2	tf	3	3	2	TO_VERIFY
GFI1B	tf	3	0	0	NOT_REPLICATED
GRHL2	tf	3	2	0	PARTIALLY_REPLICATED_HOST_FEATURE
HALLMARK_PROTEIN_SECRETION	pathway	3	2	1	PARTIALLY_REPLICATED_HOST_FEATURE
HALLMARK_SPERMATOGENESIS	pathway	3	0	0	NOT_REPLICATED
IRF3	tf	3	2	0	PARTIALLY_REPLICATED_HOST_FEATURE
JUNB	tf	3	3	1	PARTIALLY_REPLICATED_HOST_FEATURE
KDM5B	tf	3	2	0	PARTIALLY_REPLICATED_HOST_FEATURE
KLF1	tf	3	1	0	PARTIALLY_REPLICATED_HOST_FEATURE
KLF13	tf	3	1	0	PARTIALLY_REPLICATED_HOST_FEATURE
KLF9	tf	3	1	0	PARTIALLY_REPLICATED_HOST_FEATURE
MAFF	tf	3	1	0	PARTIALLY_REPLICATED_HOST_FEATURE
MBD1	tf	3	2	0	PARTIALLY_REPLICATED_HOST_FEATURE
MBD2	tf	3	3	0	PARTIALLY_REPLICATED_HOST_FEATURE
MEblack	module	3	3	3	EXTERNALLY_REPLICATED_HOST_FEATURE
MEblue	module	3	3	3	EXTERNALLY_REPLICATED_HOST_FEATURE
MEgreen	module	3	3	3	EXTERNALLY_REPLICATED_HOST_FEATURE
MEgreenyellow	module	3	2	1	PARTIALLY_REPLICATED_HOST_FEATURE
MEpurple	module	3	2	0	PARTIALLY_REPLICATED_HOST_FEATURE
MEred	module	3	2	2	EXTERNALLY_REPLICATED_HOST_FEATURE
MEtan	module	3	2	1	PARTIALLY_REPLICATED_HOST_FEATURE
MNT	tf	3	0	0	NOT_REPLICATED
MXI1	tf	3	1	0	PARTIALLY_REPLICATED_HOST_FEATURE
OTX2	tf	3	1	0	PARTIALLY_REPLICATED_HOST_FEATURE
SIX5	tf	3	3	0	PARTIALLY_REPLICATED_HOST_FEATURE
SNAI2	tf	3	0	0	NOT_REPLICATED
SNAPC4	tf	3	1	0	PARTIALLY_REPLICATED_HOST_FEATURE
STAT1	tf	3	0	0	NOT_REPLICATED
TEAD4	tf	3	3	1	PARTIALLY_REPLICATED_HOST_FEATURE
TFAP4	tf	3	0	0	NOT_REPLICATED
TP63	tf	3	3	3	TO_VERIFY
TWIST1	tf	3	3	2	TO_VERIFY
ZBED1	tf	3	0	0	NOT_REPLICATED
ZBTB11	tf	3	2	0	PARTIALLY_REPLICATED_HOST_FEATURE
ZBTB7A	tf	3	2	0	PARTIALLY_REPLICATED_HOST_FEATURE
ZNF24	tf	3	3	3	TO_VERIFY
ZNF384	tf	3	2	0	PARTIALLY_REPLICATED_HOST_FEATURE
ZNF639	tf	3	2	1	PARTIALLY_REPLICATED_HOST_FEATURE
ZNF740	tf	3	1	0	PARTIALLY_REPLICATED_HOST_FEATURE
