dataset_id	module	genes_expected	genes_observed	coverage_fraction
TCGA_PAAD	MEblack	270	258	0.9555555555555556
TCGA_PAAD	MEblue	1691	1607	0.9503252513305737
TCGA_PAAD	MEgreen	515	506	0.9825242718446602
TCGA_PAAD	MEgreenyellow	166	156	0.9397590361445783
TCGA_PAAD	MEpurple	200	195	0.975
TCGA_PAAD	MEred	354	342	0.9661016949152542
TCGA_PAAD	MEtan	103	103	1.0
GSE71729	MEblack	270	65	0.24074074074074073
GSE71729	MEblue	1691	488	0.2885866351271437
GSE71729	MEgreen	515	173	0.3359223300970874
GSE71729	MEgreenyellow	166	50	0.30120481927710846
GSE71729	MEpurple	200	32	0.16
GSE71729	MEred	354	138	0.3898305084745763
GSE71729	MEtan	103	66	0.6407766990291263
GSE62452	MEblack	270	76	0.2814814814814815
GSE62452	MEblue	1691	601	0.35541099940863397
GSE62452	MEgreen	515	205	0.39805825242718446
GSE62452	MEgreenyellow	166	62	0.37349397590361444
GSE62452	MEpurple	200	39	0.195
GSE62452	MEred	354	148	0.4180790960451977
GSE62452	MEtan	103	67	0.6504854368932039
