dataset_id	negative_control	feature_name	effect_size_beta	p_value	n
TCGA_PAAD	patient_label_permutation	HALLMARK_PROTEIN_SECRETION	0.0005236077774391539	0.39958565437654503	178
TCGA_PAAD	patient_label_permutation	HALLMARK_SPERMATOGENESIS	-0.0006895550095225941	0.7391429926921356	178
TCGA_PAAD	patient_label_permutation	MEblack	-0.00020543761477634243	0.8921642407907707	178
TCGA_PAAD	patient_label_permutation	MEblue	-7.486467686872232e-05	0.9773064957829629	178
TCGA_PAAD	patient_label_permutation	MEgreen	0.0009499035146103147	0.7545853880502775	178
TCGA_PAAD	patient_label_permutation	MEgreenyellow	-0.0020147332735292703	0.4353132388346471	178
TCGA_PAAD	patient_label_permutation	MEpurple	0.006697585584262846	0.3922738859683035	178
TCGA_PAAD	patient_label_permutation	MEred	0.0012300448793964474	0.581960631059053	178
TCGA_PAAD	patient_label_permutation	MEtan	-0.0009301616996084006	0.7409217966028123	178
TCGA_PAAD	size_matched_random_module	MEblack	-0.0012485910750987758	0.0008335082974591928	178
TCGA_PAAD	size_matched_random_module	MEblue	0.00013994438021796538	0.39356217964824214	178
TCGA_PAAD	size_matched_random_module	MEgreen	0.00020245172788646256	0.6037921225254594	178
TCGA_PAAD	size_matched_random_module	MEgreenyellow	0.0006427140360463375	0.2634085495518186	178
TCGA_PAAD	size_matched_random_module	MEpurple	-0.0010489267878954016	0.08058371191981291	178
TCGA_PAAD	size_matched_random_module	MEred	-0.0009621605371433795	0.06980659532272457	178
TCGA_PAAD	size_matched_random_module	MEtan	-0.0002151639635534339	0.822031467830314	178
TCGA_PAAD	unrelated_pathway_control	HALLMARK_MYOGENESIS			178
TCGA_PAAD	unrelated_pathway_control	HALLMARK_PANCREAS_BETA_CELLS			178
TCGA_PAAD	unrelated_pathway_control	HALLMARK_HEDGEHOG_SIGNALING			178
TCGA_PAAD	unrelated_pathway_control	HALLMARK_BILE_ACID_METABOLISM			178
TCGA_PAAD	unrelated_pathway_control	HALLMARK_PEROXISOME			178
GSE71729	patient_label_permutation	HALLMARK_PROTEIN_SECRETION	0.001963008985553944	0.22967694483364842	145
GSE71729	patient_label_permutation	HALLMARK_SPERMATOGENESIS	0.001145202138141791	0.7682809209201452	145
GSE71729	patient_label_permutation	MEblack	0.0004406703287882323	0.8621548816696163	145
GSE71729	patient_label_permutation	MEblue	-0.0012904848882905893	0.7590019069667014	145
GSE71729	patient_label_permutation	MEgreen	-0.00476813190085021	0.3091900714939769	145
GSE71729	patient_label_permutation	MEgreenyellow	-0.006227306767408633	0.08008886544861032	145
GSE71729	patient_label_permutation	MEpurple	0.001779649264713695	0.7719544890559136	145
GSE71729	patient_label_permutation	MEred	0.0006230714368026414	0.889444757352607	145
GSE71729	patient_label_permutation	MEtan	-0.0013946486782874694	0.5982306238420303	145
GSE71729	size_matched_random_module	MEblack	-7.516706488793252e-05	0.8634134148930558	145
GSE71729	size_matched_random_module	MEblue	-0.0008158495488320601	0.00011814685308491681	145
GSE71729	size_matched_random_module	MEgreen	0.0008679613717912651	0.0008451280146093676	145
GSE71729	size_matched_random_module	MEgreenyellow	0.002582039338365212	0.005274128044139637	145
GSE71729	size_matched_random_module	MEpurple	0.0006260244951631634	0.2913608629753742	145
GSE71729	size_matched_random_module	MEred	0.0018166482404374882	0.0012606560941317026	145
GSE71729	size_matched_random_module	MEtan	-0.00113009811714693	0.14126312022126297	145
GSE71729	unrelated_pathway_control	HALLMARK_MYOGENESIS			145
GSE71729	unrelated_pathway_control	HALLMARK_PANCREAS_BETA_CELLS			145
GSE71729	unrelated_pathway_control	HALLMARK_HEDGEHOG_SIGNALING			145
GSE71729	unrelated_pathway_control	HALLMARK_BILE_ACID_METABOLISM			145
GSE71729	unrelated_pathway_control	HALLMARK_PEROXISOME			145
GSE62452	patient_label_permutation	HALLMARK_PROTEIN_SECRETION	0.0008646158936569061	0.6780311010246332	69
GSE62452	patient_label_permutation	HALLMARK_SPERMATOGENESIS	-0.013815415495158818	0.0610148780048713	69
GSE62452	patient_label_permutation	MEblack	-0.002229459869849964	0.38098744533935613	69
GSE62452	patient_label_permutation	MEblue	-0.0027436702811304984	0.4897826273278597	69
GSE62452	patient_label_permutation	MEgreen	-0.004781978914541822	0.3474072353624955	69
GSE62452	patient_label_permutation	MEgreenyellow	0.006434681041185314	0.025443065363033823	69
GSE62452	patient_label_permutation	MEpurple	-0.0011487994615277865	0.8228307053156856	69
GSE62452	patient_label_permutation	MEred	0.0014366442048300862	0.7991679792398835	69
GSE62452	patient_label_permutation	MEtan	0.00014807920739145827	0.9302587604667683	69
GSE62452	size_matched_random_module	MEblack	-0.0009605400687321912	0.08241027836594382	69
GSE62452	size_matched_random_module	MEblue	0.0003156261128840433	0.019492734849735537	69
GSE62452	size_matched_random_module	MEgreen	0.0005014310860200192	0.11782123781091605	69
GSE62452	size_matched_random_module	MEgreenyellow	-0.0008535988634814218	0.1693329200240794	69
GSE62452	size_matched_random_module	MEpurple	-0.0012714934552515232	0.005417983266120378	69
GSE62452	size_matched_random_module	MEred	-0.00014966993025185326	0.7521216625205494	69
GSE62452	size_matched_random_module	MEtan	0.00020638198663158316	0.8293681699221948	69
GSE62452	unrelated_pathway_control	HALLMARK_MYOGENESIS			69
GSE62452	unrelated_pathway_control	HALLMARK_PANCREAS_BETA_CELLS			69
GSE62452	unrelated_pathway_control	HALLMARK_HEDGEHOG_SIGNALING			69
GSE62452	unrelated_pathway_control	HALLMARK_BILE_ACID_METABOLISM			69
GSE62452	unrelated_pathway_control	HALLMARK_PEROXISOME			69
