dataset_id	signature_name	genes_expected	genes_observed	coverage_fraction
TCGA_PAAD	Moffitt50_basal	25	25	1.0
TCGA_PAAD	Moffitt50_classical	25	25	1.0
TCGA_PAAD	Moffitt49_no_LEMD1_basal	24	24	1.0
TCGA_PAAD	PurIST_pairs	8	8	1.0
TCGA_PAAD	HALLMARK_PROTEIN_SECRETION	15	15	1.0
TCGA_PAAD	HALLMARK_SPERMATOGENESIS	15	15	1.0
TCGA_PAAD	HALLMARK_MYOGENESIS	0	0	
TCGA_PAAD	HALLMARK_PANCREAS_BETA_CELLS	0	0	
TCGA_PAAD	HALLMARK_HEDGEHOG_SIGNALING	0	0	
TCGA_PAAD	HALLMARK_BILE_ACID_METABOLISM	0	0	
TCGA_PAAD	HALLMARK_PEROXISOME	0	0	
TCGA_PAAD	TF_PROXY_BHLHE40	1	1	1.0
TCGA_PAAD	TF_PROXY_CTCFL	1	1	1.0
TCGA_PAAD	TF_PROXY_E2F6	1	1	1.0
TCGA_PAAD	TF_PROXY_ELF1	1	1	1.0
TCGA_PAAD	TF_PROXY_FOXK2	1	1	1.0
TCGA_PAAD	TF_PROXY_GFI1B	1	1	1.0
TCGA_PAAD	TF_PROXY_GRHL2	1	1	1.0
TCGA_PAAD	TF_PROXY_IRF3	1	1	1.0
TCGA_PAAD	TF_PROXY_JUNB	1	1	1.0
TCGA_PAAD	TF_PROXY_KDM5B	1	1	1.0
TCGA_PAAD	TF_PROXY_KLF1	1	1	1.0
TCGA_PAAD	TF_PROXY_KLF13	1	1	1.0
TCGA_PAAD	TF_PROXY_KLF9	1	1	1.0
TCGA_PAAD	TF_PROXY_MAFF	1	1	1.0
TCGA_PAAD	TF_PROXY_MBD1	1	1	1.0
TCGA_PAAD	TF_PROXY_MBD2	1	1	1.0
TCGA_PAAD	TF_PROXY_MNT	1	1	1.0
TCGA_PAAD	TF_PROXY_MXI1	1	1	1.0
TCGA_PAAD	TF_PROXY_OTX2	1	1	1.0
TCGA_PAAD	TF_PROXY_SIX5	1	1	1.0
TCGA_PAAD	TF_PROXY_SNAI2	1	1	1.0
TCGA_PAAD	TF_PROXY_SNAPC4	1	1	1.0
