discovery_feature	cohorts_available	gene_coverage	cohort_specific_directions	effect_sizes	confidence_intervals	replication_test_result	negative_control_support	locked_category	reviewer_category	reviewer_notes
HALLMARK_PROTEIN_SECRETION	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:96/96(1.000); GSE71729:94/96(0.979); GSE62452:83/96(0.865)	TCGA_PAAD:negative; GSE71729:positive; GSE62452:positive	TCGA_PAAD:-0.0018; GSE71729:0.0006; GSE62452:0.0000	TCGA_PAAD:[-0.0047, 0.0010]; GSE71729:[-0.0053, 0.0065]; GSE62452:[-0.0046, 0.0046]	TCGA_PAAD:non-sig(q=4.311e-01); GSE71729:non-sig(q=8.388e-01); GSE62452:non-sig(q=9.990e-01)	No	PARTIALLY_REPLICATED_HOST_FEATURE	PARTIALLY_REPLICATED_HOST_FEATURE	Replicated in TCGA_PAAD only; GSE71729 showed opposite direction (positive) and GSE62452 was non-significant.
HALLMARK_SPERMATOGENESIS	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:134/135(0.993); GSE71729:127/135(0.941); GSE62452:125/135(0.926)	TCGA_PAAD:positive; GSE71729:negative; GSE62452:positive	TCGA_PAAD:0.0004; GSE71729:-0.0043; GSE62452:0.0017	TCGA_PAAD:[-0.0040, 0.0048]; GSE71729:[-0.0089, 0.0003]; GSE62452:[-0.0037, 0.0072]	TCGA_PAAD:non-sig(q=8.682e-01); GSE71729:non-sig(q=1.354e-01); GSE62452:non-sig(q=9.990e-01)	No	PARTIALLY_REPLICATED_HOST_FEATURE	NOT_REPLICATED	Opposite direction (positive) across all cohorts compared to discovery (negative).
BHLHE40	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:negative; GSE71729:negative; GSE62452:negative	TCGA_PAAD:-0.0348; GSE71729:-0.0792; GSE62452:-0.0734	TCGA_PAAD:[-0.1054, 0.0359]; GSE71729:[-0.1616, 0.0031]; GSE62452:[-0.1729, 0.0261]	TCGA_PAAD:non-sig(q=5.651e-01); GSE71729:non-sig(q=8.795e-02); GSE62452:non-sig(q=2.572e-01)	NA	PARTIALLY_REPLICATED_HOST_FEATURE	PARTIALLY_REPLICATED_HOST_FEATURE	Partially replicated. Consistent direction only (non-significant) across 3 eligible cohorts.
CTCFL	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:positive; GSE71729:positive; GSE62452:positive	TCGA_PAAD:0.0767; GSE71729:0.1254; GSE62452:0.0706	TCGA_PAAD:[0.0210, 0.1323]; GSE71729:[0.0292, 0.2216]; GSE62452:[-0.0128, 0.1540]	TCGA_PAAD:sig(q=6.466e-02); GSE71729:sig(q=3.112e-02); GSE62452:non-sig(q=2.509e-01)	NA	EXTERNALLY_REPLICATED_HOST_FEATURE	EXTERNALLY_REPLICATED_HOST_FEATURE	Externally replicated. Supported in 2 cohorts out of 3 eligible cohorts.
E2F6	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:negative; GSE71729:negative; GSE62452:negative	TCGA_PAAD:-0.0210; GSE71729:-0.0646; GSE62452:-0.0964	TCGA_PAAD:[-0.0748, 0.0328]; GSE71729:[-0.1427, 0.0135]; GSE62452:[-0.1559, -0.0369]	TCGA_PAAD:non-sig(q=5.830e-01); GSE71729:non-sig(q=1.427e-01); GSE62452:sig(q=4.260e-02)	NA	PARTIALLY_REPLICATED_HOST_FEATURE	PARTIALLY_REPLICATED_HOST_FEATURE	Partially replicated. Supported in 1 cohort (GSE62452) out of 3 eligible cohorts.
ELF1	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:positive; GSE71729:positive; GSE62452:positive	TCGA_PAAD:0.0080; GSE71729:0.0801; GSE62452:0.0382	TCGA_PAAD:[-0.0444, 0.0603]; GSE71729:[0.0258, 0.1345]; GSE62452:[-0.0126, 0.0890]	TCGA_PAAD:non-sig(q=8.455e-01); GSE71729:sig(q=1.781e-02); GSE62452:non-sig(q=2.572e-01)	NA	PARTIALLY_REPLICATED_HOST_FEATURE	PARTIALLY_REPLICATED_HOST_FEATURE	Partially replicated. Supported in 1 cohort (GSE71729) out of 3 eligible cohorts.
FOXK2	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:negative; GSE71729:positive; GSE62452:positive	TCGA_PAAD:-0.0079; GSE71729:0.0468; GSE62452:0.0270	TCGA_PAAD:[-0.0546, 0.0389]; GSE71729:[-0.0113, 0.1049]; GSE62452:[-0.0366, 0.0907]	TCGA_PAAD:non-sig(q=8.455e-01); GSE71729:non-sig(q=1.494e-01); GSE62452:non-sig(q=5.439e-01)	NA	NOT_REPLICATED	NOT_REPLICATED	Fails replication. Supported in 0 cohorts, and direction is inconsistent (opposite in 1 cohorts).
GFI1B	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:negative; GSE71729:negative; GSE62452:negative	TCGA_PAAD:-0.0173; GSE71729:-0.0087; GSE62452:-0.0208	TCGA_PAAD:[-0.0559, 0.0212]; GSE71729:[-0.0614, 0.0440]; GSE62452:[-0.0834, 0.0418]	TCGA_PAAD:non-sig(q=5.830e-01); GSE71729:non-sig(q=7.722e-01); GSE62452:non-sig(q=6.184e-01)	NA	NOT_REPLICATED	NOT_REPLICATED	Fails replication. Supported in 0 cohorts, and direction is inconsistent (opposite in 3 cohorts).
GRHL2	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:negative; GSE71729:positive; GSE62452:positive	TCGA_PAAD:-0.0654; GSE71729:0.1838; GSE62452:0.1557	TCGA_PAAD:[-0.1859, 0.0551]; GSE71729:[0.0397, 0.3279]; GSE62452:[-0.0050, 0.3165]	TCGA_PAAD:non-sig(q=5.167e-01); GSE71729:sig(q=3.328e-02); GSE62452:non-sig(q=2.201e-01)	NA	PARTIALLY_REPLICATED_HOST_FEATURE	PARTIALLY_REPLICATED_HOST_FEATURE	Partially replicated. Supported in 1 cohort (GSE71729) out of 3 eligible cohorts.
IRF3	TCGA_PAAD, GSE71729	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000)	TCGA_PAAD:positive; GSE71729:positive	TCGA_PAAD:0.1052; GSE71729:0.1050	TCGA_PAAD:[0.0292, 0.1813]; GSE71729:[0.0139, 0.1961]	TCGA_PAAD:sig(q=6.466e-02); GSE71729:sig(q=5.065e-02)	NA	EXTERNALLY_REPLICATED_HOST_FEATURE	EXTERNALLY_REPLICATED_HOST_FEATURE	Externally replicated. Supported in 2 cohorts out of 2 eligible cohorts.
